排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,6002276,140101,31,5,第七集,93038
2,奇洛李维斯回信,47263376,532084,83,27,回信广播剧主创FT（上）,85974
3,洄天 第一季,24384485,229831,49,7,花絮04 · 主役篇,86815
4,情蛊,37076858,406605,67,48,完结FT·下,86178
5,奇洛李维斯回信 番外篇,740859,52130,3,2,番外 ·  庆生宴,93420
6,二哈和他的白猫师尊,162774264,3159292,76,0,第肆季-第九期,20741
7,囚于永夜,4587413,280452,1,0,织音发布会纯享PV · 概念预告,86822
8,放学等我 第一季,51492667,814491,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
9,见春天,12775572,225999,54,8,魏清越书信·02,80533
10,早春晴朗,34002087,261793,57,24,完结FT,72230
11,我在无限游戏里封神 第四季,4366572,121896,28,8,特别放送 · 副本通关大作战 · 百鬼夜行,86834
12,天官赐福 第四季,4881237,80647,11,0,先导预告,91718
13,天官赐福 第一季,84601440,949771,61,43,四千万福利·小剧场·从前有一位名师,52400
14,魔道祖师 第一季,258155562,2259269,39,22,主创FT<下>,15861
15,我在无限游戏里封神 第一季,72214721,978803,64,14,线下漫展VLOG,52347
16,小蘑菇 第一季,49642752,914751,33,17,白噪音·漫步荒原,29125
17,娑婆,787882,28275,10,3,第五集,93178
18,虚拟偶像团综丨《NEW DAYS（一起又出发）》,28231467,110183,95,0,许向安&许向宁生日小剧场·那片山那片海,84529
19,伪装学渣 第一季,102271708,1929677,30,17,千万福利·“叫妈妈”,58262
20,一颗苹果,12677786,146684,80,34,启动音试听 · 谢青寄,90818
21,迪奥先生 第一季,79178212,1074926,30,15,王氏破产 铃声,23329
22,交易沦陷,27705320,168988,138,99,特别福利·星空沦陷,54171
23,我喜欢你的信息素 第一季,99249511,1499641,48,21,四千万福利,58217
24,放学等我 第二季,30269418,435589,42,16,番外·恋爱纪念日,68837
25,于是麦麦决定离家出走,5241721,103115,48,30,花絮09,86179
26,将进酒 第一季,105133854,1430484,59,16,完结FT,25944
27,重生之将门毒后 第一季,92352382,825657,82,27,主役reaction·片段03,43922
28,娘娘腔,37006601,704632,31,0,主役听剧Reaction,46640
29,台风眼 第一季,34579123,291317,53,20,千万福利·富士山在等一片云,52404
30,坠落,10434351,170330,59,22,台风眼S02E17,76041
31,某某 第一季,97449839,1705819,43,28,伴奏|《梧桐说》,58219
32,再世权臣 第一季,21066338,254267,79,17,花絮07,71321
33,伏特加与曼特宁,693216,43929,3,0,520小剧场·吻醒,92988
34,天官赐福 第三季,69936967,258731,67,43,小剧场·元宵·花灯,82040
35,小蘑菇 第二季,50674473,496294,48,34,破亿福利·《风过荒野》主役版,39605
36,干涸地,1812653,78328,1,0,概念预告,86725
