排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,天官赐福 第四季,8445486,119786,24,3,新年小剧场《压岁钱》,91718
2,灯花笑 上季,2938250,52023,24,8,主题曲贰·隔雾看花,94733
3,虚拟偶像团综丨《去世界尽头》,5297478,52121,43,0,嘉宾观察室林致篇·皮筋立大功,94354
4,尾钩,141485,11828,8,0,第04集 · 悦国酒店,95503
5,伏特加与曼特宁,1668576,63123,21,1,主题曲·私藏余温,92988
6,嫡谋·第一季,360828,9478,16,7,第九集·「棋落尘缘」,94462
7,宋玉章 第一季,3345106,44459,19,1,主题曲 · 玉堂春· 伴奏,86589
8,满城衣冠 全一季,2384817,54177,30,8,第9集 · 正义,90878
9,囚于永夜,1170275,28992,200,161,温然生日小剧场,94916
10,是心跳说谎 全一季,17133,2270,2,0,预告一·心跳瞬间,95516
11,解瘾,432759,13538,23,4,福利音❃奉心,94782
12,清白之年,450382,13591,19,0,第六集·明月装饰了我的窗,94838
13,恒星时刻 第一季,346234,49558,1,0,歌曲《狮心》（Live）,94789
14,触礁,260391,12052,15,5,七夕福利音,95034
15,穿进赛博游戏后干掉BOSS成功上位 第一季,6256,1266,1,0,预告,95678
16,谁来言说夜晚 上季,1510762,15652,82,45,第62集,94321
17,赤霞珠,271695,11896,30,19,处暑福利音·饮酒小贴士·唐渡,95114
18,绰约,2182506,32480,38,7,律法小贴士·9则,86680
19,炽火难熄 全一季,321472,20008,13,3,第五集 · 生日快乐,94917
20,搭界 第一季,435143,16164,23,10,EP07 小剧场,94617
21,放学后别来我办公室 全一季,553723,18188,11,0,概念曲＜青阳＞伴奏,86868
22,愚蠢的有钱人 全一季,154728,7024,17,3,第五集,94873
23,沉浮事,672739,15235,14,3,七夕小剧场·红线,94775
24,错登科  第一季,110789,4840,12,5,花絮-凤梨酥噎人事件,94787
25,大王万万不可！ 第一季,367720,14755,24,7,第十集·各有所图,94259
26,守寡后我重生了 第二季,75229,3192,9,1,七夕福利音· 陈敬宗,95212
27,叛臣,212478,11507,20,8,播放福利 · 20万,94684
28,我花开后百花杀 第一季,104706,4258,8,0,第二集 · 暗香识,94893
29,当你叫醒我,1098328,17532,14,0,回响主题曲《当你叫醒我》,94268
30,你克制一点 全一季,1055260,27918,23,10,花絮④,87343
