排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,47611237,402614,D2,57,24,26719,17370,65.01%,4.31%,完结FT,72230
2,天官赐福 第四季,10810207,130754,D2,29,8,12530,7057,56.32%,5.40%,新年小剧场《压岁钱》,91718
3,你的雪人能活多久 第一季,1607772,59092,D2,29,7,5634,1149,20.39%,1.94%,教师节福利彩蛋,93787
4,奇洛李维斯回信,55426164,577346,D2,98,41,54113,29139,53.85%,5.05%,OST A12 · 暗恋基本法,85974
5,尾钩,732421,21565,D2,27,14,2302,1349,58.60%,6.26%,第21集 · 麦芽香,95503
6,恒星时刻 第一季,915193,62983,D2,6,0,9593,0,0.00%,0.00%,第二集♬Midwest Emo,94789
7,情蛊,42326508,452335,D2,68,49,54831,33994,62.00%,7.52%,4000w福利·山大王,86178
8,伏特加与曼特宁,2079215,66297,D2,28,5,3711,1500,40.42%,2.26%,✦店长来啦！⑥,92988
9,灯花笑 上季,3898217,59500,D2,30,13,8680,2100,24.19%,3.53%,第16集,94733
10,天官赐福 第三季,73261390,276936,D2,68,44,34402,28518,82.90%,10.30%,小剧场·元宵·花灯,82040
11,天官赐福 第一季,88531925,979305,D2,61,43,69063,37326,54.05%,3.81%,四千万福利·小剧场·从前有一位名师,52400
12,宋玉章 第一季,4317983,46198,D2,25,4,3114,1159,37.22%,2.51%,宋玉章 · 教师节特别语音,86589
13,天官赐福 第二季,74688824,365331,D2,61,43,39083,35581,91.04%,9.74%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
14,我在无限游戏里封神 第四季,8144798,146345,D2,56,15,12111,9570,79.02%,6.54%,特别放送 · emoji大挑战,86834
15,满城衣冠 全一季,2733041,56748,D2,36,11,3557,1594,44.81%,2.81%,第12集 · 绑架,90878
16,一屋暗灯 全一季,13263374,208946,D2,54,14,34881,16205,46.46%,7.76%,主役版主题曲▪未说的,93038
17,囚于永夜,1553835,33083,D2,200,161,3346,1072,32.04%,3.24%,番外 少爷的生日7,94916
18,藏南晚星,20311304,210022,D2,81,44,21231,15770,74.28%,7.51%,✧2000万福利·番外·美梦,85110
19,放学等我 第一季,54823935,843542,D2,53,18,61917,35814,57.84%,4.25%,1700W福利·P-特别小剧场「2022.12.2」,64911
20,放学等我 第二季,32200712,454354,D2,42,16,44383,33852,76.27%,7.45%,番外·恋爱纪念日,68837
21,魔道祖师 第三季,297995044,1548838,D2,66,56,97572,89879,92.12%,5.80%,传讯符·忘羡,22602
22,魔道祖师 第一季,260722111,2287593,D2,39,22,97102,64608,66.54%,2.82%,主创FT<下>,15861
23,沉浮事,1037622,17506,D2,17,6,1867,1094,58.60%,6.25%,浊世篇·第六集,94775
24,全职高手广播剧第四季 上,27807,3498,D2,2,0,178,0,0.00%,0.00%,正式预告,96092
25,江医生 第一季,17329518,239380,D2,49,27,23283,14268,61.28%,5.96%,千万播放福利第四弹·小剧场·猫,81852
26,我在无限游戏里封神 第三季,24452176,221932,D2,91,21,30541,22789,74.62%,10.27%,破亿纪念单曲·神明所遗落的,81851
27,魔道祖师 第二季,171895959,1424017,D2,41,37,88909,81651,91.84%,5.73%,主役FT（下）,19059
28,台风眼 第二季,30089868,164505,D2,50,32,14413,13344,92.58%,8.11%,完结 FT,68664
29,炽火难熄 全一季,428305,21382,D2,18,6,1643,755,45.95%,3.53%,第八集 · 夜店,94917
30,江医生 第二季,8641540,123899,D2,44,36,13908,12948,93.10%,10.45%,主役版·绝对,85256
31,台风眼 第一季,36165402,311006,D2,53,20,22340,13955,62.47%,4.49%,千万福利·富士山在等一片云,52404
32,某某 第一季,99019431,1728615,D2,43,28,76960,45054,58.54%,2.61%,伴奏|《梧桐说》,58219
33,我喜欢你的信息素 第一季,101180454,1522812,D2,48,21,72097,44680,61.97%,2.93%,四千万福利,58217
34,吞海 第一季,52529765,538906,D2,54,17,45886,28925,63.04%,5.37%,原创配乐·破晓,29187
35,降水概率百分百,2176799,30820,D2,45,18,3084,1813,58.79%,5.88%,完结彩蛋 ♡ 晴天娃娃,93005
36,将进酒 第一季,106921639,1449722,D2,59,16,78404,53366,68.07%,3.68%,完结FT,25944
37,我在无限游戏里封神 第一季,75200919,1005768,D2,64,14,77845,43606,56.02%,4.34%,线下漫展VLOG,52347
38,你的距离,91319431,940921,D2,70,27,78832,56571,71.76%,6.01%,完结FT·主创版,31552
39,我在无限游戏里封神 第二季（下）,21443237,258722,D2,55,14,28386,24264,85.48%,9.38%,花絮06,76557
40,娑婆,2021834,39040,D2,32,21,3864,1251,32.38%,3.20%,第十八集,93178
