排名,剧名,播放量,订阅数,总集数,付费集数,宣发策略,最新更新,剧集ID
1,早春晴朗,49586666,416400,57,24,D2,完结FT,72230
2,情蛊,42677658,455201,68,49,D2,4000w福利·山大王,86178
3,放学等我 第一季,55087085,845985,53,18,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
4,奇洛李维斯回信,55895666,579802,98,41,D2,OST A12 · 暗恋基本法,85974
5,二哈和他的白猫师尊,168148159,3202460,84,0,B,概念曲-拜长久（+童声版）,20741
6,小蘑菇 第一季,51330004,934502,33,17,D2,白噪音·漫步荒原,29125
7,天官赐福 第四季,12153387,134850,31,10,D2,新年小剧场《压岁钱》,91718
8,灯花笑 上季,4333074,62591,35,16,D2,盛京杂谈·叁,94733
9,恒星时刻 第一季,1356711,66957,12,0,D2,歌曲《狮心》（Live）Remix,94789
10,天官赐福 第一季,89127768,981699,61,43,D2,四千万福利·小剧场·从前有一位名师,52400
11,难哄,147964681,1585824,76,48,D2,破亿福利·纪念FT,38074
12,虚拟偶像团综丨《去世界尽头》,6930299,55755,51,0,B,第十期·家族聚会守则,94354
13,不二之臣,41639825,861539,16,0,B,大结局·下,25580
14,干涸地,2309458,95453,5,2,D2,火风L原著|干涸地·第三集,86725
15,红白囍 第一季,7716735,116973,46,13,D2,花絮03,81597
16,伪装学渣 第一季,103850208,1956567,30,17,D2,千万福利·“叫妈妈”,58262
17,囚于永夜,5458420,324245,1,0,B,织音发布会纯享PV · 概念预告,86822
18,魔道祖师 第一季,260898657,2289088,39,22,D2,主创FT<下>,15861
19,你的雪人能活多久 第一季,1790214,61790,31,9,D2,小剧场04 · 密码,93787
20,台风眼 第一季,36277678,312460,53,20,D2,千万福利·富士山在等一片云,52404
21,将进酒 第一季,107073674,1450875,59,16,D2,完结FT,25944
22,偷偷藏不住,203642138,2421756,89,54,D2,2亿福利·双人电话语音,34632
23,一屋暗灯 全一季,13430584,210280,54,14,D2,主役版主题曲▪未说的,93038
24,我在无限游戏里封神 第一季,75360578,1007186,64,14,D2,线下漫展VLOG,52347
25,重生之将门毒后 第一季,95654383,845790,82,27,D2,主役reaction·片段03,43922
26,某某 第一季,99130406,1729765,43,28,D2,伴奏|《梧桐说》,58219
27,天官赐福 第三季,73842546,278425,68,44,D2,小剧场·元宵·花灯,82040
28,我喜欢你的信息素 第一季,101305870,1523930,48,21,D2,四千万福利,58217
29,见春天,13610090,236784,54,8,D2,魏清越书信·02,80533
30,放学等我 第二季,32354018,455838,42,16,D2,番外·恋爱纪念日,68837
31,藏南晚星,20454564,211002,81,44,D2,✧2000万福利·番外·美梦,85110
32,尾钩,984823,23596,35,21,D2,第28集 · 心火微燃,95503
33,如果月亮不抱你,84259517,1196501,24,0,B,全网2000万福利突击采访,25485
34,伏特加与曼特宁,2199992,67170,33,8,D2,主题曲·秩序失守,92988
35,再世权臣 第一季,22524186,264927,79,17,D2,花絮07,71321
36,我在无限游戏里封神 第四季,8274864,147340,56,15,D2,特别放送 · emoji大挑战,86834
37,不想了,10023571,115904,93,66,D2,500W福利·主役版主题曲《同谋》,70445
38,天官赐福 第二季,75239462,366840,61,43,D2,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
39,宋玉章 第一季,4769527,47938,28,5,D2,第八折 ·  沉溺芳华,86589
40,洄天 第一季,28612740,249086,65,14,D2,完结语音 · 高能量S级监护人的一天,86815
41,娘娘腔,38924278,727805,31,0,B,主役听剧Reaction,46640
42,一颗苹果,14187551,168112,82,35,C,完结FT · 谢谢光临,90818
43,全球高考 第一季（全新版）,22267357,379801,37,11,D2,— 「全季完结FT」—,60289
44,魔道祖师 第三季,298168063,1549496,66,56,D2,传讯符·忘羡,22602
45,满城衣冠 全一季,2890115,57945,37,12,D2,第13集 · 脱困,90878
46,江医生 第一季,17417713,240024,49,27,D2,千万播放福利第四弹·小剧场·猫,81852
47,虚拟偶像团综丨《NEW DAYS（一起又出发）》,32322822,116212,95,0,B,许向安&许向宁生日小剧场·那片山那片海,84529
48,你的距离,91429185,941513,70,27,D2,完结FT·主创版,31552
49,FOG[电竞] 第一季,71719668,770488,39,14,D2,2000W福利·whisper伴奏抒情版,29122
50,二哈和他的白猫师尊,17015086,108624,669,603,D2,完结FT,81979
51,虚拟偶像团综丨《一起再出发》,93973618,255745,179,0,B,中秋特辑·清道夫,58225
52,囚于永夜,1681043,34442,200,161,D2,番外 少爷的生日7,94916
53,交易沦陷,30572173,179885,138,99,D2,特别福利·星空沦陷,54171
54,吞海 第一季,52655405,539806,54,17,D2,原创配乐·破晓,29187
55,重生之将门毒后 第二季,42875259,387942,83,26,D2,破亿福利·白噪音·花灯,52293
56,夫人你马甲又掉了 第一季,65519861,1027842,25,0,B,小剧场3,32574
57,南方海啸,25655872,175552,102,68,D2,花絮⑤,85492
58,虚拟偶像团综丨《LASER出道日》,84343135,683759,89,0,B,专业小课堂：电子竞技运动与管理专业,28989
59,迪奥先生 第一季,79908758,1080341,30,15,D2,王氏破产 铃声,23329
60,判官 第一季,39056885,658366,45,21,D2,听剧reaction,37773
61,我在无限游戏里封神 第三季,24567760,222652,91,21,D2,破亿纪念单曲·神明所遗落的,81851
62,第二十八年春,10945189,385281,13,0,B,第四期,26751
63,酸梅,4302111,261118,4,0,B,第二期,51020
64,奇洛李维斯回信 番外篇,1268475,77340,3,2,D2,番外 ·  庆生宴,93420
65,魔道祖师 第二季,172004382,1424681,41,37,D2,主役FT（下）,19059
66,坠落,11782263,186761,59,22,D2,番外二·新生,76041
67,针锋对决,38358245,942054,19,0,B,完结FT  互动问答,19249
68,唇枪 上季,497854,24265,1,0,B,织音发布会纯享PV,94802
69,这题超纲了 第一季,21340725,501981,44,17,D2,【回放】《这题超纲了》M星直播,41369
70,等风热吻你,16954383,315969,56,18,D2,插曲《约定》,52292
71,是心跳说谎 全一季,144917,7233,9,1,D2,第三集,95516
72,于是麦麦决定离家出走,6204385,115067,53,33,D2,七夕小剧场✦小天使,86179
73,撒野 第一季,88695698,1846439,36,8,D2,千万播放纪念,58443
74,恃宠 全一季,11679822,139845,67,26,D2,500w播放纪念· 谢砚礼 会议闲暇,76670
75,营业悖论 第一季,48525353,663360,50,13,D2,中秋特别语音,36817
76,虚拟偶像综艺 |《VANITY FAIR（名利场）》,29100524,131076,71,0,B,梦系列小剧场06·白日,78684
77,我喜欢你的信息素 第二季,77134300,852611,43,26,D2,国风版·星衍,58218
78,FOG[电竞]第二季,59178881,438321,50,28,D2,破亿特别直播回放,39588
79,告白 第一季,21657669,373836,54,12,D2,1000w福利·早安·周京泽,59041
80,封建糟粕,16323673,157926,143,110,D2,充电·李叔堂,87589
81,落池,68801851,1353494,15,0,B,落池·番外,22032
82,君有疾否 第一季,27447310,469905,67,56,D2,苏世誉 ✦ 第一季启动音,34592
83,失忆后死对头成了我男朋友？,5647036,105656,48,20,D2,花絮15·恢复,86693
84,别来无恙 第一季,23555851,460443,48,22,D2,1000W福利•《满心》（合唱版）,37937
85,结婚而已,3402302,46724,49,24,D2,☾ · 春节福利音,88370
86,虚拟偶像综艺丨《险象环声》,84872273,440198,138,0,B,三千万福利·偶像问答,38165
87,逐玉 第一季,4722470,75170,43,14,D2,原创配乐 · 凶夜,89245
88,将进酒 第二季,73259192,816877,45,22,D2,第二季完结FT,30383
89,破云 第一季,59621175,1107288,20,15,D2,圣诞特辑,59047
90,提灯看刺刀 上季,15076731,244987,32,8,D2,花絮·韩楚,77771
91,娑婆,2110103,39561,33,22,D2,第十九集,93178
92,台风眼 第二季,30169408,165280,50,32,D2,完结 FT,68664
93,乘鸾 第一季,137986,5266,13,2,D2,花絮一,94849
94,欢迎进入梦魇直播间 第一季,24266639,200039,62,20,D2,完结FT,75856
95,微微一笑很倾城,16142851,341838,14,0,B,番外,1884
96,我在无限游戏里封神 第二季（下）,21518782,259359,55,14,D2,花絮06,76557
97,秉性下等,26475627,209890,99,35,D2,两千万福利·时间的情书,64528
98,偏偏宠爱,17996251,368433,49,13,D2,四百万语音·江忍,52353
99,悬日 上季,12097968,157063,52,18,D2,ଫ苏洄生日福利,88192
100,你就当我死了吧  全一季,13360544,255146,30,0,B,主役版主题曲（纯享）,76841
