排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,洄天 第一季,21638130,218064,39,4,18893,7116,37.66%,第六期,86815
2,一屋暗灯 全一季,3467447,109038,18,1,18202,3813,20.95%,起床语音·宋谨,93038
3,我在无限游戏里封神 第四季,3425320,114432,21,5,6580,3940,59.88%,第五集 · 纸鬼桥,86834
4,奇洛李维斯回信,45126319,520326,79,23,48369,24785,51.24%,花絮09 ·小花絮又又又又又来了,85974
5,情蛊,35642649,395160,67,48,47987,29519,61.51%,完结FT·下,86178
6,早春晴朗,32538062,251712,57,24,20332,13312,65.47%,完结FT,72230
7,沉醉不醒,2127932,43842,23,6,3026,1418,46.86%,ღ200万福利·晚安语音·苏墨,86740
8,初三的六一儿童节,25482676,56084,265,233,6174,4966,80.43%,番外3 兄弟（8）,85562
9,一颗苹果,12271565,142375,80,34,11497,4883,42.47%,启动音试听 · 谢青寄,90818
10,我在无限游戏里封神 第三季,21725106,204683,91,21,28325,20880,73.72%,破亿纪念单曲·神明所遗落的,81851
11,于是麦麦决定离家出走,4800890,99345,35,21,8462,5139,60.73%,花絮04,86179
12,愚蠢的有钱人,502344,17450,34,21,1438,582,40.47%,【花絮3】,93113
13,初三的六一儿童节 第二季（上）,401451,8507,5,2,675,382,56.59%,第三集 · 明德小事,93154
14,娑婆,307783,20160,5,0,1947,0,0.00%,主题曲·莫拜观音,93178
15,天官赐福 第三季,69131471,255157,67,43,31882,26250,82.33%,小剧场·元宵·花灯,82040
16,反差 全一季,6873777,54005,33,15,3682,2062,56.00%,第十三集·向死之心,86684
17,放学等我 第一季,50739883,807192,53,18,62610,36307,57.99%,1700W福利·P-特别小剧场「2022.12.2」,64911
18,降水概率百分百,644770,18333,13,1,1569,424,27.02%,花絮01,93005
19,藏南晚星,18095301,193950,79,42,19283,14165,73.46%,主题曲伴奏·途经,85110
20,放学等我 第二季,29811751,430732,42,16,44233,34523,78.05%,番外·恋爱纪念日,68837
21,天官赐福 第二季,71001252,345116,61,43,37359,33978,90.95%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
22,再世权臣 第三季（下）,51479,7381,2,0,281,0,0.00%,日历语音 · 梦中人,93437
23,顶级掠食者 第二季,6573323,52760,32,13,4586,3561,77.65%,600W播放纪念,86789
24,天官赐福 第一季,83837908,944084,61,43,67949,36466,53.67%,四千万福利·小剧场·从前有一位名师,52400
25,恩客,1166182,17129,49,36,1366,887,64.93%,41·如果当时,91870
26,我在无限游戏里封神 第一季,71532257,973061,64,14,76667,42972,56.05%,线下漫展VLOG,52347
27,惹祸精,983201,29995,38,14,1641,893,54.42%,花絮4.0,90987
28,太傅他人人喊打 第二季,2740994,39237,25,13,2931,1830,62.44%,第十二集,86723
29,吞海 第一季,50168896,518466,54,17,44325,27666,62.42%,原创配乐·破晓,29187
30,再世权臣 第三季（上）,2516791,47266,34,10,3443,2646,76.85%,第十集 ·  再度启程,86827
31,魔道祖师 第三季,295081799,1536654,66,56,97616,90023,92.22%,传讯符·忘羡,22602
32,欢迎进入梦魇直播间 第二季,5945370,43920,28,11,3428,2471,72.08%,《今日没说法》⑤ ·「不平安疗养院」,90985
33,我在无限游戏里封神 第二季（下）,19574590,242340,55,14,26705,22735,85.13%,花絮06,76557
34,偷风不偷月 上季,8023792,126837,41,18,10346,5760,55.67%,300w福利·楚识琛（沈若臻）·风月语录,71389
35,魔道祖师 第一季,257587060,2253937,39,22,96857,64543,66.64%,主创FT<下>,15861
36,交易沦陷,26772602,164567,138,99,16348,9543,58.37%,特别福利·星空沦陷,54171
37,你的距离,89474005,930079,70,27,78296,56195,71.77%,完结FT·主创版,31552
38,我在无限游戏里封神 第二季（上）,19669020,319848,42,11,33041,28613,86.60%,花絮06,71605
39,吞海 第二季,31651882,264019,56,19,25266,23514,93.07%,新年祝福,67085
40,吞海 第三季（上）,21871886,210199,38,16,17868,16724,93.60%,OST·04 此地埋名,73221
41,某某 第一季,97085344,1700619,43,28,77229,45098,58.40%,伴奏|《梧桐说》,58219
42,小蘑菇 第二季,50136582,493022,46,33,50424,46919,93.05%,全剧五千万福利,39605
43,将进酒 第一季,104702419,1426140,59,16,78172,53299,68.18%,完结FT,25944
44,魔道祖师 第二季,170077542,1411830,41,37,88807,81543,91.82%,主役FT（下）,19059
45,初三的六一儿童节 第一季,11204517,56554,53,16,3258,1577,48.40%,新年♥快乐,85497
46,偷风不偷月 下季,3506871,61726,35,17,4497,4224,93.93%,100W福利·白噪音,77591
47,台风眼 第二季,28792216,150959,50,32,13254,12241,92.36%,完结 FT,68664
48,奇洛李维斯回信 番外篇,315791,29194,3,2,2614,2151,82.29%,番外 ·  庆生宴,93420
49,台风眼 第一季,34201142,287460,53,20,20299,12845,63.28%,千万福利·富士山在等一片云,52404
50,逐玉 第二季,734730,14167,15,4,454,108,23.79%,小剧场 · 退学记,92520
