排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,恒星时刻 第一季,767207,61323,D2,4,0,第一集♬R&R,94789
2,天官赐福 第四季,10121353,128447,D2,27,6,第四集·不能尽善问心有憾,91718
3,灯花笑 上季,3678046,57722,D2,30,13,第16集,94733
4,虚拟偶像团综丨《去世界尽头》,6004819,53714,B,47,0,嘉宾观察室江恪篇·滑草DIY,94354
5,干涸地,2206910,94466,D2,3,0,火风L原著|干涸地·第一集,86725
6,是心跳说谎 全一季,75509,5526,D2,5,0,第一集,95516
7,尾钩,575077,20137,D2,22,9,主题曲② · 让他着陆,95503
8,满城衣冠 全一季,2632074,56102,D2,34,10,第11集 · 离巢,90878
9,你的雪人能活多久 第一季,1480238,57131,D2,27,6,小剧场03 · 戒指,93787
10,伏特加与曼特宁,1996091,65711,D2,26,4,✦店长来啦！⑤,92988
11,宋玉章 第一季,4087087,45755,D2,23,3,第六折 ·  瞒天过海,86589
12,谁来言说夜晚 上季,1836334,16269,D2,97,59,第76集,94321
13,囚于永夜,1480148,32436,D2,200,161,番外 少爷的生日7,94916
14,嫡谋·第一季,400293,10162,D2,18,9,第十一集·「春深局变」,94462
15,解瘾,552940,14254,D2,27,6,第八集,94782
16,绰约,2316390,32812,D2,43,10,律法小贴士·11则,86680
17,炽火难熄 全一季,404221,21117,D2,17,5,第七集 · 喜不喜欢？,94917
18,放学后别来我办公室 全一季,675029,19316,D2,14,2,小剧场「大扫除」,86868
19,清白之年,549887,15057,D2,22,3,第八集·一颗开花的树,94838
20,搭界 第一季,495718,16791,D2,27,13,花絮 04,94617
21,沉浮事,956946,17156,D2,17,6,浊世篇·第六集,94775
22,穿进赛博游戏后干掉BOSS成功上位 第一季,70494,4349,B,6,0,第2集,95678
23,错登科  第一季,137361,5274,D2,15,7,花絮-要被萌死了,94787
24,赤霞珠,352485,13490,D2,30,19,处暑福利音·饮酒小贴士·唐渡,95114
25,触礁,381457,13236,D2,18,6,✰花絮·03✰,95034
26,大王万万不可！ 第一季,461171,15646,D2,26,9,第十二集·红尘诸事,94259
27,传闻,35662,3712,D2,4,0,✧倒计时两天,95625
28,愚蠢的有钱人 全一季,188066,7747,D2,26,7,第七集,94873
29,守寡后我重生了 第二季,122415,3995,D2,12,3,第四集,95212
30,我花开后百花杀 第一季,130328,4801,D2,10,0,第四集 · 旗鼓相当,94893
