排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,43468462,361422,D2,57,24,25351,16449,64.89%,4.55%,完结FT,72230
2,天官赐福 第四季,9585626,126037,D2,26,5,11781,6199,52.62%,4.92%,第三集·叫天不应叫地不灵,91718
3,奇洛李维斯回信,54901397,575004,D2,98,41,53937,28964,53.70%,5.04%,OST A12 · 暗恋基本法,85974
4,你的雪人能活多久 第一季,1412820,56275,D2,26,5,5395,922,17.09%,1.64%,雪人直播间第一期 · 雪人猜猜猜,93787
5,灯花笑 上季,3479920,56262,D2,28,11,8410,1844,21.93%,3.28%,第14集,94733
6,情蛊,41985675,449988,D2,68,49,54668,33859,61.94%,7.52%,4000w福利·山大王,86178
7,伏特加与曼特宁,1941597,65243,D2,25,4,3589,1367,38.09%,2.10%,第五期,92988
8,宋玉章 第一季,3872589,45466,D2,22,2,2917,916,31.40%,2.01%,导演花絮01· 好多人啊,86589
9,天官赐福 第三季,72750042,275460,D2,68,44,34217,28330,82.80%,10.28%,小剧场·元宵·花灯,82040
10,我在无限游戏里封神 第四季,8005740,145422,D2,56,15,12006,9467,78.85%,6.51%,特别放送 · emoji大挑战,86834
11,尾钩,452258,18656,D2,18,6,1871,872,46.61%,4.67%,第13集 · 后退,95503
12,天官赐福 第二季,74120611,363907,D2,61,43,38970,35462,91.00%,9.74%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
13,天官赐福 第一季,87963407,977014,D2,61,43,69039,37265,53.98%,3.81%,四千万福利·小剧场·从前有一位名师,52400
14,满城衣冠 全一季,2565345,55566,D2,33,9,3385,1423,42.04%,2.56%,白噪音 · 苏苏念经,90878
15,一屋暗灯 全一季,13087837,207774,D2,54,14,34729,16061,46.25%,7.73%,主役版主题曲▪未说的,93038
16,囚于永夜,1407555,31586,D2,200,161,3174,992,31.25%,3.14%,番外 少爷的生日7,94916
17,沉浮事,885807,16829,D2,17,6,1808,1045,57.80%,6.21%,浊世篇·第六集,94775
18,炽火难熄 全一季,375843,20813,D2,16,4,1574,679,43.14%,3.26%,花絮03 ·“你好香啊”,94917
19,藏南晚星,20120255,209011,D2,80,43,21086,15635,74.15%,7.48%,七夕小剧场 · 小许老师买菜记,85110
20,放学等我 第一季,54602251,842068,D2,53,18,61939,35833,57.85%,4.26%,1700W福利·P-特别小剧场「2022.12.2」,64911
21,放学等我 第二季,32073057,453450,D2,42,16,44404,33890,76.32%,7.47%,番外·恋爱纪念日,68837
22,我在无限游戏里封神 第三季,24329334,221334,D2,91,21,30471,22731,74.60%,10.27%,破亿纪念单曲·神明所遗落的,81851
23,魔道祖师 第三季,297799465,1548255,D2,66,56,97533,89839,92.11%,5.80%,传讯符·忘羡,22602
24,魔道祖师 第一季,260529140,2286071,D2,39,22,97089,64588,66.52%,2.83%,主创FT<下>,15861
25,恒星时刻 第一季,503420,55519,D2,3,0,6970,0,0.00%,0.00%,预告 · 肆,94789
26,江医生 第一季,17229950,238754,D2,49,27,23231,14225,61.23%,5.96%,千万播放福利第四弹·小剧场·猫,81852
27,台风眼 第二季,30005948,163866,D2,50,32,14358,13290,92.56%,8.11%,完结 FT,68664
28,魔道祖师 第二季,171773393,1423405,D2,41,37,88916,81657,91.84%,5.74%,主役FT（下）,19059
29,台风眼 第一季,36061324,309922,D2,53,20,22268,13912,62.48%,4.49%,千万福利·富士山在等一片云,52404
30,我喜欢你的信息素 第一季,101062335,1521800,D2,48,21,72071,44669,61.98%,2.94%,四千万福利,58217
31,我在无限游戏里封神 第一季,75042455,1004601,D2,64,14,77772,43557,56.01%,4.34%,线下漫展VLOG,52347
32,江医生 第二季,8573501,123461,D2,44,36,13855,12896,93.08%,10.45%,主役版·绝对,85256
33,某某 第一季,98913805,1727695,D2,43,28,76947,45046,58.54%,2.61%,伴奏|《梧桐说》,58219
34,触礁,344573,13018,D2,18,6,1344,923,68.68%,7.09%,✰花絮·03✰,95034
35,我在无限游戏里封神 第二季（下）,21358277,258098,D2,55,14,28337,24223,85.48%,9.39%,花絮06,76557
36,吞海 第一季,52389289,538029,D2,54,17,45822,28867,63.00%,5.37%,原创配乐·破晓,29187
37,难言之欲,241352,10536,D2,9,3,785,379,48.28%,3.60%,E4,94857
38,我喜欢你的信息素 第二季,76964123,851387,D2,43,26,59030,49795,84.36%,5.85%,国风版·星衍,58218
39,降水概率百分百,2077595,29716,D2,45,18,3010,1760,58.47%,5.92%,完结彩蛋 ♡ 晴天娃娃,93005
40,一颗苹果,14043513,166241,C,82,35,13791,6113,44.33%,3.68%,完结FT · 谢谢光临,90818
41,将进酒 第一季,106773420,1448570,D2,59,16,78381,53346,68.06%,3.68%,完结FT,25944
42,重生之将门毒后 第二季,42649624,386720,D2,83,26,50874,34280,67.38%,8.86%,破亿福利·白噪音·花灯,52293
43,我在无限游戏里封神 第二季（上）,20892646,335097,D2,42,11,34449,29834,86.60%,8.90%,花絮06,71605
44,你的距离,91191797,940195,D2,70,27,78824,56546,71.74%,6.01%,完结FT·主创版,31552
45,伪装学渣 第一季,103695954,1954590,D2,30,17,80113,47043,58.72%,2.41%,千万福利·“叫妈妈”,58262
46,某某 第二季,66813724,835040,D2,67,39,68637,51371,74.84%,6.15%,破亿纪念·《正年少》,58220
47,吞海 第二季,33087398,275732,D2,56,19,26456,24657,93.20%,8.94%,新年祝福,67085
48,清白之年,527980,14813,D2,20,1,1343,269,20.03%,1.82%,第七集·与子成说,94838
49,洄天 第一季,28417422,247994,D2,65,14,23581,11405,48.37%,4.60%,完结语音 · 高能量S级监护人的一天,86815
50,吞海 第三季（上）,22913086,220833,D2,38,16,18895,17711,93.73%,8.02%,OST·04 此地埋名,73221
