排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,天官赐福 第四季,6953108,103784,16,0,7795,0,0.00%,0.00%,正式预告·神明与信徒,91718
2,一屋暗灯 全一季,12195549,200543,53,13,33867,15190,44.85%,7.57%,福利彩蛋·看星星,93038
3,奇洛李维斯回信,53090285,565632,98,41,53035,28257,53.28%,5.00%,OST A12 · 暗恋基本法,85974
4,我在无限游戏里封神 第四季,7462678,141653,56,15,11418,8884,77.81%,6.27%,特别放送 · emoji大挑战,86834
5,满城衣冠 全一季,2059371,51996,20,5,2987,1009,33.78%,1.94%,第7集 · 上车·车上,90878
6,宋玉章 第一季,2527424,42193,15,0,2164,0,0.00%,0.00%,第二折 · 小团圆,86589
7,灯花笑 上季,2122165,45375,17,3,7183,681,9.48%,1.50%,第7集,94733
8,情蛊,40584401,438758,67,48,53231,32824,61.66%,7.48%,完结FT·下,86178
9,伏特加与曼特宁,1309747,59672,15,0,2476,0,0.00%,0.00%,主题曲伴奏·泊岸,92988
10,你的雪人能活多久 第一季,697280,45383,14,0,3984,0,0.00%,0.00%,祝知希角色曲《小爱神》伴奏,93787
11,天官赐福 第三季,71838611,270212,68,44,33532,27706,82.63%,10.25%,小剧场·元宵·花灯,82040
12,囚于永夜,696306,21071,200,161,1738,460,26.47%,2.18%,温然生日小剧场,94916
13,炽火难熄 全一季,222160,17440,10,1,1259,345,27.40%,1.98%,第三集 · 升级,94917
14,天官赐福 第二季,73315318,358860,61,43,38488,35005,90.95%,9.75%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
15,天官赐福 第一季,86901589,968835,61,43,68793,37042,53.85%,3.82%,四千万福利·小剧场·从前有一位名师,52400
16,我在无限游戏里封神 第三季,23862261,218545,91,21,30093,22414,74.48%,10.26%,破亿纪念单曲·神明所遗落的,81851
17,绰约,2049955,31873,32,5,1446,510,35.27%,1.60%,律法小贴士·7则,86680
18,一颗苹果,13752509,162676,82,35,13379,5898,44.08%,3.63%,完结FT · 谢谢光临,90818
19,我在无限游戏里封神 第一季,74409474,999320,64,14,77588,43430,55.98%,4.35%,线下漫展VLOG,52347
20,谁来言说夜晚 上季,1076731,14561,56,30,1553,819,52.74%,5.62%,第47集,94321
21,洄天 第一季,28052956,246009,65,14,23317,11258,48.28%,4.58%,完结语音 · 高能量S级监护人的一天,86815
22,放学等我 第一季,53724243,834920,53,18,62471,36033,57.68%,4.32%,1700W福利·P-特别小剧场「2022.12.2」,64911
23,解瘾,304219,12488,17,2,751,184,24.50%,1.47%,第四集,94782
24,放学等我 第二季,31575914,448769,42,16,44426,34045,76.63%,7.59%,番外·恋爱纪念日,68837
25,早春晴朗,36813210,276983,57,24,22385,14684,65.60%,5.30%,完结FT,72230
26,魔道祖师 第三季,297199410,1545644,66,56,97522,89859,92.14%,5.81%,传讯符·忘羡,22602
27,我在无限游戏里封神 第二季（下）,21045125,255485,55,14,27989,23903,85.40%,9.36%,花絮06,76557
28,清白之年,341542,12215,12,0,971,0,0.00%,0.00%,小剧场·重逢,94838
29,魔道祖师 第一季,259901168,2279521,39,22,97137,64658,66.56%,2.84%,主创FT<下>,15861
30,搭界 第一季,360769,15218,17,5,1535,764,49.77%,5.02%,30万播放福利 · 起床,94617
31,台风眼 第二季,29729738,161108,50,32,14097,13040,92.50%,8.09%,完结 FT,68664
32,沉浮事,382425,12763,11,0,1133,0,0.00%,0.00%,浊世篇·第二集,94775
33,再世权臣 第三季（下）,854114,25087,21,12,2261,2014,89.08%,8.03%,第十二集 ·  雨后风荷,93437
34,江医生 第一季,16877292,235885,49,27,22923,13973,60.96%,5.92%,千万播放福利第四弹·小剧场·猫,81852
35,我在无限游戏里封神 第二季（上）,20659570,332581,42,11,34168,29583,86.58%,8.89%,花絮06,71605
36,台风眼 第一季,35698128,305082,53,20,21812,13671,62.68%,4.48%,千万福利·富士山在等一片云,52404
37,藏南晚星,19643120,205241,79,42,20651,15286,74.02%,7.45%,主题曲伴奏·途经,85110
38,嫁给一个死太监 第一季,3829233,77014,34,12,4546,2524,55.52%,3.28%,新春福利音,66726
39,魔道祖师 第二季,171403531,1420809,41,37,88860,81595,91.82%,5.74%,主役FT（下）,19059
40,沉醉不醒,3987733,56371,47,28,4749,2961,62.35%,5.25%,特别福利·主题曲《方舟》丁竞元版,86740
41,理想型,1301985,16404,64,42,1489,911,61.18%,5.55%,53·心意,93439
42,我喜欢你的信息素 第一季,100588307,1516899,48,21,72070,44672,61.98%,2.94%,四千万福利,58217
43,某某 第一季,98521874,1722735,43,28,77291,45097,58.35%,2.62%,伴奏|《梧桐说》,58219
44,降水概率百分百,1753506,27516,34,14,2653,1471,55.45%,5.35%,˚.⊹ 第十七期 ♡₊˚,93005
45,娑婆,1599090,36204,24,14,3555,1002,28.19%,2.77%,第十三集,93178
46,小蘑菇 第二季,51772420,504485,51,34,51972,47754,91.88%,9.47%,破亿电话·双人,39605
47,吞海 第一季,51945810,534397,54,17,45533,28633,62.88%,5.36%,原创配乐·破晓,29187
48,小蘑菇 第一季,50784895,929117,33,17,58475,39255,67.13%,4.22%,白噪音·漫步荒原,29125
49,江医生 第二季,8342472,121620,44,36,13586,12632,92.98%,10.39%,主役版·绝对,85256
50,默读 第五季,39233656,466567,47,34,46536,40133,86.24%,8.60%,电话,59100
