排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,47242933,399645,D2,57,24,26580,17280,65.01%,4.32%,完结FT,72230
2,天官赐福 第四季,10628892,130191,D2,28,7,12382,6895,55.69%,5.30%,新年小剧场《压岁钱》,91718
3,你的雪人能活多久 第一季,1588879,58766,D2,29,7,5616,1141,20.32%,1.94%,教师节福利彩蛋,93787
4,奇洛李维斯回信,55369137,577100,D2,98,41,54100,29129,53.84%,5.05%,OST A12 · 暗恋基本法,85974
5,尾钩,701534,21359,D2,26,13,2250,1282,56.98%,6.00%,第20集 · 航行灯,95503
6,情蛊,42288425,452080,D2,68,49,54822,33990,62.00%,7.52%,4000w福利·山大王,86178
7,恒星时刻 第一季,867392,62603,D2,5,0,9390,0,0.00%,0.00%,小剧场 · 秦内心戏多得一❤隅,94789
8,灯花笑 上季,3856685,59163,D2,30,13,8650,2083,24.08%,3.52%,第16集,94733
9,伏特加与曼特宁,2067615,66214,D2,28,5,3700,1488,40.22%,2.25%,✦店长来啦！⑥,92988
10,天官赐福 第三季,73201835,276773,D2,68,44,34375,28491,82.88%,10.29%,小剧场·元宵·花灯,82040
11,天官赐福 第一季,88468193,979044,D2,61,43,69058,37321,54.04%,3.81%,四千万福利·小剧场·从前有一位名师,52400
12,宋玉章 第一季,4267554,46075,D2,25,4,3095,1139,36.80%,2.47%,宋玉章 · 教师节特别语音,86589
13,天官赐福 第二季,74629983,365155,D2,61,43,39066,35566,91.04%,9.74%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
14,我在无限游戏里封神 第四季,8129724,146238,D2,56,15,12103,9563,79.01%,6.54%,特别放送 · emoji大挑战,86834
15,满城衣冠 全一季,2708825,56621,D2,35,10,3534,1568,44.37%,2.77%,花絮⑥ · 方言难难难,90878
16,一屋暗灯 全一季,13243382,208832,D2,54,14,34872,16194,46.44%,7.75%,主役版主题曲▪未说的,93038
17,囚于永夜,1538311,32970,D2,200,161,3329,1060,31.84%,3.22%,番外 少爷的生日7,94916
18,藏南晚星,20292653,209875,D2,81,44,21215,15755,74.26%,7.51%,✧2000万福利·番外·美梦,85110
19,放学等我 第一季,54799593,843338,D2,53,18,61897,35813,57.86%,4.25%,1700W福利·P-特别小剧场「2022.12.2」,64911
20,放学等我 第二季,32186694,454251,D2,42,16,44379,33846,76.27%,7.45%,番外·恋爱纪念日,68837
21,魔道祖师 第三季,297973939,1548779,D2,66,56,97564,89871,92.11%,5.80%,传讯符·忘羡,22602
22,沉浮事,1022319,17443,D2,17,6,1862,1091,58.59%,6.25%,浊世篇·第六集,94775
