排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,天官赐福 第四季,10493825,129752,D2,28,7,新年小剧场《压岁钱》,91718
2,灯花笑 上季,3817116,58813,D2,30,13,第16集,94733
3,恒星时刻 第一季,847535,62359,D2,5,0,小剧场 · 秦内心戏多得一❤隅,94789
4,尾钩,671428,21142,D2,25,12,第19集 · 纪念日,95503
5,虚拟偶像团综丨《去世界尽头》,6086567,53948,B,47,0,嘉宾观察室江恪篇·滑草DIY,94354
6,你的雪人能活多久 第一季,1567166,58520,D2,28,7,第六集 · 易感期恶性综合征,93787
7,全职高手广播剧第四季 上,16899,2720,D2,2,0,正式预告,96092
8,干涸地,2232612,94811,D2,3,0,火风L原著|干涸地·第一集,86725
9,传闻,77357,6994,D2,6,0,✧第一集,95625
10,伏特加与曼特宁,2054663,66149,D2,27,5,第六期,92988
11,满城衣冠 全一季,2691798,56533,D2,35,10,花絮⑥ · 方言难难难,90878
12,宋玉章 第一季,4210952,45951,D2,23,3,第六折 ·  瞒天过海,86589
13,大王万万不可！ 第一季,480511,15851,D2,27,10,第十三集·一曲阳关,94259
14,我花开后百花杀 第一季,137040,4935,D2,11,1,第五集 · 落子无悔,94893
15,囚于永夜,1523873,32825,D2,200,161,番外 少爷的生日7,94916
16,穿进赛博游戏后干掉BOSS成功上位 第一季,78410,4519,B,7,0,第3集,95678
17,放学后别来我办公室 全一季,700365,19582,D2,15,3,第五课「人间烟火」,86868
18,谁来言说夜晚 上季,1906042,16397,D2,100,62,第79集,94321
19,守寡后我重生了 第二季,139823,4238,D2,14,4,花絮02,95212
20,嫡谋·第一季,407509,10249,D2,18,9,第十一集·「春深局变」,94462
21,茱丽叶塔 全一季,82863,6093,D2,25,3,「主题曲伴奏」浪漫曲,95106
22,沉浮事,1004932,17375,D2,17,6,浊世篇·第六集,94775
23,绰约,2339536,32857,D2,43,10,律法小贴士·11则,86680
24,搭界 第一季,503338,16900,D2,27,13,花絮 04,94617
25,清白之年,565947,15180,D2,23,3,花絮02,94838
26,炽火难熄 全一季,414215,21259,D2,17,5,第七集 · 喜不喜欢？,94917
27,是心跳说谎 全一季,83356,5792,D2,5,0,第一集,95516
28,任东西,83630,3439,D2,13,4,任东西·第七集,94860
29,触礁,411129,13430,D2,19,7,番外1⟢「 帆船 」,95034
30,赤霞珠,366206,13724,D2,30,19,处暑福利音·饮酒小贴士·唐渡,95114
