排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,虚拟偶像团综丨《去世界尽头》,3046203,45406,23,0,周年来电·许向宁,94354
2,灯花笑 上季,892060,33792,8,0,第2集,94733
3,囚于永夜,134841,8506,192,154,《囚于永夜》座谈会之完结FT,94916
4,当你叫醒我,755254,14146,10,0,第五集,94268
5,沉浮事,59807,7081,3,0,预告贰·十世镜,94775
6,蜉蝣,772721,23978,25,10,ೀ˖˚视频花絮02,93202
7,金陵春 第一季,78583,4370,8,0,第二集,94497
8,满城衣冠 全一季,1690661,48694,15,1,第4集 · 打赌,90878
9,再世权臣 第三季（下）,664820,22955,18,10,小剧场 · 由夯到拉锐评大铭男团,93437
10,愚蠢的有钱人 全一季,6549,1686,1,0,舒书木的男人们,94873
11,清白之年,146392,9768,9,0,主题曲①·旧巷流年,94838
12,宋玉章 第一季,1366369,31972,3,0,月历语音 · 静玉,86589
13,秋燥 第一季,438735,15584,17,6,第九集,93438
14,理想型,905408,14563,42,23,34·安全感,93439
15,娑婆,1338534,34384,19,10,主题曲·此身,93178
16,逆鳞 第一季,387220,14183,20,6,第八剑,93750
17,奇洛李维斯回信 番外篇,1027313,66033,3,2,番外 ·  庆生宴,93420
18,恒星时刻 第一季,194011,36337,1,0,歌曲《狮心》（Live）,94789
19,搭界 第一季,202356,12584,7,0,EP02  彩蛋,94617
20,沉入地球,309542,8308,68,46,第58集 · 搁浅的人,93569
21,解瘾,133032,9671,10,0,戏曲选段❃贵妃醉酒,94782
22,嫡谋·第一季,226100,6914,9,1,第四集 ·「内院生波」,94462
23,谁来言说夜晚 上季,762628,13136,38,12,第29集,94321
24,门生故旧,646752,16693,51,39,主役版·主题曲《窥光》,93774
25,炽火难熄 全一季,24864,7457,2,0,倒计时3天,94917
26,欲言难止,564282,18097,182,160,欲言难止 第171集 我做了一个很长的梦（完）,93138
27,入蛊 全一季,824769,20068,22,14,Ⱄⱄᐝ白噪音·逍遥居,93646
28,精神科医生神经了,291006,13714,26,9,小剧场②胖大海罢工处,93567
29,叛臣,82057,8399,10,2,花絮2,94684
30,绰约,1889574,30867,24,2,律法小贴士·4则,86680
