排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,1964318,81978,12,0,第二集,93038
2,洄天 第一季,19991423,209368,36,2,500W特别福利 · 上岸宝典,86815
3,我在无限游戏里封神 第四季,2876841,109232,16,3,特别放送 · 大型恐怖游戏联赛火热进行中Ⅲ,86834
4,顶级掠食者 第二季,6171358,51629,30,12,第十二集,86789
5,沉醉不醒,1847031,41992,17,3,同名主题曲《沉醉不醒》,86740
6,逐玉 第二季,676656,13493,11,3,第六集 · 不念,92520
7,闭嘴，你这假粉 全一季,1841792,21727,33,20,番外2 · 一日为友，终生为父,87641
8,欢迎进入梦魇直播间 第二季,5678425,42499,26,11,《非诚忽扰》第５期,90985
9,液态欲望 全一季,148245,15645,3,0,角色ID-陆昭,86692
10,降水概率百分百,532920,16503,10,0,˚.⊹ 第三期 ♡₊˚,93005
11,反差 全一季,6658188,52167,31,13,第十一集·选择坠落,86684
12,再世权臣 第三季（上）,2342580,46388,33,9,第九集 ·  百岁何欢,86827
13,太傅他人人喊打 第二季,2499867,37883,22,10,花絮05,86723
14,语义错误 第一季,3244846,24000,21,6,200W · 宰英's MUSIC TIME,92155
15,愚蠢的有钱人,339500,15368,20,8,【花絮2】,93113
16,恩客,955682,15806,36,23,29·遗憾的事,91870
17,美人印,522271,28124,13,5,第六集,92611
18,穿成阴鸷反派的联姻对象 第二季,707783,21340,24,15,小剧场·你不礼貌,91771
19,等你仰望,524870,14452,77,67,第七十六集,91661
20,君有疾否,1360541,31126,77,49,第60集,90896
21,禁区,58813,5251,6,0,倒计时2天|公主x许胜,92575
22,岁岁未停,69502,4922,6,0,岁岁年年,93196
23,初三的六一儿童节 第二季（上）,175699,6759,3,0,第一集 · 与狼共舞,93154
24,重回我爸少年时 第一季,1276855,16316,45,15,小剧场-谁是谁爹,91872
25,吞雨,262265,12313,23,7,花絮04,91589
26,伏特加与曼特宁,141842,8811,19,10,°☆. 第15集 « *,92968
27,沉浮事,147695,8263,25,15,第贰拾贰集 代价,92895
28,这恋爱一定要谈吗,522443,17850,21,9,花絮4,91787
29,第二十八年春II,126463,5019,2,0,第五期,92633
30,六州歌头 下季,647751,8563,84,79,83 咫尺天涯路,92061
