排名,剧名,播放量,订阅数,总集数,付费集数,宣发策略,最新更新,剧集ID
1,早春晴朗,45120278,379783,57,24,D2,完结FT,72230
2,情蛊,42102578,450827,68,49,D2,4000w福利·山大王,86178
3,奇洛李维斯回信,55079747,575862,98,41,D2,OST A12 · 暗恋基本法,85974
4,放学等我 第一季,54682533,842643,53,18,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
5,二哈和他的白猫师尊,167656290,3199346,84,0,B,概念曲-拜长久（+童声版）,20741
6,天官赐福 第四季,9989401,127903,27,6,D2,第四集·不能尽善问心有憾,91718
7,灯花笑 上季,3606831,57264,29,12,D2,第15集,94733
8,囚于永夜,5410442,322830,1,0,B,织音发布会纯享PV · 概念预告,86822
9,天官赐福 第一季,88154435,977826,61,43,D2,四千万福利·小剧场·从前有一位名师,52400
10,伪装学渣 第一季,103723868,1954974,30,17,D2,千万福利·“叫妈妈”,58262
11,恒星时刻 第一季,712342,60106,4,0,D2,第一集♬R&R,94789
12,一屋暗灯 全一季,13150566,208263,54,14,D2,主役版主题曲▪未说的,93038
13,你的雪人能活多久 第一季,1465246,56931,27,6,D2,小剧场03 · 戒指,93787
14,虚拟偶像团综丨《去世界尽头》,5950930,53566,47,0,B,嘉宾观察室江恪篇·滑草DIY,94354
15,魔道祖师 第一季,260594743,2286619,39,22,D2,主创FT<下>,15861
16,干涸地,2194081,94405,3,0,D2,火风L原著|干涸地·第一集,86725
17,难哄,147653432,1583548,76,48,D2,破亿福利·纪念FT,38074
18,我在无限游戏里封神 第一季,75097020,1005032,64,14,D2,线下漫展VLOG,52347
19,台风眼 第一季,36095145,310311,53,20,D2,千万福利·富士山在等一片云,52404
20,小蘑菇 第一季,51116175,932929,33,17,D2,白噪音·漫步荒原,29125
21,将进酒 第一季,106822341,1448949,59,16,D2,完结FT,25944
22,天官赐福 第三季,72920716,275979,68,44,D2,小剧场·元宵·花灯,82040
23,我喜欢你的信息素 第一季,101102876,1522187,48,21,D2,四千万福利,58217
24,重生之将门毒后 第一季,95296107,843912,82,27,D2,主役reaction·片段03,43922
25,伏特加与曼特宁,1983971,65593,26,4,D2,✦店长来啦！⑤,92988
26,不二之臣,41425805,859048,16,0,B,大结局·下,25580
27,某某 第一季,98950662,1728049,43,28,D2,伴奏|《梧桐说》,58219
28,放学等我 第二季,32117135,453808,42,16,D2,番外·恋爱纪念日,68837
29,我在无限游戏里封神 第四季,8052304,145791,56,15,D2,特别放送 · emoji大挑战,86834
30,红白囍 第一季,7625910,116208,46,13,D2,花絮03,81597
31,囚于永夜,1459990,32187,200,161,D2,番外 少爷的生日7,94916
32,宋玉章 第一季,4042332,45703,23,3,D2,第六折 ·  瞒天过海,86589
