排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,天官赐福 第四季,13201231,137623,D2,33,12,新年小剧场《压岁钱》,91718
2,恒星时刻 第一季,1804715,70046,D2,14,1,第四集♬Lion Heart,94789
3,灯花笑 上季,4555257,63882,D2,38,16,配乐·风雪袭我身,94733
4,你的雪人能活多久 第一季,1937278,63743,D2,34,11,中秋节福利彩蛋,93787
5,宋玉章 第一季,5137041,49184,D2,30,6,宋玉章 · 中秋节特别语音,86589
6,尾钩,1170885,24817,D2,45,26,第33集 · 囚笼,95503
7,伏特加与曼特宁,2305929,67890,D2,36,9,中秋迷你剧场,92988
8,沙子，时间，雨树,197640,9215,D2,10,0,˚₊⊹花絮1⊹₊˚,94825
9,搭界 第一季,578030,17754,D2,32,18,中秋·剧场,94617
10,尚公主 第一季,58603,3664,D2,5,0,福利音·艳歌行,95847
11,灯花笑 下季,9741,1917,D2,1,0,中秋邀帖,96416
12,全职高手广播剧第四季 上,138266,8628,D2,5,1,中秋福利,96092
13,炽火难熄 全一季,520060,22635,D2,23,8,第十集 · 我的愿望是,94917
14,囚于永夜,1768638,35361,D2,200,161,番外 少爷的生日7,94916
15,干涸地,2340494,95682,D2,7,3,火风L原著|干涸地·第四集,86725
16,二哈在狼群里疯狂造谣 第一季,328064,11417,D2,11,0,第2集·无中生崽,94772
17,乘鸾 第一季,163690,5762,D2,16,3,中秋福利音·杨殊,94849
18,沉浮事,1294090,19012,D2,20,9,中秋小剧场·月下仙,94775
19,是心跳说谎 全一季,167384,7715,D2,10,1,节日福利-中秋,95516
20,清白之年,668825,15943,D2,26,5,小剧场·中秋,94838
21,传闻,189574,9620,D2,12,0,✧IF特别放送 · 中秋篇,95625
22,解瘾,708723,15103,D2,33,8,小剧场❃解衣,94782
23,触礁,558223,14463,D2,26,10,中秋小剧场,95034
24,放学后别来我办公室 全一季,791059,20391,D2,20,5,＜兰亭序＞片段纯享,86868
25,穿进赛博游戏后干掉BOSS成功上位 第一季,119200,5240,B,10,1,视频花絮01,95678
26,守寡后我重生了 第二季,196570,4915,D2,18,6,中秋福利音· 陈敬宗,95212
27,我花开后百花杀 第一季,163442,5386,D2,14,4,小剧场 · 中秋之礼,94893
28,难言之欲,341533,11960,D2,13,6,E7,94857
29,错登科  第一季,168713,5776,D2,18,10,中秋番外,94787
30,赤霞珠,418935,14699,D2,30,19,处暑福利音·饮酒小贴士·唐渡,95114
