排名,剧名,播放量,订阅数,总集数,付费集数,宣发策略,最新更新,剧集ID
1,早春晴朗,49005851,412924,57,24,D2,完结FT,72230
2,情蛊,42547679,454232,68,49,D2,4000w福利·山大王,86178
3,放学等我 第一季,54984509,845065,53,18,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
4,奇洛李维斯回信,55717427,578881,98,41,D2,OST A12 · 暗恋基本法,85974
5,二哈和他的白猫师尊,168044848,3201811,84,0,B,概念曲-拜长久（+童声版）,20741
6,天官赐福 第四季,11608961,133307,30,9,D2,新年小剧场《压岁钱》,91718
7,灯花笑 上季,4195468,61657,33,15,D2,主题曲叁·万春融雪,94733
8,小蘑菇 第一季,51291544,934147,33,17,D2,白噪音·漫步荒原,29125
9,恒星时刻 第一季,1089201,64735,8,0,D2,OST01 · 春晖,94789
10,天官赐福 第一季,88889868,980867,61,43,D2,四千万福利·小剧场·从前有一位名师,52400
11,虚拟偶像团综丨《去世界尽头》,6691541,55374,50,0,B,LASER&MANTA纯享版·《奔赴》,94354
12,难哄,147900232,1585436,76,48,D2,破亿福利·纪念FT,38074
13,不二之臣,41602407,861148,16,0,B,大结局·下,25580
14,干涸地,2286649,95272,4,1,D2,火风L原著|干涸地·第二集,86725
15,囚于永夜,5447417,323929,1,0,B,织音发布会纯享PV · 概念预告,86822
16,伪装学渣 第一季,103822146,1956157,30,17,D2,千万福利·“叫妈妈”,58262
17,红白囍 第一季,7700117,116820,46,13,D2,花絮03,81597
18,魔道祖师 第一季,260832574,2288542,39,22,D2,主创FT<下>,15861
19,你的雪人能活多久 第一季,1721557,60538,30,8,D2,第七集 · 坏兔子大战狗狗博士,93787
20,一屋暗灯 全一季,13366506,209755,54,14,D2,主役版主题曲▪未说的,93038
21,台风眼 第一季,36233908,311899,53,20,D2,千万福利·富士山在等一片云,52404
22,将进酒 第一季,107018294,1450449,59,16,D2,完结FT,25944
23,我在无限游戏里封神 第一季,75297162,1006626,64,14,D2,线下漫展VLOG,52347
24,重生之将门毒后 第一季,95579240,845410,82,27,D2,主役reaction·片段03,43922
25,偷偷藏不住,203591381,2421528,89,54,D2,2亿福利·双人电话语音,34632
26,某某 第一季,99088066,1729328,43,28,D2,伴奏|《梧桐说》,58219
27,天官赐福 第三季,73622488,277884,68,44,D2,小剧场·元宵·花灯,82040
28,我喜欢你的信息素 第一季,101257385,1523505,48,21,D2,四千万福利,58217
29,伏特加与曼特宁,2159999,66890,31,8,D2,第七期,92988
30,藏南晚星,20402471,210662,81,44,D2,✧2000万福利·番外·美梦,85110
31,见春天,13590631,236548,54,8,D2,魏清越书信·02,80533
32,放学等我 第二季,32293023,455270,42,16,D2,番外·恋爱纪念日,68837
33,尾钩,895503,23018,32,18,D2,第25集 · 执手,95503
34,我在无限游戏里封神 第四季,8226084,146945,56,15,D2,特别放送 · emoji大挑战,86834
35,如果月亮不抱你,84223255,1196298,24,0,B,全网2000万福利突击采访,25485
36,再世权臣 第一季,22456330,264328,79,17,D2,花絮07,71321
37,不想了,10006743,115793,93,66,D2,500W福利·主役版主题曲《同谋》,70445
38,天官赐福 第二季,75025740,366273,61,43,D2,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
39,洄天 第一季,28578577,248861,65,14,D2,完结语音 · 高能量S级监护人的一天,86815
40,娘娘腔,38883806,727418,31,0,B,主役听剧Reaction,46640
41,一颗苹果,14157635,167703,82,35,C,完结FT · 谢谢光临,90818
42,宋玉章 第一季,4545255,46669,27,4,D2,九月月历语音 · 静玉,86589
43,全球高考 第一季（全新版）,22236202,379488,37,11,D2,— 「全季完结FT」—,60289
44,魔道祖师 第三季,298101988,1549255,66,56,D2,传讯符·忘羡,22602
45,江医生 第一季,17385136,239771,49,27,D2,千万播放福利第四弹·小剧场·猫,81852
46,满城衣冠 全一季,2816836,57413,36,11,D2,第12集 · 绑架,90878
47,囚于永夜,1634686,33934,200,161,D2,番外 少爷的生日7,94916
48,你的距离,91390049,941318,70,27,D2,完结FT·主创版,31552
49,虚拟偶像团综丨《NEW DAYS（一起又出发）》,32253644,116151,95,0,B,许向安&许向宁生日小剧场·那片山那片海,84529
50,FOG[电竞] 第一季,71678292,770273,39,14,D2,2000W福利·whisper伴奏抒情版,29122
