排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,4793575,126911,24,3,花絮04,93038
2,奇洛李维斯回信,46270405,526726,81,25,回信广播剧完结FT（下） · 花都冰室,85974
3,洄天 第一季,23096168,224575,44,6,第八期,86815
4,情蛊,36424070,401470,67,48,完结FT·下,86178
5,二哈和他的白猫师尊,162336796,3155420,76,0,第肆季-第九期,20741
6,囚于永夜,4507220,276147,1,0,织音发布会纯享PV · 概念预告,86822
7,放学等我 第一季,51120378,810994,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
8,奇洛李维斯回信 番外篇,612020,46429,3,2,番外 ·  庆生宴,93420
9,见春天,12664031,224701,54,8,魏清越书信·02,80533
10,早春晴朗,33314513,257358,57,24,完结FT,72230
11,我在无限游戏里封神 第四季,3905236,118153,25,7,第七集 · 记忆折叠,86834
12,天官赐福 第一季,84210480,946872,61,43,四千万福利·小剧场·从前有一位名师,52400
13,我在无限游戏里封神 第一季,71872690,975914,64,14,线下漫展VLOG,52347
14,虚拟偶像团综丨《NEW DAYS（一起又出发）》,27644069,109436,94,0,《Break of day》幕后花絮·戏里戏外,84529
15,魔道祖师 第一季,257870403,2256599,39,22,主创FT<下>,15861
16,一颗苹果,12491930,144721,80,34,启动音试听 · 谢青寄,90818
17,伪装学渣 第一季,102112913,1926570,30,17,千万福利·“叫妈妈”,58262
18,放学等我 第二季,30040996,433263,42,16,番外·恋爱纪念日,68837
19,娑婆,638215,26068,7,0,第三集,93178
20,我喜欢你的信息素 第一季,99035505,1497095,48,21,四千万福利,58217
21,天官赐福 第四季,4597532,76109,10,0,新年小剧场《压岁钱》,91718
22,重生之将门毒后 第一季,92026272,823943,82,27,主役reaction·片段03,43922
23,再世权臣 第一季,20911179,253052,79,17,花絮07,71321
24,交易沦陷,27243962,166877,138,99,特别福利·星空沦陷,54171
25,小蘑菇 第一季,49399324,911819,33,17,白噪音·漫步荒原,29125
26,娘娘腔,36785812,702145,31,0,主役听剧Reaction,46640
27,伏特加与曼特宁,640234,41852,3,0,520迷你剧场,92988
28,将进酒 第一季,104916178,1428288,59,16,完结FT,25944
29,某某 第一季,97269207,1703276,43,28,伴奏|《梧桐说》,58219
30,台风眼 第一季,34380568,289389,53,20,千万福利·富士山在等一片云,52404
31,于是麦麦决定离家出走,5012012,101074,43,26,伴奏♪麦麦的婚礼进行曲,86179
32,坠落,10280385,168703,59,22,台风眼S02E17,76041
33,干涸地,1784132,76318,1,0,概念预告,86725
34,液态欲望 全一季,462599,24731,14,4,雪饼日记2.0,86692
35,初三的六一儿童节,26240074,57819,277,245,番外5 失恋（4）,85562
36,全球高考 第一季（全新版）,20755757,362199,37,11,— 「全季完结FT」—,60289
37,天官赐福 第三季,69541694,256863,67,43,小剧场·元宵·花灯,82040
38,我在无限游戏里封神 第三季,22008948,206330,91,21,破亿纪念单曲·神明所遗落的,81851
39,难哄,145711164,1571756,76,48,破亿福利·纪念FT,38074
40,藏南晚星,18331109,195455,79,42,主题曲伴奏·途经,85110
41,迪奥先生 第一季,79088940,1074432,30,15,王氏破产 铃声,23329
42,二哈和他的白猫师尊,14626600,97261,669,603,完结FT,81979
43,反差 全一季,7089014,55834,36,17,700W福利·521运动小语音,86684
44,沉醉不醒,2399275,45682,26,8,第八期,86740
45,顶级掠食者 第二季,7107068,54148,36,16,启动音征集,86789
46,针锋对决,37380247,923369,19,0,完结FT  互动问答,19249
47,偷偷藏不住,201798223,2412198,89,54,2亿福利·双人电话语音,34632
48,南方海啸,22958321,166204,102,68,花絮⑤,85492
49,吞海 第一季,50431344,520797,54,17,原创配乐·破晓,29187
50,魔道祖师 第三季,295365648,1537726,66,56,传讯符·忘羡,22602
51,这题超纲了 第一季,20304088,487247,44,17,【回放】《这题超纲了》M星直播,41369
52,偏偏宠爱,17128981,358572,49,13,四百万语音·江忍,52353
53,逐玉 第一季,4345167,71933,43,14,原创配乐 · 凶夜,89245
54,不二之臣,40501063,845632,16,0,大结局·下,25580
55,判官 第一季,37790317,645645,45,21,听剧reaction,37773
56,FOG[电竞] 第一季,69774373,758147,39,14,2000W福利·whisper伴奏抒情版,29122
57,虚拟偶像团综丨《一起再出发》,89809781,249864,179,0,中秋特辑·清道夫,58225
58,你的距离,89672126,931158,70,27,完结FT·主创版,31552
59,天官赐福 第二季,71330560,346679,61,43,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
60,我在无限游戏里封神 第二季（下）,19761732,243875,55,14,花絮06,76557
61,江医生 第一季,15759545,226276,49,27,千万播放福利第四弹·小剧场·猫,81852
62,虚拟偶像团综丨《LASER出道日》,82219619,674802,89,0,专业小课堂：电子竞技运动与管理专业,28989
63,重生之将门毒后 第二季,40916916,376446,83,26,破亿福利·白噪音·花灯,52293
64,破云 第一季,58761993,1088713,20,15,圣诞特辑,59047
65,虚拟偶像综艺 |《VANITY FAIR（名利场）》,27139234,125793,71,0,梦系列小剧场06·白日,78684
66,提灯看刺刀 上季,14166935,236469,32,8,花絮·韩楚,77771
67,欢迎进入梦魇直播间 第二季,6099191,44941,28,11,《今日没说法》⑤ ·「不平安疗养院」,90985
68,欢迎进入梦魇直播间 第一季,23121642,190197,62,20,完结FT,75856
69,别来无恙 第一季,22704309,448097,48,22,1000W福利•《满心》（合唱版）,37937
70,蜉蝣,225394,15968,8,0,ೀ˖˚ 小剧场·在路上,93202
71,再世权臣 第三季（上）,2611611,47961,34,10,第十集 ·  再度启程,86827
72,再世权臣 第三季（下）,154723,13913,5,2,第二集 ·  同舟共济,93437
73,魔道祖师 第二季,170253175,1412889,41,37,主役FT（下）,19059
74,谁把谁当真,14593066,770312,4,0,第四期,726
75,我在无限游戏里封神 第二季（上）,19793876,321363,42,11,花絮06,71605
76,我喜欢你的信息素 第二季,75673422,840109,43,26,国风版·星衍,58218
77,烟花情书,82085,3824,5,1,第三集,93337
78,虚拟偶像综艺丨《险象环声》,82367775,434868,138,0,三千万福利·偶像问答,38165
79,夫人你马甲又掉了 第一季,64338654,1018303,25,0,小剧场3,32574
80,逐玉 第二季,790160,14724,17,6,第九集 · 流言,92520
81,悬日 上季,11345791,149135,52,18,ଫ苏洄生日福利,88192
82,你就当我死了吧  全一季,12555360,244156,30,0,主役版主题曲（纯享）,76841
83,太傅他人人喊打 第二季,2975269,40333,28,15,第十四集,86723
84,小蘑菇 第二季,50325693,494247,46,33,全剧五千万福利,39605
85,愚蠢的有钱人,647082,18945,46,33,【花絮3】,93113
86,落池,68163848,1344623,15,0,落池·番外,22032
87,秉性下等,25326391,202267,99,35,两千万福利·时间的情书,64528
88,君有疾否 第一季,26547809,457703,67,56,苏世誉 ✦ 第一季启动音,34592
89,AWM 第一季,85368544,1248821,43,20,第十四集·烙印,20284
90,等风热吻你,16345799,307144,56,18,插曲《约定》,52292
91,燎原,37275702,386967,43,34,FT,63688
92,FOG[电竞]第二季,57324660,431345,50,28,破亿特别直播回放,39588
93,失忆后死对头成了我男朋友？,4723151,95549,44,20,花絮·陆云笙,86693
94,惹祸精,1070212,31257,42,14,100福利·斯昭起床福利音,90987
95,将进酒 第二季,71908558,809257,45,22,第二季完结FT,30383
96,有名,22589518,162387,60,32,制作FT,52382
97,偷风不偷月 上季,8145743,128154,41,18,300w福利·楚识琛（沈若臻）·风月语录,71389
98,初三的六一儿童节 第一季,11262387,57344,53,16,新年♥快乐,85497
99,虚拟偶像团综丨《FINE DAY》,34251231,250927,41,0,虚拟偶像，但开团会,50725
100,我嗑了对家X我的CP,57818734,892718,48,29,完结FT,21102
