排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,洄天 第一季,16501180,191192,30,0,第二期,86815
2,我在无限游戏里封神 第四季,2184255,99805,11,1,第一集 · 羔羊,86834
3,伏特加与曼特宁,196976,20629,1,0,京儒♡生日快乐,92988
4,反差 全一季,6166560,49118,27,9,第九集·孤注的告白,86684
5,沉醉不醒,1384530,38625,12,0,ღ100万福利·早安语音·丁竞元,86740
6,恩客,489204,11396,15,2,08·唱片机,91870
7,一诺一生 全一季,739344,25957,18,5,第七集,91354
8,伏特加与曼特宁,36461,3983,3,0,°☆. 预告 « *,92968
9,欢迎进入梦魇直播间 第二季,4904671,39834,21,9,第九集 ♱ 三个问题,90985
10,顶级掠食者 第二季,5341451,49470,24,9,第九集,86789
11,再世权臣 第三季（上）,1964240,44172,30,7,第七集 ·  相思何味,86827
12,降水概率百分百,103121,8819,3,0,倒计时3天,93005
13,怀火 全一季,98934,8156,10,0,第一集·心火,91418
14,美人印,425053,26330,9,2,小剧场1-病娇弟弟,92611
15,余污 第一季,119106,10408,7,0,主题曲·烬中书,92701
16,太傅他人人喊打 第二季,2003952,35892,18,8,第八集,86723
17,逐玉 第二季,569786,11826,7,0,第三集 · 比试,92520
18,重回我爸少年时 第一季,1170940,15432,40,11,第八集,91872
19,不良执念清除师 全一季,847926,8267,7,0,第一集·独善其身,86818
20,落火 全一季,135424,9917,9,0,第一集,92245
21,语义错误 第一季,2583816,22128,14,2,花絮>ERROR TIME 02,92155
22,吞雨,193438,11116,15,4,第六集 小桥！下雪了！,91589
23,君有疾否,1194487,29957,60,32,第43集,90896
24,第二十八年春II,93964,3947,2,0,第五期,92633
25,沉浮事,46090,4393,7,0,第伍集 工具,92895
26,穿成阴鸷反派的联姻对象 第二季,581237,19788,19,10,小剧场·钓鱼佬,91771
27,如果森林有童话,84170,4199,9,1,第三期-无字书,92601
28,黑桃A,425628,11544,68,50,【主题曲ost2】,91968
29,迟爱,71285,4732,6,0,第一集,92710
30,这恋爱一定要谈吗,434002,16951,17,7,第九集,91787
