排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,8366956,167857,39,8,福利彩蛋·葡萄柚相亲记,93038
2,洄天 第一季,26341730,238077,54,10,第十二期,86815
3,我在无限游戏里封神 第四季,5402427,129431,36,11,特别放送 · 打工人的亿些日常之窝囊日常,86834
4,满城衣冠 全一季,1062424,39323,6,0,倒计时一,90878
5,虚拟偶像团综丨《去世界尽头》,217262,23681,2,0,MANTA端午特辑·“五”福临门,94354
6,娑婆,1043687,30845,15,7,第八集,93178
7,降水概率百分百,1159378,23144,24,8,˚.⊹ 第十一期 ♡₊˚,93005
8,大王万万不可！ 第一季,98823,9733,8,0,第二集·既见君子,94259
9,再世权臣 第三季（下）,424561,19779,13,7,第七集 ·  但梦梨花,93437
10,入蛊 全一季,568186,17552,15,7,Ⱄⱄᐝ小剧场·进山,93646
11,只想和你好好的,159436,6145,8,0,✧ 主题曲《好好的》 ✧,94176
12,嫡谋·第一季,12356,1219,2,0,S1预告 · 局中人,94462
13,奇洛李维斯回信 番外篇,884281,58673,3,2,番外 ·  庆生宴,93420
14,逆鳞 第一季,234462,11881,13,1,微雪宫会客厅第一期,93750
15,谁来言说夜晚 上季,149520,7820,8,0,倒计时2天,94321
16,日出风来,5885,1774,1,0,概念预告,94444
17,愚蠢的有钱人,1302020,26600,84,67,【健康贴士】,93113
18,绰约,1527644,26264,13,0,倒计时·1天,86680
19,门生故旧,380066,14239,26,14,☆ 19·惩罚,93774
20,蜉蝣,508899,20923,18,5,ೀ˖˚ 第七集,93202
21,秋燥 第一季,285743,13221,11,2,第五集,93438
22,当你叫醒我,223906,6544,3,0,第一集,94268
23,你克制一点 全一季,903536,25837,23,10,花絮④,87343
24,禁区,525233,12627,88,60,60 稳住,92575
25,沉浮事,579022,14810,83,72,花絮-贰,92895
26,合笼蛊,19896,1801,3,0,片花·神庭,94418
27,楚乌 第一季,67044,3904,15,0,预告,94336
28,液态欲望 全一季,721099,29346,24,11,番外·谣言,86692
29,理想型,269392,5379,5,0,倒计时·1天,93439
30,欲言难止,326410,12155,182,160,欲言难止 第171集 我做了一个很长的梦（完）,93138
