排名,剧名,播放量,订阅数,总集数,付费集数,宣发策略,最新更新,剧集ID
1,早春晴朗,48497838,409634,57,24,D2,完结FT,72230
2,情蛊,42464032,453590,68,49,D2,4000w福利·山大王,86178
3,放学等我 第一季,54922204,844489,53,18,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
4,奇洛李维斯回信,55603820,578329,98,41,D2,OST A12 · 暗恋基本法,85974
5,二哈和他的白猫师尊,167981446,3201482,84,0,B,概念曲-拜长久（+童声版）,20741
6,天官赐福 第四季,11306267,132405,29,8,D2,新年小剧场《压岁钱》,91718
7,灯花笑 上季,4101356,61037,32,15,D2,第18集,94733
8,小蘑菇 第一季,51262800,933935,33,17,D2,白噪音·漫步荒原,29125
9,恒星时刻 第一季,1027794,64234,6,0,D2,第二集♬Midwest Emo,94789
10,天官赐福 第一季,88762350,980324,61,43,D2,四千万福利·小剧场·从前有一位名师,52400
11,囚于永夜,5441581,323744,1,0,B,织音发布会纯享PV · 概念预告,86822
12,虚拟偶像团综丨《去世界尽头》,6544888,55096,50,0,B,LASER&MANTA纯享版·《奔赴》,94354
13,难哄,147856776,1585167,76,48,D2,破亿福利·纪念FT,38074
14,伪装学渣 第一季,103808412,1955950,30,17,D2,千万福利·“叫妈妈”,58262
15,干涸地,2276668,95157,4,1,D2,火风L原著|干涸地·第二集,86725
16,不二之臣,41575378,860876,16,0,B,大结局·下,25580
17,魔道祖师 第一季,260788821,2288222,39,22,D2,主创FT<下>,15861
18,红白囍 第一季,7690780,116745,46,13,D2,花絮03,81597
19,你的雪人能活多久 第一季,1673894,59838,30,8,D2,第七集 · 坏兔子大战狗狗博士,93787
20,一屋暗灯 全一季,13330674,209478,54,14,D2,主役版主题曲▪未说的,93038
21,台风眼 第一季,36208666,311585,53,20,D2,千万福利·富士山在等一片云,52404
22,将进酒 第一季,106978250,1450214,59,16,D2,完结FT,25944
23,我在无限游戏里封神 第一季,75260257,1006316,64,14,D2,线下漫展VLOG,52347
24,重生之将门毒后 第一季,95527941,845156,82,27,D2,主役reaction·片段03,43922
25,偷偷藏不住,203557227,2421359,89,54,D2,2亿福利·双人电话语音,34632
26,天官赐福 第三季,73495127,277573,68,44,D2,小剧场·元宵·花灯,82040
27,某某 第一季,99064213,1729117,43,28,D2,伴奏|《梧桐说》,58219
28,我喜欢你的信息素 第一季,101228694,1523250,48,21,D2,四千万福利,58217
29,伏特加与曼特宁,2129710,66710,31,8,D2,第七期,92988
30,放学等我 第二季,32255287,454922,42,16,D2,番外·恋爱纪念日,68837
31,藏南晚星,20364851,210408,81,44,D2,✧2000万福利·番外·美梦,85110
32,尾钩,825171,22348,30,16,D2,第23集 · Key,95503
33,见春天,13579534,236411,54,8,D2,魏清越书信·02,80533
34,我在无限游戏里封神 第四季,8193953,146740,56,15,D2,特别放送 · emoji大挑战,86834
35,不想了,9995846,115708,93,66,D2,500W福利·主役版主题曲《同谋》,70445
36,如果月亮不抱你,84197110,1196136,24,0,B,全网2000万福利突击采访,25485
37,天官赐福 第二季,74915058,365928,61,43,D2,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
38,洄天 第一季,28557430,248726,65,14,D2,完结语音 · 高能量S级监护人的一天,86815
39,再世权臣 第一季,22410825,263836,79,17,D2,花絮07,71321
40,娘娘腔,38860288,727213,31,0,B,主役听剧Reaction,46640
41,宋玉章 第一季,4444569,46508,25,4,D2,宋玉章 · 教师节特别语音,86589
42,一颗苹果,14140865,167466,82,35,C,完结FT · 谢谢光临,90818
43,囚于永夜,1605638,33677,200,161,D2,番外 少爷的生日7,94916
44,全球高考 第一季（全新版）,22216115,379301,37,11,D2,— 「全季完结FT」—,60289
45,魔道祖师 第三季,298057772,1549108,66,56,D2,传讯符·忘羡,22602
46,江医生 第一季,17363382,239601,49,27,D2,千万播放福利第四弹·小剧场·猫,81852
47,二哈和他的白猫师尊,16933284,108246,669,603,D2,完结FT,81979
48,满城衣冠 全一季,2784283,57169,36,11,D2,第12集 · 绑架,90878
49,你的距离,91361997,941153,70,27,D2,完结FT·主创版,31552
50,虚拟偶像团综丨《NEW DAYS（一起又出发）》,32214876,116098,95,0,B,许向安&许向宁生日小剧场·那片山那片海,84529
51,FOG[电竞] 第一季,71650926,770130,39,14,D2,2000W福利·whisper伴奏抒情版,29122
52,虚拟偶像团综丨《一起再出发》,93868388,255613,179,0,B,中秋特辑·清道夫,58225
53,交易沦陷,30459265,179554,138,99,D2,特别福利·星空沦陷,54171
54,吞海 第一季,52577166,539294,54,17,D2,原创配乐·破晓,29187
55,重生之将门毒后 第二季,42807569,387595,83,26,D2,破亿福利·白噪音·花灯,52293
56,迪奥先生 第一季,79869306,1080013,30,15,D2,王氏破产 铃声,23329
57,虚拟偶像团综丨《LASER出道日》,84285322,683542,89,0,B,专业小课堂：电子竞技运动与管理专业,28989
58,南方海啸,25546579,175148,102,68,D2,花絮⑤,85492
59,判官 第一季,39012444,658025,45,21,D2,听剧reaction,37773
60,我在无限游戏里封神 第三季,24496513,222224,91,21,D2,破亿纪念单曲·神明所遗落的,81851
61,奇洛李维斯回信 番外篇,1252395,76675,3,2,D2,番外 ·  庆生宴,93420
62,针锋对决,38333667,941700,19,0,B,完结FT  互动问答,19249
63,夫人你马甲又掉了 第一季,65471720,1027541,25,0,B,小剧场3,32574
64,酸梅,4293886,260904,4,0,B,第二期,51020
65,这题超纲了 第一季,21309964,501561,44,17,D2,【回放】《这题超纲了》M星直播,41369
66,于是麦麦决定离家出走,6180290,114798,53,33,D2,七夕小剧场✦小天使,86179
67,魔道祖师 第二季,171936201,1424291,41,37,D2,主役FT（下）,19059
68,唇枪 上季,464774,23649,1,0,B,织音发布会纯享PV,94802
69,第二十八年春,10929637,385070,13,0,B,第四期,26751
70,坠落,11756200,186462,59,22,D2,番外二·新生,76041
71,撒野 第一季,88671733,1845933,36,8,D2,千万播放纪念,58443
72,等风热吻你,16928653,315640,56,18,D2,插曲《约定》,52292
73,封建糟粕,16293631,157612,143,110,D2,充电·李叔堂,87589
74,虚拟偶像综艺 |《VANITY FAIR（名利场）》,29054472,130960,71,0,B,梦系列小剧场06·白日,78684
75,别来无恙 第一季,23528234,460097,48,22,D2,1000W福利•《满心》（合唱版）,37937
76,恃宠 全一季,11645119,139591,67,26,D2,500w播放纪念· 谢砚礼 会议闲暇,76670
77,我喜欢你的信息素 第二季,77082629,852240,43,26,D2,国风版·星衍,58218
78,逐玉 第一季,4711378,75058,43,14,D2,原创配乐 · 凶夜,89245
79,乘鸾 第一季,127709,5079,12,2,D2,第五集·命运的岔路口,94849
80,君有疾否 第一季,27412913,469529,67,56,D2,苏世誉 ✦ 第一季启动音,34592
81,FOG[电竞]第二季,59109907,438105,50,28,D2,破亿特别直播回放,39588
82,是心跳说谎 全一季,116229,6663,6,0,D2,第二集,95516
83,虚拟偶像综艺丨《险象环声》,84810866,440105,138,0,B,三千万福利·偶像问答,38165
84,破云 第一季,59593201,1106850,20,15,D2,圣诞特辑,59047
85,营业悖论 第一季,48490555,663064,50,13,D2,中秋特别语音,36817
86,欢迎进入梦魇直播间 第一季,24232627,199802,62,20,D2,完结FT,75856
87,我在无限游戏里封神 第二季（下）,21471234,258968,55,14,D2,花絮06,76557
88,落池,68775128,1353155,15,0,B,落池·番外,22032
89,告白 第一季,21626086,373551,54,12,D2,1000w福利·早安·周京泽,59041
90,台风眼 第二季,30120353,164817,50,32,D2,完结 FT,68664
91,失忆后死对头成了我男朋友？,5610360,105200,48,20,D2,花絮15·恢复,86693
92,嫡谋·第一季,421564,10471,19,10,D2,第十二集· 「寺中初弈」,94462
93,将进酒 第二季,73195885,816624,45,22,D2,第二季完结FT,30383
94,杀破狼 第一季,51207988,1019133,16,11,D2,第一季完结花絮,9888
95,娑婆,2052755,39254,32,21,D2,第十八集,93178
