排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,147557,19745,1,0,先导预告,93038
2,洄天 第一季,17010965,192893,31,0,300W特别福利 · 出行小贴士,86815
3,愚蠢的有钱人,34238,4483,1,0,【预告】,93113
4,伏特加与曼特宁,279602,25342,1,0,京儒♡生日快乐,92988
5,我在无限游戏里封神 第四季,2246418,101015,11,1,第一集 · 羔羊,86834
6,恩客,571901,13108,19,6,12·美人计,91870
7,顶级掠食者 第二季,5471608,49664,25,9,500W播放纪念,86789
8,沉醉不醒,1440929,38923,12,0,ღ100万福利·早安语音·丁竞元,86740
9,伏特加与曼特宁,52015,5506,4,0,°☆. 主题曲丨归巢 « *,92968
10,反差 全一季,6204979,49428,27,9,第九集·孤注的告白,86684
11,穿成阴鸷反派的联姻对象 第二季,601105,20031,20,11,第十集·从来都不认识他,91771
12,逐玉 第二季,585212,12124,8,1,第四集 · 妒意,92520
13,欢迎进入梦魇直播间 第二季,5030693,40084,21,9,第九集 ♱ 三个问题,90985
14,全球进化后我站在食物链顶端 第二季（下）,43860,5864,3,1,第十六集,92775
15,再世权臣 第三季（上）,2004627,44380,30,7,第七集 ·  相思何味,86827
16,太傅他人人喊打 第二季,2055222,36108,18,8,第八集,86723
17,降水概率百分百,177108,10049,5,0,倒计时1天,93005
18,一诺一生 全一季,753016,26203,18,5,第七集,91354
19,美人印,434849,26570,9,2,小剧场1-病娇弟弟,92611
20,语义错误 第一季,2660588,22330,14,2,花絮>ERROR TIME 02,92155
21,不良执念清除师 全一季,877005,8462,8,0,小剧场·爸妈,86818
22,君有疾否,1212037,30058,62,34,第45集,90896
23,泠声,219647,3573,4,0,叶落秋生,92770
24,等你仰望,444476,13774,63,53,第六十二集,91661
25,第二十八年春II,98634,4118,2,0,第五期,92633
26,黑桃A,436403,11609,70,52,【主题曲ost2】,91968
27,沉浮事,56226,4661,9,0,第柒集 魂气,92895
28,余污 第一季,128716,10708,7,0,主题曲·烬中书,92701
29,这恋爱一定要谈吗,442913,17060,18,7,花絮3,91787
30,落火 全一季,142926,10194,9,0,第一集,92245
