排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,一屋暗灯 全一季,4674745,125255,24,3,21249,6030,28.38%,4.81%,花絮04,93038
2,洄天 第一季,22944791,223912,44,6,19868,8175,41.15%,3.65%,第八期,86815
3,我在无限游戏里封神 第四季,3845697,117727,25,7,7060,4439,62.88%,3.77%,第七集 · 记忆折叠,86834
4,奇洛李维斯回信,46173728,526039,81,25,49029,25325,51.65%,4.81%,回信广播剧完结FT（下） · 花都冰室,85974
5,情蛊,36353483,400853,67,48,48713,30017,61.62%,7.49%,完结FT·下,86178
6,再世权臣 第三季（下）,147032,13608,5,2,743,554,74.56%,4.07%,第二集 ·  同舟共济,93437
7,早春晴朗,33250034,256908,57,24,20700,13567,65.54%,5.28%,完结FT,72230
8,沉醉不醒,2372227,45444,26,8,3315,1732,52.25%,3.81%,第八期,86740
9,娑婆,624353,25832,7,0,2540,0,0.00%,0.00%,第三集,93178
10,初三的六一儿童节,26177364,57686,276,244,6412,5182,80.82%,8.98%,番外5 失恋（3）,85562
11,我在无限游戏里封神 第三季,21981523,206137,91,21,28523,21061,73.84%,10.22%,破亿纪念单曲·神明所遗落的,81851
12,顶级掠食者 第二季,7087269,54111,36,16,4669,3624,77.62%,6.70%,启动音征集,86789
13,天官赐福 第三季,69506705,256687,67,43,32060,26404,82.36%,10.29%,小剧场·元宵·花灯,82040
14,反差 全一季,7074453,55705,36,17,3887,2240,57.63%,4.02%,700W福利·521运动小语音,86684
15,奇洛李维斯回信 番外篇,593760,45529,3,2,3613,2933,81.18%,6.44%,番外 ·  庆生宴,93420
16,放学等我 第一季,51074667,810501,53,18,62842,36382,57.89%,4.49%,1700W福利·P-特别小剧场「2022.12.2」,64911
17,一颗苹果,12471008,144479,80,34,11736,5032,42.88%,3.48%,启动音试听 · 谢青寄,90818
18,放学等我 第二季,30016948,432934,42,16,44327,34560,77.97%,7.98%,番外·恋爱纪念日,68837
19,天官赐福 第二季,71300879,346527,61,43,37509,34117,90.96%,9.85%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
20,天官赐福 第一季,84176011,946541,61,43,68061,36526,53.67%,3.86%,四千万福利·小剧场·从前有一位名师,52400
21,愚蠢的有钱人,636471,18837,45,32,1579,712,45.09%,3.78%,【花絮3】,93113
22,藏南晚星,18312325,195302,79,42,19472,14323,73.56%,7.33%,主题曲伴奏·途经,85110
23,降水概率百分百,767802,19772,16,3,1710,572,33.45%,2.89%,520语音 ♡ 餐桌故事,93005
24,我在无限游戏里封神 第一季,71835566,975558,64,14,76712,43030,56.09%,4.41%,线下漫展VLOG,52347
25,初三的六一儿童节 第二季（上）,636221,9498,9,4,749,477,63.68%,5.02%,522福利音 · 懒觉福利,93154
26,吞海 第一季,50408346,520546,54,17,44479,27791,62.48%,5.34%,原创配乐·破晓,29187
27,于是麦麦决定离家出走,4989028,100810,39,23,8673,5293,61.03%,5.25%,花絮06,86179
28,交易沦陷,27204723,166690,138,99,16564,9654,58.28%,5.79%,特别福利·星空沦陷,54171
29,太傅他人人喊打 第二季,2952688,40239,28,15,3059,1963,64.17%,4.88%,第十四集,86723
30,液态欲望 全一季,454706,24585,14,4,1475,540,36.61%,2.20%,雪饼日记2.0,86692
31,魔道祖师 第三季,295341139,1537610,66,56,97614,90009,92.21%,5.85%,传讯符·忘羡,22602
32,我在无限游戏里封神 第二季（下）,19745002,243686,55,14,26831,22854,85.18%,9.38%,花絮06,76557
33,吞海 第二季,31810222,265311,56,19,25415,23657,93.08%,8.92%,新年祝福,67085
34,再世权臣 第三季（上）,2604721,47904,34,10,3533,2736,77.44%,5.71%,第十集 ·  再度启程,86827
35,魔道祖师 第一季,257843432,2256194,39,22,96825,64519,66.63%,2.86%,主创FT<下>,15861
36,小蘑菇 第二季,50310782,494122,46,33,50466,46954,93.04%,9.50%,全剧五千万福利,39605
37,某某 第一季,97247945,1702846,43,28,77318,45104,58.34%,2.65%,伴奏|《梧桐说》,58219
38,惹祸精,1065519,31219,42,14,1743,970,55.65%,3.11%,100福利·斯昭起床福利音,90987
39,我在无限游戏里封神 第二季（上）,19781221,321179,42,11,33157,28717,86.61%,8.94%,花絮06,71605
40,燎原,37264401,386844,43,34,38996,29672,76.09%,7.67%,FT,63688
41,吞海 第三季（上）,21989172,211386,38,16,17984,16838,93.63%,7.97%,OST·04 此地埋名,73221
42,偷风不偷月 上季,8135425,128036,41,18,10415,5814,55.82%,4.54%,300w福利·楚识琛（沈若臻）·风月语录,71389
43,欢迎进入梦魇直播间 第二季,6081096,44836,28,11,3487,2522,72.33%,5.62%,《今日没说法》⑤ ·「不平安疗养院」,90985
44,台风眼 第二季,28903107,151997,50,32,13331,12307,92.32%,8.10%,完结 FT,68664
45,将进酒 第一季,104898764,1428005,59,16,78208,53329,68.19%,3.73%,完结FT,25944
46,魔道祖师 第二季,170238915,1412760,41,37,88817,81545,91.81%,5.77%,主役FT（下）,19059
47,吞海 第三季（下）,18928998,187423,51,18,18378,16633,90.50%,8.87%,破亿纪念•抒情主役版「晓」,76879
48,台风眼 第一季,34362552,289160,53,20,20440,12922,63.22%,4.47%,千万福利·富士山在等一片云,52404
49,我喜欢你的信息素 第一季,99011670,1496747,48,21,72334,45049,62.28%,3.01%,四千万福利,58217
50,小蘑菇 第一季,49381776,911618,33,17,58089,38985,67.11%,4.28%,白噪音·漫步荒原,29125
