排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,天官赐福 第四季,7752691,113590,20,1,第一集·立天地神人破铜炉,91718
2,灯花笑 上季,2562856,49052,20,6,第10集,94733
3,虚拟偶像团综丨《去世界尽头》,4851643,51095,30,0,第五期·神仙洞,94354
4,囚于永夜,957395,26575,200,161,温然生日小剧场,94916
5,尾钩,24616,5722,1,0,预告 · 归航,95503
6,你的雪人能活多久 第一季,983831,50608,16,0,小剧场01 · 雪人便当,93787
7,宋玉章 第一季,2954662,43467,16,0,第三折 ·  啼笑因缘,86589
8,伏特加与曼特宁,1510261,61489,17,0,✦店长来啦！②,92988
9,满城衣冠 全一季,2237606,53357,27,6,第8集 · 暗涌,90878
10,嫡谋·第一季,336391,9028,14,5,第八集 ·「山雨欲来」,94462
11,解瘾,373136,13147,20,3,第五集,94782
12,恒星时刻 第一季,322674,47946,1,0,歌曲《狮心》（Live）,94789
13,触礁,184667,10857,12,3,✰花絮·01✰,95034
14,清白之年,393766,12885,14,0,第五集·岁岁流年,94838
15,谁来言说夜晚 上季,1327226,15118,74,38,第55集,94321
16,赤霞珠,186852,10244,25,19,第21集·璀璨余生,95114
17,绰约,2121798,32144,36,6,律法小贴士·8则,86680
18,炽火难熄 全一季,273871,18937,11,2,第四集 ·“哥哥”,94917
19,愚蠢的有钱人 全一季,137485,6718,14,2,第四集,94873
20,放学后别来我办公室 全一季,495122,17516,9,0,＜将进酒＞片段纯享,86868
21,搭界 第一季,401215,15754,20,7,花絮03,94617
22,沉浮事,534876,14162,12,1,浊世篇·第三集,94775
23,守望青绿,8490,310,3,0,《守望青绿》第三集,95512
24,守寡后我重生了 第二季,51774,2746,6,0,第一集,95212
25,叛臣,189618,11124,18,7,白噪音 · 寝殿凌晨,94684
26,错登科  第一季,96211,4590,10,3,第五集·血光灾,94787
27,逆鳞 第一季,518549,15688,26,11,微雪宫会客厅第三期,93750
28,大王万万不可！ 第一季,323301,14430,23,6,第九集·缓缓以待,94259
29,只想和你好好的,406277,8402,18,8,✧ 第十期 ✧,94176
30,我花开后百花杀 第一季,93305,4075,7,0,第一集 · 向死而生,94893
