排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,天官赐福 第四季,11948816,134320,D2,31,10,新年小剧场《压岁钱》,91718
2,恒星时刻 第一季,1218440,65721,D2,10,0,第三集♬Post Punk,94789
3,灯花笑 上季,4280197,62241,D2,34,16,花絮叁,94733
4,宋玉章 第一季,4704179,47696,D2,28,5,第八折 ·  沉溺芳华,86589
5,你的雪人能活多久 第一季,1765494,61274,D2,31,9,小剧场04 · 密码,93787
6,尾钩,955563,23432,D2,34,20,第27集 · 流萤明灭,95503
7,满城衣冠 全一季,2863001,57726,D2,37,12,第13集 · 脱困,90878
8,尚公主 第一季,22991,2291,D2,2,0,预告贰·长安少年行,95847
9,干涸地,2301232,95397,D2,5,2,火风L原著|干涸地·第三集,86725
10,二哈在狼群里疯狂造谣 第一季,245337,9896,D2,10,0,主题曲·恋爱使狼声名狼藉,94772
11,伏特加与曼特宁,2184639,67049,D2,32,8,✦店长来啦！⑦,92988
12,搭界 第一季,545413,17309,D2,30,16,第十一集,94617
13,全职高手广播剧第四季 上,80205,6383,D2,3,0,第一集,96092
14,炽火难熄 全一季,470522,22012,D2,19,7,第九集 · Estoy enamorado de ti,94917
15,沙子，时间，雨树,121500,7987,D2,6,0,第1集✧˖如果你的眼睛，不是月亮的颜色,94825
16,囚于永夜,1662760,34248,D2,200,161,番外 少爷的生日7,94916
17,绰约,2424451,33078,D2,47,13,第十三集·情人节,86680
18,是心跳说谎 全一季,134461,6994,D2,8,0,赛前阵营VCR,95516
19,沉浮事,1158919,18226,D2,18,7,浊世篇·第七集,94775
20,传闻,145489,8829,D2,10,0,✧主役采访 · 下期,95625
21,放学后别来我办公室 全一季,751398,20083,D2,17,4,第六课「初施妙计」,86868
22,解瘾,650713,14746,D2,31,7,勿忘九一八,94782
23,嫡谋·第一季,429681,10575,D2,20,10,四十万福利 · 充电提示音,94462
24,合笼蛊,599298,10051,D2,22,9,第十一集·不悔,94418
25,穿进赛博游戏后干掉BOSS成功上位 第一季,103331,4950,B,8,0,第4集,95678
26,守寡后我重生了 第二季,171348,4680,D2,15,5,第六集,95212
27,难言之欲,315857,11645,D2,12,5,E6,94857
28,乘鸾 第一季,136142,5221,D2,13,2,花絮一,94849
29,茱丽叶塔 全一季,95177,6333,D2,29,5,「第八集」“世间所缺少的爱”,95106
30,我花开后百花杀 第一季,151815,5203,D2,12,2,第六集 · 落叶知心,94893
