排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,情蛊,41392688,445379,68,49,4000w福利·山大王,86178
2,奇洛李维斯回信,54097137,570972,98,41,OST A12 · 暗恋基本法,85974
3,二哈和他的白猫师尊,166945167,3194650,84,0,概念曲-拜长久（+童声版）,20741
4,囚于永夜,5336687,320410,1,0,织音发布会纯享PV · 概念预告,86822
5,放学等我 第一季,54177165,838702,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
6,灯花笑 上季,2805500,51132,21,6,盛京杂谈·贰,94733
7,一屋暗灯 全一季,12707594,204850,54,14,主役版主题曲▪未说的,93038
8,天官赐福 第四季,8223921,118190,22,3,第二集·明明如昨好风送我,91718
9,你的雪人能活多久 第一季,1136834,52646,21,2,百万福利 · 傅让夷,93787
10,天官赐福 第一季,87412629,973097,61,43,四千万福利·小剧场·从前有一位名师,52400
11,伪装学渣 第一季,103522161,1952410,30,17,千万福利·“叫妈妈”,58262
12,虚拟偶像团综丨《去世界尽头》,5156982,51840,42,0,第六期·悬崖咖啡,94354
13,魔道祖师 第一季,260233796,2283141,39,22,主创FT<下>,15861
14,我在无限游戏里封神 第一季,74764923,1002382,64,14,线下漫展VLOG,52347
15,宋玉章 第一季,3229253,44197,19,1,主题曲 · 玉堂春· 伴奏,86589
16,我在无限游戏里封神 第四季,7775759,143861,56,15,特别放送 · emoji大挑战,86834
17,我喜欢你的信息素 第一季,100847473,1519722,48,21,四千万福利,58217
18,伏特加与曼特宁,1630338,62752,20,1,✦店长来啦！③,92988
19,台风眼 第一季,35893605,307711,53,20,千万福利·富士山在等一片云,52404
20,洄天 第一季,28257934,247116,65,14,完结语音 · 高能量S级监护人的一天,86815
21,将进酒 第一季,106566814,1446679,59,16,完结FT,25944
22,囚于永夜,1115051,28366,200,161,温然生日小剧场,94916
23,早春晴朗,37362735,280381,57,24,完结FT,72230
24,重生之将门毒后 第一季,94870028,841204,82,27,主役reaction·片段03,43922
25,放学等我 第二季,31839495,451341,42,16,番外·恋爱纪念日,68837
26,天官赐福 第三季,72324874,272978,68,44,小剧场·元宵·花灯,82040
27,某某 第一季,98729610,1725581,43,28,伴奏|《梧桐说》,58219
28,恒星时刻 第一季,339265,49038,1,0,歌曲《狮心》（Live）,94789
29,一颗苹果,13915712,164792,82,35,完结FT · 谢谢光临,90818
30,娘娘腔,38510035,723496,31,0,主役听剧Reaction,46640
31,再世权臣 第一季,22116083,261655,79,17,花絮07,71321
32,全球高考 第一季（全新版）,21952008,376470,37,11,— 「全季完结FT」—,60289
33,小蘑菇 第一季,50930438,931091,33,17,白噪音·漫步荒原,29125
34,虚拟偶像团综丨《NEW DAYS（一起又出发）》,31658165,115247,95,0,许向安&许向宁生日小剧场·那片山那片海,84529
35,见春天,13405981,233920,54,8,魏清越书信·02,80533
36,二哈和他的白猫师尊,16496208,106346,669,603,完结FT,81979
37,迪奥先生 第一季,79734863,1079054,30,15,王氏破产 铃声,23329
38,天官赐福 第二季,73716254,361515,61,43,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
39,藏南晚星,19883409,207376,80,43,七夕小剧场 · 小许老师买菜记,85110
40,江医生 第一季,17069980,237466,49,27,千万播放福利第四弹·小剧场·猫,81852
41,满城衣冠 全一季,2345114,53880,30,8,第9集 · 正义,90878
42,唇枪 上季,316415,20340,1,0,织音发布会纯享PV,94802
43,难哄,147305586,1580283,76,48,破亿福利·纪念FT,38074
44,奇洛李维斯回信 番外篇,1174747,73214,3,2,番外 ·  庆生宴,93420
45,判官 第一季,38793554,656148,45,21,听剧reaction,37773
46,虚拟偶像团综丨《LASER出道日》,83975840,682299,89,0,专业小课堂：电子竞技运动与管理专业,28989
47,虚拟偶像团综丨《一起再出发》,93211638,254755,179,0,中秋特辑·清道夫,58225
48,FOG[电竞] 第一季,71299234,768420,39,14,2000W福利·whisper伴奏抒情版,29122
49,我在无限游戏里封神 第三季,24128684,220160,91,21,破亿纪念单曲·神明所遗落的,81851
50,魔道祖师 第三季,297509153,1547020,66,56,传讯符·忘羡,22602
51,偷偷藏不住,203145204,2418400,89,54,2亿福利·双人电话语音,34632
52,针锋对决,38184454,939259,19,0,完结FT  互动问答,19249
53,干涸地,2024989,92707,1,0,概念预告,86725
54,这题超纲了 第一季,21136549,499511,44,17,【回放】《这题超纲了》M星直播,41369
55,交易沦陷,29902747,177847,138,99,特别福利·星空沦陷,54171
56,于是麦麦决定离家出走,6033933,113126,53,33,七夕小剧场✦小天使,86179
57,重生之将门毒后 第二季,42465135,385659,83,26,破亿福利·白噪音·花灯,52293
58,虚拟偶像综艺 |《VANITY FAIR（名利场）》,28785993,130251,71,0,梦系列小剧场06·白日,78684
59,吞海 第一季,52182153,536327,54,17,原创配乐·破晓,29187
60,南方海啸,25051727,173599,102,68,花絮⑤,85492
61,我在无限游戏里封神 第二季（下）,21219265,257003,55,14,花絮06,76557
62,你的距离,91016884,939014,70,27,完结FT·主创版,31552
63,虚拟偶像综艺丨《险象环声》,84449903,439414,138,0,三千万福利·偶像问答,38165
64,封建糟粕,16118170,155871,143,110,充电·李叔堂,87589
65,沉醉不醒,4143810,57331,49,30,七夕迷你剧场,86740
66,不二之臣,41214539,854704,16,0,大结局·下,25580
67,魔道祖师 第二季,171596601,1422180,41,37,主役FT（下）,19059
68,欢迎进入梦魇直播间 第一季,24036104,198303,62,20,完结FT,75856
69,不想了,9841581,114831,93,66,500W福利·主役版主题曲《同谋》,70445
70,别来无恙 第一季,23374514,458264,48,22,1000W福利•《满心》（合唱版）,37937
71,嫡谋·第一季,349136,9239,15,6,七夕限定·小剧场,94462
72,我喜欢你的信息素 第二季,76816114,850244,43,26,国风版·星衍,58218
73,君有疾否 第一季,27253719,467679,67,56,苏世誉 ✦ 第一季启动音,34592
74,我在无限游戏里封神 第二季（上）,20787838,334067,42,11,花絮06,71605
75,破云 第一季,59446066,1104386,20,15,圣诞特辑,59047
76,炽火难熄 全一季,307819,19782,13,3,第五集 · 生日快乐,94917
77,去你的岛,585057,19800,26,13,番外,77026
78,虚拟偶像团综丨《FINE DAY》,35292663,254654,41,0,虚拟偶像，但开团会,50725
79,红白囍 第一季,7525529,115352,46,13,花絮03,81597
80,AWM 第一季,86101028,1257441,43,20,第十四集·烙印,20284
81,嫁给一个死太监 第一季,3919417,78623,34,12,新春福利音,66726
82,FOG[电竞]第二季,58761887,437086,50,28,破亿特别直播回放,39588
83,夫人你马甲又掉了 第一季,65234697,1025543,25,0,小剧场3,32574
84,小蘑菇 第二季,51908855,505488,51,34,破亿电话·双人,39605
85,谁把谁当真,14851913,781410,4,0,第四期,726
86,悬日 上季,11942871,155215,52,18,ଫ苏洄生日福利,88192
87,旧故新长 全一季,1371476,112269,1,0,织音发布会PV,86778
88,全球高考 第二季,40227595,550937,40,15,—原创配乐「警告声中接吻」—,39622
89,营业悖论 第一季,48356552,661840,50,13,中秋特别语音,36817
90,我嗑了对家X我的CP,58599010,899208,48,29,完结FT,21102
91,BE狂魔求生系统 第一季,17595854,400718,72,17,1000W福利·真吃醋啦O.o？,51469
92,唇枪 ,2920670,181333,5,0,第六期,21362
93,娑婆,1747755,37302,27,17,第十五集,93178
94,台风眼 第二季,29872758,162653,50,32,完结 FT,68664
95,我只喜欢你的人设 第一季,29362954,634186,27,13,600w福利主役版主题曲,29154
96,再世权臣 第三季（下）,912342,25897,21,12,第十二集 ·  雨后风荷,93437
97,杀破狼 第一季,51081884,1017312,16,11,第一季完结花絮,9888
98,你亲我一下,18945903,272806,63,15,特别加更·随便玩一下05,52356
99,百万UP学神天天演我 第一季,22299648,295404,73,43,花絮11,61608
100,提灯看刺刀 上季,14861332,243290,32,8,花絮·韩楚,77771
