排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,11432241,194284,51,12,启动音▪宋星阑,93038
2,奇洛李维斯回信,51982292,559231,98,41,OST A12 · 暗恋基本法,85974
3,囚于永夜,5132155,310390,1,0,织音发布会纯享PV · 概念预告,86822
4,情蛊,39793910,431164,67,48,完结FT·下,86178
5,二哈和他的白猫师尊,165364019,3183356,78,0,第肆季-第十一期,20741
6,灯花笑 上季,1270508,37614,11,0,第4集,94733
7,放学等我 第一季,53277983,831285,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
8,天官赐福 第一季,86420405,964832,61,43,四千万福利·小剧场·从前有一位名师,52400
9,虚拟偶像团综丨《去世界尽头》,3575135,47028,25,0,嘉宾观察室顾子尧篇·“顾拿拉”养成手记,94354
10,洄天 第一季,27790085,244779,65,14,完结语音 · 高能量S级监护人的一天,86815
11,小蘑菇 第一季,50628444,926769,33,17,白噪音·漫步荒原,29125
12,我在无限游戏里封神 第四季,7047337,138877,56,15,特别放送 · emoji大挑战,86834
13,魔道祖师 第一季,259555151,2275702,39,22,主创FT<下>,15861
14,我在无限游戏里封神 第一季,73981801,995415,64,14,线下漫展VLOG,52347
15,伪装学渣 第一季,103101657,1945915,30,17,千万福利·“叫妈妈”,58262
16,天官赐福 第四季,6395762,96943,15,0,谢怜生辰快乐,91718
17,我喜欢你的信息素 第一季,100322323,1513749,48,21,四千万福利,58217
18,一颗苹果,13566339,160463,82,35,完结FT · 谢谢光临,90818
19,某某 第一季,98303432,1719677,43,28,伴奏|《梧桐说》,58219
20,台风眼 第一季,35492223,302539,53,20,千万福利·富士山在等一片云,52404
21,放学等我 第二季,31320503,446572,42,16,番外·恋爱纪念日,68837
22,见春天,13217023,231670,54,8,魏清越书信·02,80533
23,虚拟偶像团综丨《NEW DAYS（一起又出发）》,30728101,114185,95,0,许向安&许向宁生日小剧场·那片山那片海,84529
24,早春晴朗,36393237,275199,57,24,完结FT,72230
25,再世权臣 第一季,21760124,259366,79,17,花絮07,71321
26,重生之将门毒后 第一季,93991652,836546,82,27,主役reaction·片段03,43922
27,将进酒 第一季,106116551,1441988,59,16,完结FT,25944
28,满城衣冠 全一季,1793844,49661,17,3,第5集 · 不疯魔不成活,90878
29,入戏,8851684,93499,80,54,新春语音,82289
30,恒星时刻 第一季,211786,37901,1,0,歌曲《狮心》（Live）,94789
31,迪奥先生 第一季,79566763,1077780,30,15,王氏破产 铃声,23329
32,干涸地,1973264,89750,1,0,概念预告,86725
33,坠落,11454167,182725,59,22,番外二·新生,76041
34,娘娘腔,38023828,717619,31,0,主役听剧Reaction,46640
35,全球高考 第一季（全新版）,21611052,372722,37,11,— 「全季完结FT」—,60289
36,天官赐福 第三季,71419357,267724,67,43,小剧场·元宵·花灯,82040
37,于是麦麦决定离家出走,5814745,110762,51,32,花絮11,86179
38,二哈和他的白猫师尊,15914117,103662,669,603,完结FT,81979
39,判官 第一季,38497642,653106,45,21,听剧reaction,37773
40,我在无限游戏里封神 第三季,23554609,216623,91,21,破亿纪念单曲·神明所遗落的,81851
41,嫡谋·第一季,244583,7269,10,2,第五集 · 「冰河落子」,94462
42,奇洛李维斯回信 番外篇,1053577,67332,3,2,番外 ·  庆生宴,93420
43,虚拟偶像团综丨《LASER出道日》,83438070,680487,89,0,专业小课堂：电子竞技运动与管理专业,28989
44,你的雪人能活多久 第一季,219838,32472,3,0,预告 · 1214宇宙,93787
45,藏南晚星,19447172,203697,79,42,主题曲伴奏·途经,85110
46,囚于永夜,293303,12465,199,161,番外 少爷的生日7,94916
47,虚拟偶像团综丨《一起再出发》,92121084,253593,179,0,中秋特辑·清道夫,58225
48,吞海 第一季,51717880,532278,54,17,原创配乐·破晓,29187
49,针锋对决,37963361,934940,19,0,完结FT  互动问答,19249
50,交易沦陷,29270444,175671,138,99,特别福利·星空沦陷,54171
51,难哄,146821420,1577920,76,48,破亿福利·纪念FT,38074
52,江医生 第一季,16681379,234232,49,27,千万播放福利第四弹·小剧场·猫,81852
53,FOG[电竞] 第一季,70864321,765546,39,14,2000W福利·whisper伴奏抒情版,29122
54,偷偷藏不住,202769220,2416861,89,54,2亿福利·双人电话语音,34632
55,天官赐福 第二季,72955491,356520,61,43,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
56,魔道祖师 第三季,296897207,1544294,66,56,传讯符·忘羡,22602
57,这题超纲了 第一季,20887906,496041,44,17,【回放】《这题超纲了》M星直播,41369
58,我在无限游戏里封神 第二季（下）,20826223,253637,55,14,花絮06,76557
59,虚拟偶像综艺 |《VANITY FAIR（名利场）》,28292413,129255,71,0,梦系列小剧场06·白日,78684
60,宋玉章 第一季,1581483,32941,7,0,倒计时肆 · 聂雪屏×宋玉章,86589
61,小蘑菇 第二季,51621765,503345,51,34,破亿电话·双人,39605
62,重生之将门毒后 第二季,42000410,383030,83,26,破亿福利·白噪音·花灯,52293
63,沉醉不醒,3783623,55527,42,23,第十六期,86740
64,当你叫醒我,828628,14794,11,0,片尾曲《普通朋友-雪山酒店TIM版》,94268
65,不二之臣,41041604,852419,16,0,大结局·下,25580
66,旧故新长 全一季,1326172,109078,1,0,织音发布会PV,86778
67,虚拟偶像综艺丨《险象环声》,83774845,438381,138,0,三千万福利·偶像问答,38165
68,本能游戏,26005535,107610,221,158,雪地番外 · 04冰冷的家,69569
69,逐玉 第一季,4570451,73781,43,14,原创配乐 · 凶夜,89245
70,你的距离,90654455,936759,70,27,完结FT·主创版,31552
71,别来无恙 第一季,23178728,455479,48,22,1000W福利•《满心》（合唱版）,37937
72,南方海啸,24478112,171592,102,68,花絮⑤,85492
73,绰约,1941821,31280,28,3,律法小贴士·5则,86680
74,我在无限游戏里封神 第二季（上）,20508688,330776,42,11,花絮06,71605
75,伏特加与曼特宁,857061,52664,4,0,概念PV,92988
76,破云 第一季,59261164,1100360,20,15,圣诞特辑,59047
77,搭界 第一季,255900,13829,10,2,花絮 01,94617
78,我喜欢你的信息素 第二季,76477144,847461,43,26,国风版·星衍,58218
79,魔道祖师 第二季,171205205,1419479,41,37,主役FT（下）,19059
80,欢迎进入梦魇直播间 第一季,23761347,195957,62,20,完结FT,75856
81,虚拟偶像团综丨《FINE DAY》,34958862,253791,41,0,虚拟偶像，但开团会,50725
82,谁把谁当真,14781944,778360,4,0,第四期,726
83,夫人你马甲又掉了 第一季,64990444,1023674,25,0,小剧场3,32574
84,唇枪 ,2859952,179019,5,0,第六期,21362
85,君有疾否 第一季,27043476,464810,67,56,苏世誉 ✦ 第一季启动音,34592
86,理想型,1025221,15370,48,28,39·让我追你,93439
87,FOG[电竞]第二季,58349214,435529,50,28,破亿特别直播回放,39588
88,封建糟粕,15928498,153340,143,110,充电·李叔堂,87589
89,BE狂魔求生系统 第一季,17463635,398524,72,17,1000W福利·真吃醋啦O.o？,51469
90,悬日 上季,11790400,153448,52,18,ଫ苏洄生日福利,88192
91,入蛊 全一季,855404,20397,22,14,Ⱄⱄᐝ白噪音·逍遥居,93646
92,我嗑了对家X我的CP,58376182,897276,48,29,完结FT,21102
93,嫁给一个死太监 第一季,3699042,74531,34,12,新春福利音,66726
94,再世权臣 第三季（下）,729720,23542,19,11,第十一集 ·  仍佑河山,93437
95,金陵春 第一季,97529,4760,8,0,第二集,94497
96,娑婆,1409207,34908,20,11,第十一集,93178
97,营业悖论 第一季,48191812,659757,50,13,中秋特别语音,36817
98,台风眼 第二季,29601566,159651,50,32,完结 FT,68664
99,偏偏宠爱,17626743,364788,49,13,四百万语音·江忍,52353
100,提灯看刺刀 上季,14659188,241598,32,8,花絮·韩楚,77771
