排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,50380856,420424,D2,57,24,27527,17904,65.04%,4.26%,完结FT,72230
2,天官赐福 第四季,13194815,137620,D2,33,12,13615,8274,60.77%,6.01%,新年小剧场《压岁钱》,91718
3,恒星时刻 第一季,1803794,70041,D2,14,1,11611,891,7.67%,1.27%,第四集♬Lion Heart,94789
4,全职高手广播剧第四季 上,138090,8627,D2,5,1,588,110,18.71%,1.28%,中秋福利,96092
5,宋玉章 第一季,5135589,49182,D2,30,6,3531,1598,45.26%,3.25%,宋玉章 · 中秋节特别语音,86589
6,奇洛李维斯回信,56219994,581224,D2,98,41,54346,29383,54.07%,5.06%,OST A12 · 暗恋基本法,85974
7,你的雪人能活多久 第一季,1936997,63741,D2,34,11,6099,1603,26.28%,2.51%,中秋节福利彩蛋,93787
8,天官赐福 第三季,74350982,279474,D2,68,44,34724,28809,82.97%,10.31%,小剧场·元宵·花灯,82040
9,尾钩,1170497,24815,D2,45,26,2682,1735,64.69%,6.99%,第33集 · 囚笼,95503
10,情蛊,42913534,457009,D2,68,49,55239,34333,62.15%,7.51%,4000w福利·山大王,86178
11,天官赐福 第一季,89566327,983232,D2,61,43,69212,37437,54.09%,3.81%,四千万福利·小剧场·从前有一位名师,52400
12,天官赐福 第二季,75648240,367877,D2,61,43,39287,35772,91.05%,9.72%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
13,灯花笑 上季,4554660,63879,D2,38,16,9050,2428,26.83%,3.80%,配乐·风雪袭我身,94733
14,我在无限游戏里封神 第四季,8365682,148017,D2,56,15,12280,9730,79.23%,6.57%,特别放送 · emoji大挑战,86834
15,伏特加与曼特宁,2305735,67890,D2,36,9,3931,1749,44.49%,2.58%,中秋迷你剧场,92988
16,放学等我 第一季,55260060,847509,D2,53,18,62021,35886,57.86%,4.23%,1700W福利·P-特别小剧场「2022.12.2」,64911
17,藏南晚星,20549550,211653,D2,81,44,21417,15931,74.38%,7.53%,✧2000万福利·番外·美梦,85110
18,一屋暗灯 全一季,13542379,211095,D2,54,14,35172,16433,46.72%,7.78%,主役版主题曲▪未说的,93038
19,放学等我 第二季,32460816,456812,D2,42,16,44418,33840,76.19%,7.41%,番外·恋爱纪念日,68837
20,魔道祖师 第三季,298302968,1549991,D2,66,56,97617,89922,92.12%,5.80%,传讯符·忘羡,22602
21,干涸地,2340365,95683,D2,7,3,1412,103,7.29%,0.11%,火风L原著|干涸地·第四集,86725
22,沙子，时间，雨树,197509,9215,D2,10,0,943,0,0.00%,0.00%,˚₊⊹花絮1⊹₊˚,94825
23,魔道祖师 第一季,261029166,2290178,D2,39,22,97158,64639,66.53%,2.82%,主创FT<下>,15861
24,囚于永夜,1768428,35361,D2,200,161,3607,1194,33.10%,3.38%,番外 少爷的生日7,94916
25,传闻,189494,9620,D2,12,0,488,0,0.00%,0.00%,✧IF特别放送 · 中秋篇,95625
26,台风眼 第二季,30224030,165805,D2,50,32,14513,13442,92.62%,8.11%,完结 FT,68664
27,魔道祖师 第二季,172083421,1425180,D2,41,37,88923,81666,91.84%,5.73%,主役FT（下）,19059
28,台风眼 第一季,36352423,313329,D2,53,20,22506,14051,62.43%,4.48%,千万福利·富士山在等一片云,52404
29,我在无限游戏里封神 第三季,24649608,223138,D2,91,21,30632,22868,74.65%,10.25%,破亿纪念单曲·神明所遗落的,81851
30,江医生 第一季,17483403,240489,D2,49,27,23376,14345,61.37%,5.96%,千万播放福利第四弹·小剧场·猫,81852
31,再世权臣 第一季,22631949,265739,D2,79,17,24336,11497,47.24%,4.33%,花絮07,71321
32,沉浮事,1293370,19012,D2,20,9,2030,1266,62.36%,6.66%,中秋小剧场·月下仙,94775
33,将进酒 第一季,107172880,1451657,D2,59,16,78373,53355,68.08%,3.68%,完结FT,25944
34,某某 第一季,99204347,1730504,D2,43,28,76977,45096,58.58%,2.61%,伴奏|《梧桐说》,58219
35,吞海 第一季,52750492,540467,D2,54,17,45996,29015,63.08%,5.37%,原创配乐·破晓,29187
36,娑婆,2166107,39868,D2,34,23,3969,1344,33.86%,3.37%,作者原创小剧场·中秋节,93178
37,江医生 第二季,8745266,124605,D2,44,36,14008,13047,93.14%,10.47%,主役版·绝对,85256
38,二哈在狼群里疯狂造谣 第一季,327867,11417,D2,11,0,963,0,0.00%,0.00%,第2集·无中生崽,94772
39,我喜欢你的信息素 第一季,101392645,1524721,D2,48,21,72102,44650,61.93%,2.93%,四千万福利,58217
40,我在无限游戏里封神 第一季,75476932,1008112,D2,64,14,77899,43648,56.03%,4.33%,线下漫展VLOG,52347
41,再世权臣 第三季（下）,1028275,28390,D2,21,12,2546,2282,89.63%,8.04%,第十二集 ·  雨后风荷,93437
42,一颗苹果,14253719,168719,C,82,35,14002,6228,44.48%,3.69%,完结FT · 谢谢光临,90818
43,陈年烈苟 第一季,29330212,232189,D2,62,21,21528,14844,68.95%,6.39%,《陈年烈苟》第一季 ✦ 陶淮南启动音,61128
44,重生之将门毒后 第二季,42949962,388339,D2,83,26,51000,34379,67.41%,8.85%,破亿福利·白噪音·花灯,52293
45,炽火难熄 全一季,519622,22633,D2,23,8,1767,885,50.08%,3.91%,第十集 · 我的愿望是,94917
46,将进酒 第二季,73326426,817140,D2,45,22,67591,61404,90.85%,7.51%,第二季完结FT,30383
47,清白之年,668621,15943,D2,26,5,1519,470,30.94%,2.95%,小剧场·中秋,94838
48,你的距离,91504368,941891,D2,70,27,78885,56596,71.74%,6.01%,完结FT·主创版,31552
49,吞海 第二季,33338388,277266,D2,56,19,26621,24824,93.25%,8.95%,新年祝福,67085
50,失忆后死对头成了我男朋友？,5682570,106035,D2,48,20,7225,4956,68.60%,4.67%,花絮15·恢复,86693
