排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,虚拟偶像团综丨《去世界尽头》,6631470,55264,B,50,0,LASER&MANTA纯享版·《奔赴》,94354
2,天官赐福 第四季,11458236,132872,D2,30,9,新年小剧场《压岁钱》,91718
3,灯花笑 上季,4150620,61396,D2,33,15,主题曲叁·万春融雪,94733
4,你的雪人能活多久 第一季,1701944,60199,D2,30,8,第七集 · 坏兔子大战狗狗博士,93787
5,尾钩,863584,22729,D2,31,17,第24集 · 泊岸,95503
6,恒星时刻 第一季,1051610,64409,D2,7,0,小剧场 · 猎手,94789
7,伏特加与曼特宁,2147954,66811,D2,31,8,第七期,92988
8,宋玉章 第一季,4500736,46599,D2,27,4,九月月历语音 · 静玉,86589
9,二哈在狼群里疯狂造谣 第一季,185799,8560,D2,8,0,倒计时1天·明日出道,94772
10,传闻,124934,8457,D2,9,0,✧第二集,95625
11,满城衣冠 全一季,2801711,57311,D2,36,11,第12集 · 绑架,90878
12,干涸地,2281985,95214,D2,4,1,火风L原著|干涸地·第二集,86725
13,放学后别来我办公室 全一季,738255,19916,D2,17,4,第六课「初施妙计」,86868
14,是心跳说谎 全一季,122569,6792,D2,7,0,主题曲I·去逐梦,95516
15,沉浮事,1109051,17929,D2,18,7,浊世篇·第七集,94775
16,全职高手广播剧第四季 上,43580,4691,D2,2,0,正式预告,96092
17,囚于永夜,1620801,33819,D2,200,161,番外 少爷的生日7,94916
18,尚公主 第一季,5301,869,D2,1,0,预告壹·谁解签中意,95847
19,沙子，时间，雨树,69844,5328,D2,5,0,"੭""导游和奇怪的客人·金字塔",94825
20,守寡后我重生了 第二季,162341,4560,D2,15,5,第六集,95212
21,绰约,2399668,33013,D2,46,12,律法小贴士·12则,86680
22,炽火难熄 全一季,451010,21722,D2,18,6,第八集 · 夜店,94917
23,乘鸾 第一季,130216,5130,D2,12,2,第五集·命运的岔路口,94849
24,嫡谋·第一季,423603,10505,D2,19,10,第十二集· 「寺中初弈」,94462
25,搭界 第一季,529003,17131,D2,29,15,EP10 小剧场,94617
26,清白之年,597612,15411,D2,24,4,第九集·Life in a Love,94838
27,触礁,471136,13873,D2,21,9,EP06下⟢| 呛住喉咙的是爱意 |,95034
28,穿进赛博游戏后干掉BOSS成功上位 第一季,93516,4794,B,7,0,第3集,95678
29,解瘾,623121,14657,D2,29,7,第九集,94782
30,难言之欲,300507,11443,D2,11,4,E5,94857
