排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,50289539,419962,D2,57,24,27495,17884,65.04%,4.26%,完结FT,72230
2,天官赐福 第四季,12965081,137084,D2,31,10,13435,8069,60.06%,5.89%,新年小剧场《压岁钱》,91718
3,恒星时刻 第一季,1691966,69175,D2,13,0,11234,0,0.00%,0.00%,歌曲《狮心》,94789
4,全职高手广播剧第四季 上,128427,8365,D2,4,1,571,102,17.86%,1.22%,第二集,96092
5,宋玉章 第一季,5072149,49031,D2,29,6,3503,1570,44.82%,3.20%,第九折 ·  不栖下风,86589
6,奇洛李维斯回信,56165472,580885,D2,98,41,54336,29374,54.06%,5.06%,OST A12 · 暗恋基本法,85974
7,你的雪人能活多久 第一季,1912114,63541,D2,33,11,6080,1592,26.18%,2.51%,小剧场05 · 特大八卦,93787
8,尾钩,1147074,24683,D2,44,25,2665,1716,64.39%,6.95%,第32集 · 错轨,95503
9,天官赐福 第三季,74262832,279277,D2,68,44,34715,28804,82.97%,10.31%,小剧场·元宵·花灯,82040
10,情蛊,42869854,456606,D2,68,49,55196,34308,62.16%,7.51%,4000w福利·山大王,86178
11,天官赐福 第一季,89493458,982902,D2,61,43,69195,37429,54.09%,3.81%,四千万福利·小剧场·从前有一位名师,52400
12,天官赐福 第二季,75583757,367684,D2,61,43,39279,35764,91.05%,9.73%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
13,灯花笑 上季,4510665,63591,D2,36,16,9023,2412,26.73%,3.79%,突击采访,94733
14,我在无限游戏里封神 第四季,8349864,147872,D2,56,15,12263,9714,79.21%,6.57%,特别放送 · emoji大挑战,86834
15,伏特加与曼特宁,2290386,67782,D2,35,9,3920,1742,44.44%,2.57%,✦店长来啦！⑧,92988
16,放学等我 第一季,55221994,847100,D2,53,18,61996,35885,57.88%,4.24%,1700W福利·P-特别小剧场「2022.12.2」,64911
17,一屋暗灯 全一季,13519419,210913,D2,54,14,35146,16419,46.72%,7.78%,主役版主题曲▪未说的,93038
18,藏南晚星,20535098,211552,D2,81,44,21406,15921,74.38%,7.53%,✧2000万福利·番外·美梦,85110
19,放学等我 第二季,32441670,456555,D2,42,16,44425,33843,76.18%,7.41%,番外·恋爱纪念日,68837
20,魔道祖师 第三季,298281114,1549879,D2,66,56,97609,89914,92.12%,5.80%,传讯符·忘羡,22602
21,干涸地,2333584,95657,D2,6,2,1405,93,6.62%,0.10%,花絮01,86725
22,魔道祖师 第一季,261005324,2289926,D2,39,22,97151,64636,66.53%,2.82%,主创FT<下>,15861
23,沙子，时间，雨树,181672,9020,D2,9,0,892,0,0.00%,0.00%,ᯓº·主题曲·《Where I want to be》｡*˚,94825
