排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,331699,32932,2,0,正式预告,93038
2,洄天 第一季,17238538,193956,31,0,300W特别福利 · 出行小贴士,86815
3,愚蠢的有钱人,66070,8567,2,0,【主题曲】,93113
4,我在无限游戏里封神 第四季,2284051,101640,12,1,特别放送 · 当你进入到中式恐怖本,86834
5,顶级掠食者 第二季,5575262,49895,26,10,第十集,86789
6,降水概率百分百,236894,12929,6,0,˚.⊹ 第一期 ♡₊˚,93005
7,伏特加与曼特宁,319269,27015,1,0,京儒♡生日快乐,92988
8,伏特加与曼特宁,68380,6545,5,0,°☆. 第1集 « *,92968
9,恩客,615756,13626,21,8,14·小妹,91870
10,沉醉不醒,1467018,39087,12,0,ღ100万福利·早安语音·丁竞元,86740
11,一诺一生 全一季,764200,26355,19,5,小剧场 · 霸总观察日记,91354
12,逐玉 第二季,593878,12310,8,1,第四集 · 妒意,92520
13,反差 全一季,6222201,49608,27,9,第九集·孤注的告白,86684
14,太傅他人人喊打 第二季,2088366,36204,19,8,花絮04,86723
15,欢迎进入梦魇直播间 第二季,5085351,40252,21,9,第九集 ♱ 三个问题,90985
16,再世权臣 第三季（上）,2019162,44509,30,7,第七集 ·  相思何味,86827
17,语义错误 第一季,2727091,22512,15,3,Ep.06 CRASH,92155
18,美人印,446511,26812,10,3,第四集,92611
19,怀火 全一季,109623,8616,11,0,主题曲,91418
20,君有疾否,1222202,30102,63,35,第46集,90896
21,穿成阴鸷反派的联姻对象 第二季,607537,20116,20,11,第十集·从来都不认识他,91771
22,全球进化后我站在食物链顶端 第二季（下）,46980,6131,3,1,第十六集,92775
23,第二十八年春II,101045,4191,2,0,第五期,92633
24,等你仰望,451235,13898,63,53,第六十二集,91661
25,沉浮事,61057,4820,10,1,第捌集 同屋,92895
26,黑桃A,441877,11650,71,53,【主题曲ost2】,91968
27,这恋爱一定要谈吗,448209,17127,18,7,花絮3,91787
28,余污 第一季,134111,10816,7,0,主题曲·烬中书,92701
29,落火 全一季,146912,10335,9,0,第一集,92245
30,重回我爸少年时 第一季,1193257,15617,41,12,花絮10,91872
