排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,早春晴朗,41293896,335702,57,24,完结FT,72230
2,情蛊,41866285,449156,68,49,4000w福利·山大王,86178
3,奇洛李维斯回信,54727580,574254,98,41,OST A12 · 暗恋基本法,85974
4,二哈和他的白猫师尊,167431366,3198060,84,0,概念曲-拜长久（+童声版）,20741
5,放学等我 第一季,54524611,841556,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
6,天官赐福 第四季,9246819,124476,26,5,第三集·叫天不应叫地不灵,91718
7,灯花笑 上季,3345765,55238,28,11,第14集,94733
8,囚于永夜,5389011,322263,1,0,织音发布会纯享PV · 概念预告,86822
9,天官赐福 第一季,87829090,976256,61,43,四千万福利·小剧场·从前有一位名师,52400
10,一屋暗灯 全一季,13020893,207337,54,14,主役版主题曲▪未说的,93038
11,伪装学渣 第一季,103667773,1954288,30,17,千万福利·“叫妈妈”,58262
12,你的雪人能活多久 第一季,1340769,55349,24,4,小剧场02 · 喜糖,93787
13,虚拟偶像团综丨《去世界尽头》,5721192,53071,45,0,第七期·自由身,94354
14,魔道祖师 第一季,260464840,2285535,39,22,主创FT<下>,15861
15,我在无限游戏里封神 第一季,74992106,1004243,64,14,线下漫展VLOG,52347
16,宋玉章 第一季,3705365,45229,20,2,第五折 · 夕饮冰,86589
17,我喜欢你的信息素 第一季,101020687,1521432,48,21,四千万福利,58217
18,台风眼 第一季,36028350,309525,53,20,千万福利·富士山在等一片云,52404
19,伏特加与曼特宁,1863186,64672,24,3,主题曲·泊岸·祝京儒版,92988
20,将进酒 第一季,106727008,1448209,59,16,完结FT,25944
21,天官赐福 第三季,72658262,274939,68,44,小剧场·元宵·花灯,82040
22,重生之将门毒后 第一季,95141114,842907,82,27,主役reaction·片段03,43922
23,放学等我 第二季,32029217,453110,42,16,番外·恋爱纪念日,68837
24,我在无限游戏里封神 第四季,7957918,145092,56,15,特别放送 · emoji大挑战,86834
25,某某 第一季,98878598,1727389,43,28,伴奏|《梧桐说》,58219
26,干涸地,2121014,93915,2,0,火风L原著|干涸地·正式预告,86725
27,囚于永夜,1356998,31098,200,161,番外 少爷的生日7,94916
28,难哄,147510231,1582172,76,48,破亿福利·纪念FT,38074
29,洄天 第一季,28382839,247826,65,14,完结语音 · 高能量S级监护人的一天,86815
30,一颗苹果,14021325,166006,82,35,完结FT · 谢谢光临,90818
31,娘娘腔,38667420,725356,31,0,主役听剧Reaction,46640
32,恒星时刻 第一季,369147,51005,1,0,歌曲《狮心》（Live）,94789
33,全球高考 第一季（全新版）,22062392,377713,37,11,— 「全季完结FT」—,60289
34,天官赐福 第二季,74022304,363423,61,43,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
35,见春天,13481833,235085,54,8,魏清越书信·02,80533
36,藏南晚星,20070310,208694,80,43,七夕小剧场 · 小许老师买菜记,85110
37,迪奥先生 第一季,79788213,1079389,30,15,王氏破产 铃声,23329
38,偷偷藏不住,203291932,2419496,89,54,2亿福利·双人电话语音,34632
39,江医生 第一季,17194235,238512,49,27,千万播放福利第四弹·小剧场·猫,81852
40,二哈和他的白猫师尊,16696539,107336,669,603,完结FT,81979
41,再世权臣 第一季,22225224,262356,79,17,花絮07,71321
42,不二之臣,41316943,857135,16,0,大结局·下,25580
43,小蘑菇 第一季,51024123,932340,33,17,白噪音·漫步荒原,29125
44,不想了,9914672,115246,93,66,500W福利·主役版主题曲《同谋》,70445
45,虚拟偶像团综丨《NEW DAYS（一起又出发）》,31927070,115553,95,0,许向安&许向宁生日小剧场·那片山那片海,84529
46,满城衣冠 全一季,2520128,55142,33,9,白噪音 · 苏苏念经,90878
47,FOG[电竞] 第一季,71457684,769277,39,14,2000W福利·whisper伴奏抒情版,29122
48,魔道祖师 第三季,297734423,1548038,66,56,传讯符·忘羡,22602
49,唇枪 上季,373616,21791,1,0,织音发布会纯享PV,94802
50,虚拟偶像团综丨《一起再出发》,93538168,255110,179,0,中秋特辑·清道夫,58225
51,判官 第一季,38888063,657037,45,21,听剧reaction,37773
52,奇洛李维斯回信 番外篇,1208779,74809,3,2,番外 ·  庆生宴,93420
53,针锋对决,38256869,940568,19,0,完结FT  互动问答,19249
54,尾钩,344544,16513,15,3,主题曲① · 引风之祷,95503
55,虚拟偶像团综丨《LASER出道日》,84131396,682815,89,0,专业小课堂：电子竞技运动与管理专业,28989
56,这题超纲了 第一季,21219221,500560,44,17,【回放】《这题超纲了》M星直播,41369
57,我在无限游戏里封神 第三季,24289887,221105,91,21,破亿纪念单曲·神明所遗落的,81851
58,交易沦陷,30107596,178559,138,99,特别福利·星空沦陷,54171
59,重生之将门毒后 第二季,42611247,386495,83,26,破亿福利·白噪音·花灯,52293
60,你的距离,91148136,939896,70,27,完结FT·主创版,31552
61,吞海 第一季,52343325,537689,54,17,原创配乐·破晓,29187
62,于是麦麦决定离家出走,6100533,113934,53,33,七夕小剧场✦小天使,86179
63,南方海啸,25235088,174110,102,68,花絮⑤,85492
64,虚拟偶像综艺 |《VANITY FAIR（名利场）》,28922925,130518,71,0,梦系列小剧场06·白日,78684
65,嫡谋·第一季,380280,9820,17,8,第十集·「姻局初布」,94462
66,魔道祖师 第二季,171733519,1423200,41,37,主役FT（下）,19059
67,我在无限游戏里封神 第二季（下）,21331956,257909,55,14,花絮06,76557
68,封建糟粕,16189526,156589,143,110,充电·李叔堂,87589
69,欢迎进入梦魇直播间 第一季,24129331,199004,62,20,完结FT,75856
70,别来无恙 第一季,23444268,459177,48,22,1000W福利•《满心》（合唱版）,37937
71,红白囍 第一季,7571707,115915,46,13,花絮03,81597
72,虚拟偶像综艺丨《险象环声》,84636678,439711,138,0,三千万福利·偶像问答,38165
73,去你的岛,602380,20162,26,13,番外,77026
74,君有疾否 第一季,27323258,468596,67,56,苏世誉 ✦ 第一季启动音,34592
75,我喜欢你的信息素 第二季,76934341,851157,43,26,国风版·星衍,58218
76,破云 第一季,59510576,1105649,20,15,圣诞特辑,59047
77,酸梅,4258455,259770,4,0,第二期,51020
78,AWM 第一季,86173397,1258101,43,20,第十四集·烙印,20284
79,夫人你马甲又掉了 第一季,65319106,1026350,25,0,小剧场3,32574
80,我在无限游戏里封神 第二季（上）,20872633,334915,42,11,花絮06,71605
81,FOG[电竞]第二季,58910855,437589,50,28,破亿特别直播回放,39588
82,沉醉不醒,4217737,57581,50,31,დ400万福利剧场·桑拿,86740
83,如果月亮不抱你,83964651,1193958,24,0,全网2000万福利突击采访,25485
84,虚拟偶像团综丨《FINE DAY》,35390173,254922,41,0,虚拟偶像，但开团会,50725
85,撒野 第一季,88591796,1844326,36,8,千万播放纪念,58443
86,悬日 上季,11998029,155851,52,18,ଫ苏洄生日福利,88192
87,全球高考 第二季,40323896,551554,40,15,—原创配乐「警告声中接吻」—,39622
88,营业悖论 第一季,48412615,662371,50,13,中秋特别语音,36817
89,台风眼 第二季,29975964,163676,50,32,完结 FT,68664
90,坠落,11668971,185295,59,22,番外二·新生,76041
91,小蘑菇 第二季,51996562,506136,51,34,破亿电话·双人,39605
92,我嗑了对家X我的CP,58671025,899811,48,29,完结FT,21102
93,谁把谁当真,14872751,782195,4,0,第四期,726
94,等风热吻你,16855018,314652,56,18,插曲《约定》,52292
95,杀破狼 第一季,51134003,1018151,16,11,第一季完结花絮,9888
96,提灯看刺刀 上季,14934664,243868,32,8,花絮·韩楚,77771
97,旧故新长 全一季,1386244,113192,1,0,织音发布会PV,86778
98,逐玉 第一季,4672140,74682,43,14,原创配乐 · 凶夜,89245
99,黑莲花攻略手册 第一季,20000748,420971,36,17,完结FT,52102
100,你亲我一下,18986354,273156,63,15,特别加更·随便玩一下05,52356
