排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,天官赐福 第四季,11609092,133308,D2,30,9,新年小剧场《压岁钱》,91718
2,虚拟偶像团综丨《去世界尽头》,6691622,55374,B,50,0,LASER&MANTA纯享版·《奔赴》,94354
3,灯花笑 上季,4195545,61657,D2,33,15,主题曲叁·万春融雪,94733
4,恒星时刻 第一季,1089286,64735,D2,8,0,OST01 · 春晖,94789
5,尾钩,895567,23018,D2,32,18,第25集 · 执手,95503
6,你的雪人能活多久 第一季,1721577,60538,D2,30,8,第七集 · 坏兔子大战狗狗博士,93787
7,全职高手广播剧第四季 上,63282,5673,D2,3,0,第一集,96092
8,二哈在狼群里疯狂造谣 第一季,211301,9193,D2,10,0,主题曲·恋爱使狼声名狼藉,94772
9,沙子，时间，雨树,91452,6291,D2,6,0,第1集✧˖如果你的眼睛，不是月亮的颜色,94825
10,伏特加与曼特宁,2160037,66890,D2,31,8,第七期,92988
11,宋玉章 第一季,4545357,46669,D2,27,4,九月月历语音 · 静玉,86589
12,是心跳说谎 全一季,127941,6900,D2,8,0,赛前阵营VCR,95516
13,传闻,133290,8652,D2,9,0,✧第二集,95625
14,满城衣冠 全一季,2816867,57413,D2,36,11,第12集 · 绑架,90878
15,尚公主 第一季,8957,1348,D2,1,0,预告壹·谁解签中意,95847
16,干涸地,2286653,95272,D2,4,1,火风L原著|干涸地·第二集,86725
17,囚于永夜,1634708,33934,D2,200,161,番外 少爷的生日7,94916
18,放学后别来我办公室 全一季,742828,19967,D2,17,4,第六课「初施妙计」,86868
19,沉浮事,1125991,18020,D2,18,7,浊世篇·第七集,94775
20,难言之欲,307192,11545,D2,12,5,E6,94857
21,穿进赛博游戏后干掉BOSS成功上位 第一季,97290,4855,B,8,0,第4集,95678
22,炽火难熄 全一季,454628,21783,D2,18,6,第八集 · 夜店,94917
23,守寡后我重生了 第二季,165742,4594,D2,15,5,第六集,95212
24,我花开后百花杀 第一季,148056,5142,D2,12,2,第六集 · 落叶知心,94893
25,搭界 第一季,531049,17158,D2,29,15,EP10 小剧场,94617
26,嫡谋·第一季,425360,10522,D2,19,10,第十二集· 「寺中初弈」,94462
27,绰约,2406180,33026,D2,46,12,律法小贴士·12则,86680
28,解瘾,631516,14701,D2,30,7,福利音❃牵魂,94782
29,清白之年,606114,15444,D2,24,4,第九集·Life in a Love,94838
30,乘鸾 第一季,131950,5158,D2,12,2,第五集·命运的岔路口,94849
