排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,44041197,367641,D2,57,24,25548,16591,64.94%,4.51%,完结FT,72230
2,天官赐福 第四季,9684905,126586,D2,26,5,11830,6253,52.86%,4.94%,第三集·叫天不应叫地不灵,91718
3,奇洛李维斯回信,54960325,575251,D2,98,41,53953,28984,53.72%,5.04%,OST A12 · 暗恋基本法,85974
4,你的雪人能活多久 第一季,1432487,56452,D2,27,6,5414,942,17.40%,1.67%,小剧场03 · 戒指,93787
5,情蛊,42023331,450224,D2,68,49,54695,33876,61.94%,7.52%,4000w福利·山大王,86178
6,灯花笑 上季,3516988,56577,D2,28,11,8418,1852,22.00%,3.27%,第14集,94733
7,伏特加与曼特宁,1957908,65346,D2,26,4,3601,1382,38.38%,2.11%,✦店长来啦！⑤,92988
8,宋玉章 第一季,3936445,45559,D2,23,3,2982,996,33.40%,2.19%,第六折 ·  瞒天过海,86589
9,天官赐福 第三季,72802038,275615,D2,68,44,34238,28353,82.81%,10.29%,小剧场·元宵·花灯,82040
10,尾钩,482489,19094,D2,19,7,1923,916,47.63%,4.80%,第14集 · 低回,95503
11,我在无限游戏里封神 第四季,8020280,145529,D2,56,15,12015,9476,78.87%,6.51%,特别放送 · emoji大挑战,86834
12,天官赐福 第二季,74179428,364040,D2,61,43,38982,35473,91.00%,9.74%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
13,天官赐福 第一季,88022206,977235,D2,61,43,69034,37275,54.00%,3.81%,四千万福利·小剧场·从前有一位名师,52400
14,满城衣冠 全一季,2580510,55690,D2,33,9,3401,1437,42.25%,2.58%,白噪音 · 苏苏念经,90878
15,一屋暗灯 全一季,13106369,207914,D2,54,14,34745,16081,46.28%,7.73%,主役版主题曲▪未说的,93038
16,沉浮事,904013,16910,D2,17,6,1814,1049,57.83%,6.20%,浊世篇·第六集,94775
17,囚于永夜,1422448,31754,D2,200,161,3187,996,31.25%,3.14%,番外 少爷的生日7,94916
18,炽火难熄 全一季,380117,20888,D2,16,4,1577,680,43.12%,3.26%,花絮03 ·“你好香啊”,94917
19,藏南晚星,20136262,209121,D2,80,43,21097,15644,74.15%,7.48%,七夕小剧场 · 小许老师买菜记,85110
20,放学等我 第一季,54625116,842227,D2,53,18,61942,35832,57.85%,4.25%,1700W福利·P-特别小剧场「2022.12.2」,64911
21,放学等我 第二季,32086464,453538,D2,42,16,44413,33891,76.31%,7.47%,番外·恋爱纪念日,68837
22,我在无限游戏里封神 第三季,24342621,221415,D2,91,21,30481,22741,74.61%,10.27%,破亿纪念单曲·神明所遗落的,81851
23,恒星时刻 第一季,529809,56121,D2,3,0,7024,0,0.00%,0.00%,预告 · 肆,94789
24,魔道祖师 第三季,297821715,1548320,D2,66,56,97533,89839,92.11%,5.80%,传讯符·忘羡,22602
25,魔道祖师 第一季,260550908,2286216,D2,39,22,97097,64592,66.52%,2.83%,主创FT<下>,15861
26,江医生 第一季,17241221,238832,D2,49,27,23232,14230,61.25%,5.96%,千万播放福利第四弹·小剧场·猫,81852
27,台风眼 第二季,30015754,163951,D2,50,32,14363,13295,92.56%,8.11%,完结 FT,68664
28,魔道祖师 第二季,171787333,1423471,D2,41,37,88915,81660,91.84%,5.74%,主役FT（下）,19059
29,台风眼 第一季,36072063,310064,D2,53,20,22277,13917,62.47%,4.49%,千万福利·富士山在等一片云,52404
30,我喜欢你的信息素 第一季,101075276,1521887,D2,48,21,72074,44667,61.97%,2.93%,四千万福利,58217
31,江医生 第二季,8580628,123522,D2,44,36,13859,12900,93.08%,10.44%,主役版·绝对,85256
32,我在无限游戏里封神 第一季,75059407,1004740,D2,64,14,77778,43562,56.01%,4.34%,线下漫展VLOG,52347
33,某某 第一季,98924797,1727774,D2,43,28,76939,45042,58.54%,2.61%,伴奏|《梧桐说》,58219
34,触礁,353658,13080,D2,18,6,1347,930,69.04%,7.11%,✰花絮·03✰,95034
35,我在无限游戏里封神 第二季（下）,21366868,258167,D2,55,14,28345,24232,85.49%,9.39%,花絮06,76557
36,吞海 第一季,52405094,538134,D2,54,17,45828,28877,63.01%,5.37%,原创配乐·破晓,29187
37,难言之欲,248930,10670,D2,9,3,804,399,49.63%,3.74%,E4,94857
38,降水概率百分百,2090081,29771,D2,45,18,3015,1766,58.57%,5.93%,完结彩蛋 ♡ 晴天娃娃,93005
39,我喜欢你的信息素 第二季,76973626,851449,D2,43,26,59028,49792,84.35%,5.85%,国风版·星衍,58218
40,一颗苹果,14050991,166325,C,82,35,13800,6119,44.34%,3.68%,完结FT · 谢谢光临,90818
41,将进酒 第一季,106791218,1448673,D2,59,16,78378,53346,68.06%,3.68%,完结FT,25944
42,重生之将门毒后 第二季,42662107,386780,D2,83,26,50877,34283,67.38%,8.86%,破亿福利·白噪音·花灯,52293
43,你的距离,91205925,940288,D2,70,27,78824,56544,71.73%,6.01%,完结FT·主创版,31552
44,伪装学渣 第一季,103703865,1954689,D2,30,17,80105,47037,58.72%,2.41%,千万福利·“叫妈妈”,58262
45,我在无限游戏里封神 第二季（上）,20899353,335167,D2,42,11,34452,29836,86.60%,8.90%,花絮06,71605
46,某某 第二季,66820073,835088,D2,67,39,68644,51377,74.85%,6.15%,破亿纪念·《正年少》,58220
47,吞海 第二季,33098421,275796,D2,56,19,26464,24665,93.20%,8.94%,新年祝福,67085
48,清白之年,533414,14858,D2,21,2,1358,280,20.62%,1.88%,小剧场·肯德基,94838
49,娑婆,1891977,38252,D2,30,20,3790,1204,31.77%,3.15%,第十七集,93178
50,失忆后死对头成了我男朋友？,5534242,104337,D2,48,20,7095,4841,68.23%,4.64%,花絮15·恢复,86693
