排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,一屋暗灯 全一季,8727821,171587,39,8,28873,11274,39.05%,6.57%,福利彩蛋·葡萄柚相亲记,93038
2,我在无限游戏里封神 第四季,5621436,130755,37,12,9387,6853,73.01%,5.24%,第十二集 · 烂尾楼,86834
3,洄天 第一季,26651733,239500,56,11,22425,10544,47.02%,4.40%,第十三期,86815
4,奇洛李维斯回信,49417462,545602,84,27,51028,26701,52.33%,4.89%,花絮10 · 破坏队形的花絮来了,85974
5,早春晴朗,35387955,270376,57,24,21747,14293,65.72%,5.29%,完结FT,72230
6,情蛊,38407334,417850,67,48,50750,31319,61.71%,7.50%,完结FT·下,86178
7,满城衣冠 全一季,1206865,42615,8,0,1580,0,0.00%,0.00%,第1集 · 旧人不覆,90878
8,沉醉不醒,3315650,53384,37,19,4168,2475,59.38%,4.64%,小剧场·不醒,86740
9,小蘑菇 第二季,51228746,500094,51,34,51736,47572,91.95%,9.51%,破亿电话·双人,39605
10,我在无限游戏里封神 第三季,22888361,211998,91,21,29214,21675,74.19%,10.22%,破亿纪念单曲·神明所遗落的,81851
11,坠落,11122433,178871,59,22,14722,4880,33.15%,2.73%,番外二·新生,76041
12,天官赐福 第三季,70644283,262709,67,43,32686,26949,82.45%,10.26%,小剧场·元宵·花灯,82040
13,再世权臣 第三季（下）,456531,20292,13,7,1389,1215,87.47%,5.99%,第七集 ·  但梦梨花,93437
14,小蘑菇 第一季,50174725,920542,33,17,58301,39120,67.10%,4.25%,白噪音·漫步荒原,29125
15,天官赐福 第二季,72274558,352055,61,43,37969,34553,91.00%,9.81%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
16,天官赐福 第一季,85428591,956526,61,43,68534,36802,53.70%,3.85%,四千万福利·小剧场·从前有一位名师,52400
17,愚蠢的有钱人,1347175,26881,85,68,2303,1254,54.45%,4.67%,【花絮6】,93113
18,放学等我 第一季,52349137,822836,53,18,63069,36324,57.59%,4.41%,1700W福利·P-特别小剧场「2022.12.2」,64911
19,放学等我 第二季,30777306,441079,42,16,44507,34362,77.21%,7.79%,番外·恋爱纪念日,68837
20,门生故旧,436546,14940,30,18,1449,1028,70.95%,6.88%,☆ 23·谋求,93774
21,我在无限游戏里封神 第一季,73036577,986565,64,14,77206,43290,56.07%,4.39%,线下漫展VLOG,52347
22,藏南晚星,18989729,200055,79,42,20097,14847,73.88%,7.42%,主题曲伴奏·途经,85110
23,我在无限游戏里封神 第二季（下）,20360654,249210,55,14,27343,23326,85.31%,9.36%,花絮06,76557
24,魔道祖师 第三季,296247886,1541295,66,56,97584,89969,92.20%,5.84%,传讯符·忘羡,22602
25,逆鳞 第一季,258946,12237,14,2,1200,403,33.58%,3.29%,小剧场 · 吾家有龙初长成,93750
26,魔道祖师 第一季,258815365,2266669,39,22,97025,64600,66.58%,2.85%,主创FT<下>,15861
27,一颗苹果,13081861,151953,80,34,12445,5437,43.69%,3.58%,启动音试听 · 谢青寄,90818
28,吞海 第一季,51166464,527253,54,17,44982,28230,62.76%,5.35%,原创配乐·破晓,29187
29,娑婆,1077738,31228,15,7,3124,681,21.80%,2.18%,第八集,93178
30,台风眼 第二季,29330076,156272,50,32,13683,12645,92.41%,8.09%,完结 FT,68664
31,反差 全一季,7656681,59032,43,19,4542,2833,62.37%,4.80%,《Turning The Key》,86684
32,台风眼 第一季,35035714,296588,53,20,21048,13272,63.06%,4.47%,千万福利·富士山在等一片云,52404
33,魔道祖师 第二季,170800139,1416507,41,37,88842,81570,91.81%,5.76%,主役FT（下）,19059
34,江医生 第一季,16294636,230864,49,27,22447,13610,60.63%,5.90%,千万播放福利第四弹·小剧场·猫,81852
35,我在无限游戏里封神 第二季（上）,20194333,326527,42,11,33639,29135,86.61%,8.92%,花絮06,71605
36,太傅他人人喊打 第二季,3534318,42970,36,21,3617,2539,70.20%,5.91%,小剧场·《龙床》,86723
37,交易沦陷,28560393,173151,138,99,17158,10009,58.33%,5.78%,特别福利·星空沦陷,54171
38,秋燥 第一季,302557,13530,11,2,1391,365,26.24%,2.70%,第五集,93438
39,默读 第五季,39045996,464097,47,34,46428,40027,86.21%,8.62%,电话,59100
40,某某 第一季,97851917,1712296,43,28,77514,45185,58.29%,2.64%,伴奏|《梧桐说》,58219
41,将进酒 第一季,105613553,1435960,59,16,78353,53388,68.14%,3.72%,完结FT,25944
42,我喜欢你的信息素 第一季,99752635,1506174,48,21,72368,45026,62.22%,2.99%,四千万福利,58217
43,绰约,1630244,28280,16,0,870,0,0.00%,0.00%,主题曲·流亡地,86680
44,吞海 第二季,32306875,269359,56,19,25824,24047,93.12%,8.93%,新年祝福,67085
45,初三的六一儿童节,27847180,61366,287,255,7110,5833,82.04%,9.51%,番外9 跨年夜,85562
46,顶级掠食者 第二季,7696442,55899,49,18,5344,4345,81.31%,7.77%,番外·金龙舟,86789
47,伪装学渣 第一季,102656875,1937218,30,17,79604,46849,58.85%,2.42%,千万福利·“叫妈妈”,58262
48,吞海 第三季（上）,22349434,215067,38,16,18332,17172,93.67%,7.98%,OST·04 此地埋名,73221
49,于是麦麦决定离家出走,5536374,105756,51,32,9419,5788,61.45%,5.47%,花絮11,86179
50,江医生 第二季,7965027,118267,44,36,13182,12233,92.80%,10.34%,主役版·绝对,85256
