排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,一屋暗灯 全一季,11901611,198090,52,13,33505,14876,44.40%,7.51%,番外二,93038
2,我在无限游戏里封神 第四季,7285711,140411,56,15,11221,8701,77.54%,6.20%,特别放送 · emoji大挑战,86834
3,奇洛李维斯回信,52585599,562830,98,41,52722,28022,53.15%,4.98%,OST A12 · 暗恋基本法,85974
4,满城衣冠 全一季,1934223,50850,19,4,2858,863,30.20%,1.70%,第6集 · 出将,90878
5,天官赐福 第四季,6658850,100255,16,0,7500,0,0.00%,0.00%,正式预告·神明与信徒,91718
6,灯花笑 上季,1767088,41617,15,1,6811,333,4.89%,0.80%,第6集,94733
7,情蛊,40223177,435414,67,48,52817,32543,61.61%,7.47%,完结FT·下,86178
8,宋玉章 第一季,2138396,39035,14,0,1780,0,0.00%,0.00%,主题曲 · 不照我 · 伴奏,86589
9,天官赐福 第三季,71620180,269096,67,43,33360,27548,82.58%,10.24%,小剧场·元宵·花灯,82040
10,洄天 第一季,27943162,245462,65,14,23263,11219,48.23%,4.57%,完结语音 · 高能量S级监护人的一天,86815
11,我在无限游戏里封神 第三季,23721531,217685,91,21,29989,22330,74.46%,10.26%,破亿纪念单曲·神明所遗落的,81851
12,天官赐福 第二季,73134812,357765,61,43,38438,34954,90.94%,9.77%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
13,天官赐福 第一季,86663803,966973,61,43,68703,36986,53.83%,3.82%,四千万福利·小剧场·从前有一位名师,52400
14,囚于永夜,496408,17973,199,161,1288,329,25.54%,1.83%,番外 少爷的生日7,94916
15,绰约,2000424,31599,30,4,1407,465,33.05%,1.47%,律法小贴士·6则,86680
16,一颗苹果,13670199,161697,82,35,13263,5846,44.08%,3.62%,完结FT · 谢谢光临,90818
17,伏特加与曼特宁,1057933,56138,9,0,1861,0,0.00%,0.00%,倒计时①·柏青临x祝京儒,92988
18,我在无限游戏里封神 第一季,74220683,997633,64,14,77567,43438,56.00%,4.35%,线下漫展VLOG,52347
19,炽火难熄 全一季,164376,16036,8,0,1005,0,0.00%,0.00%,第二集 · 再遇,94917
20,你的雪人能活多久 第一季,393741,37907,10,0,2836,0,0.00%,0.00%,倒计时1天,93787
21,早春晴朗,36611556,276096,57,24,22303,14640,65.64%,5.30%,完结FT,72230
22,理想型,1185546,16029,58,36,1434,866,60.39%,5.40%,47·因为喜欢,93439
23,放学等我 第一季,53509208,833206,53,18,62621,36084,57.62%,4.33%,1700W福利·P-特别小剧场「2022.12.2」,64911
24,放学等我 第二季,31453348,447751,42,16,44494,34158,76.77%,7.63%,番外·恋爱纪念日,68837
25,谁来言说夜晚 上季,956010,13997,50,24,1399,654,46.75%,4.67%,第41集,94321
26,魔道祖师 第三季,297059287,1545006,66,56,97500,89846,92.15%,5.82%,传讯符·忘羡,22602
27,我在无限游戏里封神 第二季（下）,20944240,254687,55,14,27890,23816,85.39%,9.35%,花絮06,76557
28,搭界 第一季,323372,14665,15,4,1477,693,46.92%,4.73%,主役采访 01,94617
29,再世权臣 第三季（下）,814668,24598,21,12,2208,1960,88.77%,7.97%,第十二集 ·  雨后风荷,93437
30,魔道祖师 第一季,259738603,2277693,39,22,97136,64641,66.55%,2.84%,主创FT<下>,15861
31,台风眼 第二季,29668332,160405,50,32,14041,12984,92.47%,8.09%,完结 FT,68664
32,解瘾,254105,12122,14,1,692,116,16.76%,0.96%,第三集,94782
33,我在无限游戏里封神 第二季（上）,20591531,331813,42,11,34091,29521,86.59%,8.90%,花絮06,71605
34,清白之年,288052,11678,11,0,906,0,0.00%,0.00%,第三集·他骑竹马来,94838
35,沉醉不醒,3896873,55992,44,25,4675,2910,62.25%,5.20%,番外·墨源·上,86740
36,台风眼 第一季,35602735,303888,53,20,21713,13617,62.71%,4.48%,千万福利·富士山在等一片云,52404
37,藏南晚星,19552348,204490,79,42,20569,15227,74.03%,7.45%,主题曲伴奏·途经,85110
38,魔道祖师 第二季,171312196,1420173,41,37,88847,81580,91.82%,5.74%,主役FT（下）,19059
39,江医生 第一季,16786586,235141,49,27,22835,13912,60.92%,5.92%,千万播放福利第四弹·小剧场·猫,81852
40,小蘑菇 第二季,51702770,503969,51,34,51944,47730,91.89%,9.47%,破亿电话·双人,39605
41,某某 第一季,98419082,1721302,43,28,77392,45103,58.28%,2.62%,伴奏|《梧桐说》,58219
42,小蘑菇 第一季,50712725,928033,33,17,58457,39236,67.12%,4.23%,白噪音·漫步荒原,29125
43,嫁给一个死太监 第一季,3777781,76049,34,12,4450,2470,55.51%,3.25%,新春福利音,66726
44,我喜欢你的信息素 第一季,100463980,1515407,48,21,72115,44722,62.01%,2.95%,四千万福利,58217
45,吞海 第一季,51839515,533422,54,17,45446,28576,62.88%,5.36%,原创配乐·破晓,29187
46,娑婆,1500960,35605,22,13,3488,950,27.24%,2.67%,小剧场·虎头铃,93178
47,默读 第五季,39206501,466291,47,34,46520,40115,86.23%,8.60%,电话,59100
48,沉浮事,266799,11836,10,0,990,0,0.00%,0.00%,浊世篇·第一集,94775
49,降水概率百分百,1669857,26882,33,13,2563,1380,53.84%,5.13%,˚.⊹ 第十六期 ♡₊˚,93005
50,重生之将门毒后 第二季,42125164,383768,83,26,50551,33998,67.25%,8.86%,破亿福利·白噪音·花灯,52293
