排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,奇洛李维斯回信,49721396,547006,85,28,5000W福利第①弹 · 主役版《昨日歌》,85974
2,一屋暗灯 全一季,9108358,174574,41,9,第十一集,93038
3,洄天 第一季,26776270,240257,56,11,第十三期,86815
4,二哈和他的白猫师尊,164128956,3171520,77,0,第肆季-第十期,20741
5,情蛊,38555201,419095,67,48,完结FT·下,86178
6,囚于永夜,4849759,295577,1,0,织音发布会纯享PV · 概念预告,86822
7,小蘑菇 第一季,50225990,921052,33,17,白噪音·漫步荒原,29125
8,放学等我 第一季,52448016,823665,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
9,我在无限游戏里封神 第四季,5735853,131459,38,12,特别放送 · 打工人的亿些日常之反骨日常,86834
10,坠落,11191339,179742,59,22,番外二·新生,76041
11,天官赐福 第一季,85521734,957298,61,43,四千万福利·小剧场·从前有一位名师,52400
12,早春晴朗,35526825,270989,57,24,完结FT,72230
13,魔道祖师 第一季,258897176,2267543,39,22,主创FT<下>,15861
14,我在无限游戏里封神 第一季,73126965,987311,64,14,线下漫展VLOG,52347
15,伪装学渣 第一季,102698913,1937992,30,17,千万福利·“叫妈妈”,58262
16,天官赐福 第四季,5571474,88242,13,0,新年小剧场《压岁钱》,91718
17,我喜欢你的信息素 第一季,99807893,1506816,48,21,四千万福利,58217
18,迪奥先生 第一季,79397203,1076448,30,15,王氏破产 铃声,23329
19,虚拟偶像团综丨《NEW DAYS（一起又出发）》,29497913,112108,95,0,许向安&许向宁生日小剧场·那片山那片海,84529
20,小蘑菇 第二季,51285740,500404,51,34,破亿电话·双人,39605
21,放学等我 第二季,30836195,441675,42,16,番外·恋爱纪念日,68837
22,一颗苹果,13127047,152477,80,34,启动音试听 · 谢青寄,90818
23,台风眼 第一季,35084370,297131,53,20,千万福利·富士山在等一片云,52404
24,某某 第一季,97897471,1712994,43,28,伴奏|《梧桐说》,58219
25,将进酒 第一季,105670976,1436517,59,16,完结FT,25944
26,重生之将门毒后 第一季,93179544,830325,82,27,主役reaction·片段03,43922
27,干涸地,1898394,84331,1,0,概念预告,86725
28,交易沦陷,28653946,173511,138,99,特别福利·星空沦陷,54171
29,虚拟偶像团综丨《去世界尽头》,299289,28366,2,0,MANTA端午特辑·“五”福临门,94354
30,娘娘腔,37538175,711385,31,0,主役听剧Reaction,46640
31,满城衣冠 全一季,1273734,43886,9,0,花絮① · let's唱歌！,90878
32,奇洛李维斯回信 番外篇,923451,60603,3,2,番外 ·  庆生宴,93420
33,藏南晚星,19045317,200534,79,42,主题曲伴奏·途经,85110
34,全球高考 第一季（全新版）,21272185,368571,37,11,— 「全季完结FT」—,60289
35,见春天,12991453,228954,54,8,魏清越书信·02,80533
36,天官赐福 第三季,70724257,263145,67,43,小剧场·元宵·花灯,82040
37,我在无限游戏里封神 第三季,22956558,212414,91,21,破亿纪念单曲·神明所遗落的,81851
38,沉醉不醒,3401126,53744,39,20,第十四期,86740
39,针锋对决,37745878,930194,19,0,完结FT  互动问答,19249
40,再世权臣 第一季,21419684,256971,79,17,花絮07,71321
41,江医生 第一季,16336745,231193,49,27,千万播放福利第四弹·小剧场·猫,81852
42,FOG[电竞] 第一季,70463042,762618,39,14,2000W福利·whisper伴奏抒情版,29122
43,不二之臣,40866338,849975,16,0,大结局·下,25580
44,难哄,146387046,1575451,76,48,破亿福利·纪念FT,38074
45,于是麦麦决定离家出走,5564061,106092,51,32,花絮11,86179
46,二哈和他的白猫师尊,15378733,100731,669,603,完结FT,81979
47,偷偷藏不住,202414502,2415103,89,54,2亿福利·双人电话语音,34632
48,入蛊 全一季,641800,18322,17,9,Ⱄⱄᐝ第十二回,93646
49,魔道祖师 第三季,296324504,1541611,66,56,传讯符·忘羡,22602
50,判官 第一季,38205113,649846,45,21,听剧reaction,37773
51,南方海啸,23954375,169847,102,68,花絮⑤,85492
52,天官赐福 第二季,72347608,352456,61,43,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
53,吞海 第一季,51227439,527729,54,17,原创配乐·破晓,29187
54,虚拟偶像团综丨《一起再出发》,91095074,251794,179,0,中秋特辑·清道夫,58225
55,我在无限游戏里封神 第二季（下）,20409068,249621,55,14,花絮06,76557
56,这题超纲了 第一季,20649672,492256,44,17,【回放】《这题超纲了》M星直播,41369
57,你的距离,90309435,934701,70,27,完结FT·主创版,31552
58,入戏,8442689,89345,80,54,新春语音,82289
59,虚拟偶像团综丨《LASER出道日》,82834417,677511,89,0,专业小课堂：电子竞技运动与管理专业,28989
60,重生之将门毒后 第二季,41565669,379899,83,26,破亿福利·白噪音·花灯,52293
61,虚拟偶像综艺 |《VANITY FAIR（名利场）》,27767975,127528,71,0,梦系列小剧场06·白日,78684
62,只想和你好好的,214599,6967,10,1,✧ 主题曲二《春光正好》 ✧,94176
63,伏特加与曼特宁,770440,47991,3,0,520小剧场·吻醒,92988
64,破云 第一季,59061047,1095470,20,15,圣诞特辑,59047
65,我在无限游戏里封神 第二季（上）,20225178,326916,42,11,花絮06,71605
66,魔道祖师 第二季,170847236,1416833,41,37,主役FT（下）,19059
67,夫人你马甲又掉了 第一季,64743105,1021478,25,0,小剧场3,32574
68,逐玉 第一季,4481363,73088,43,14,原创配乐 · 凶夜,89245
69,娑婆,1105206,31436,16,8,第九集,93178
70,我喜欢你的信息素 第二季,76157956,844526,43,26,国风版·星衍,58218
71,初三的六一儿童节,27929235,61526,287,255,番外9 跨年夜,85562
72,绰约,1662318,28781,16,0,主题曲·流亡地,86680
73,当你叫醒我,410243,10547,5,0,第二集,94268
74,FOG[电竞]第二季,57971722,433919,50,28,破亿特别直播回放,39588
75,提灯看刺刀 上季,14471417,239803,32,8,花絮·韩楚,77771
76,反差 全一季,7680208,59113,43,19,《Turning The Key》,86684
77,欢迎进入梦魇直播间 第一季,23510411,193579,62,20,完结FT,75856
78,谁把谁当真,14705441,774915,4,0,第四期,726
79,愚蠢的有钱人,1382860,27082,87,70,【花絮6】,93113
80,落池,68402635,1347782,15,0,落池·番外,22032
81,别来无恙 第一季,22979238,452193,48,22,1000W福利•《满心》（合唱版）,37937
82,虚拟偶像综艺丨《险象环声》,83102837,436527,138,0,三千万福利·偶像问答,38165
83,失忆后死对头成了我男朋友？,5082408,99432,48,20,花絮15·恢复,86693
84,偏偏宠爱,17434480,362390,49,13,四百万语音·江忍,52353
85,门生故旧,469020,15294,33,21,★ 26·恐惧,93774
86,液态欲望 全一季,748227,29788,25,11,花絮05,86692
87,君有疾否 第一季,26848859,461738,67,56,苏世誉 ✦ 第一季启动音,34592
88,本能游戏,25680815,106491,221,158,雪地番外 · 04冰冷的家,69569
89,再世权臣 第三季（下）,487929,20676,15,8,第八集 ·  走投无路,93437
90,旧故新长 全一季,1251801,100062,1,0,织音发布会PV,86778
91,逐玉 第二季,966834,16231,25,12,第十五集 · 劫狱,92520
92,将进酒 第二季,72389723,812019,45,22,第二季完结FT,30383
93,我嗑了对家X我的CP,58160438,895290,48,29,完结FT,21102
94,秉性下等,25671030,205136,99,35,两千万福利·时间的情书,64528
95,台风眼 第二季,29359511,156619,50,32,完结 FT,68664
96,恩客,2079519,21519,79,64,200w福利·唱片,91870
97,有名,23084117,164649,60,32,制作FT,52382
98,百万UP学神天天演我 第一季,21886611,291791,73,43,花絮11,61608
99,全球高考 第二季,39672665,547074,40,15,—原创配乐「警告声中接吻」—,39622
100,AWM 第一季,85682112,1252313,43,20,第十四集·烙印,20284
