排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,2480464,91208,14,0,五一彩蛋,93038
2,洄天 第一季,20486533,212095,37,3,第五期,86815
3,我在无限游戏里封神 第四季,3047887,110888,19,4,第四集 · 生魂,86834
4,液态欲望 全一季,211846,17920,6,0,EP01,86692
5,禁区,97092,7396,13,0,主题曲《罪名成立》,92575
6,娑婆,41424,7201,2,0,预告二•永净世,93178
7,欢迎进入梦魇直播间 第二季,5766840,42894,28,11,《今日没说法》⑤ ·「不平安疗养院」,90985
8,太傅他人人喊打 第二季,2565058,38297,23,11,第十一集,86723
9,沉醉不醒,1928512,42605,19,5,五一迷你剧场,86740
10,再世权臣 第三季（上）,2409747,46698,34,10,第十集 ·  再度启程,86827
11,不良执念清除师 全一季,1045329,9882,14,1,第四集·最后的晚餐,86818
12,顶级掠食者 第二季,6276935,51971,30,12,第十二集,86789
13,恩客,1002326,16101,39,26,32·好严重的惩罚,91870
14,愚蠢的有钱人,376905,15867,24,11,【读诗】,93113
15,闭嘴，你这假粉 全一季,1870949,22591,33,20,番外2 · 一日为友，终生为父,87641
16,反差 全一季,6692110,52544,31,13,第十一集·选择坠落,86684
17,秋燥 第一季,15348,3874,1,0,声展,93438
18,君有疾否,1391693,31481,80,52,第63集,90896
19,语义错误 第一季,3294639,24242,21,6,200W · 宰英's MUSIC TIME,92155
20,重回我爸少年时 第一季,1293965,16534,47,17,第十一集,91872
21,怀火 全一季,152509,9870,15,3,第四集·婚礼,91418
22,落火 全一季,211416,12644,12,2,第四集,92245
23,逐玉 第二季,688821,13679,13,3,五一劳动节 · 谢征,92520
24,吞雨,276035,12562,24,8,第九集 我要追你啊,91589
25,降水概率百分百,561712,16973,10,0,˚.⊹ 第三期 ♡₊˚,93005
26,初三的六一儿童节 第二季（上）,227926,7381,4,1,第二集 · 监狱风云,93154
27,美人印,534611,28386,13,5,第六集,92611
28,这恋爱一定要谈吗,536609,17991,22,10,第十二集,91787
29,头像是我，不满意？,31407,3032,9,1,花絮3,93085
30,穿成阴鸷反派的联姻对象 第二季,722077,21488,24,15,小剧场·你不礼貌,91771
