排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,一屋暗灯 全一季,6114392,141528,32,5,24156,7880,32.62%,5.57%,小剧场▪存钱罐,93038
2,洄天 第一季,24534187,230292,50,8,20898,9199,44.02%,3.99%,第十期,86815
3,我在无限游戏里封神 第四季,4431264,122241,29,9,7866,5291,67.26%,4.33%,第九集 · 纪念品,86834
4,奇洛李维斯回信,47343651,532610,83,27,49722,25815,51.92%,4.85%,回信广播剧主创FT（上）,85974
5,再世权臣 第三季（下）,254825,16791,8,4,1043,868,83.22%,5.17%,第四集 ·  白鹿祥瑞,93437
6,早春晴朗,34066507,262261,57,24,21047,13806,65.60%,5.26%,完结FT,72230
7,情蛊,37128469,407012,67,48,49414,30492,61.71%,7.49%,完结FT·下,86178
8,娑婆,797519,28397,10,3,2842,454,15.97%,1.60%,第五集,93178
9,沉醉不醒,2752062,49141,30,12,3718,2103,56.56%,4.28%,第十期,86740
10,奇洛李维斯回信 番外篇,748170,52470,3,2,4035,3223,79.88%,6.14%,番外 ·  庆生宴,93420
11,天官赐福 第三季,69967939,258874,67,43,32271,26579,82.36%,10.27%,小剧场·元宵·花灯,82040
12,反差 全一季,7382582,57696,40,19,4281,2627,61.36%,4.55%,完结福利音·应晏哄睡,86684
13,我在无限游戏里封神 第三季,22302693,208019,91,21,28738,21239,73.91%,10.21%,破亿纪念单曲·神明所遗落的,81851
14,顶级掠食者 第二季,7372558,54793,48,17,5131,4131,80.51%,7.54%,OST·11永恒的吻,86789
15,初三的六一儿童节,27016017,59603,287,255,6710,5461,81.39%,9.16%,番外9 跨年夜,85562
16,小蘑菇 第二季,50717508,496561,48,34,51163,47296,92.44%,9.52%,破亿福利·《风过荒野》主役版,39605
17,天官赐福 第二季,71686080,348487,61,43,37687,34285,90.97%,9.84%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
18,天官赐福 第一季,84633808,950004,61,43,68205,36630,53.71%,3.86%,四千万福利·小剧场·从前有一位名师,52400
19,放学等我 第一季,51522822,814835,53,18,62916,36352,57.78%,4.46%,1700W福利·P-特别小剧场「2022.12.2」,64911
20,放学等我 第二季,30288006,435786,42,16,44488,34567,77.70%,7.93%,番外·恋爱纪念日,68837
21,小蘑菇 第一季,49670983,915107,33,17,58172,39034,67.10%,4.27%,白噪音·漫步荒原,29125
22,于是麦麦决定离家出走,5254866,103201,48,30,9033,5510,61.00%,5.34%,花絮09,86179
23,吞海 第一季,50691541,522983,54,17,44678,27992,62.65%,5.35%,原创配乐·破晓,29187
24,交易沦陷,27740361,169176,138,99,16801,9801,58.34%,5.79%,特别福利·星空沦陷,54171
25,藏南晚星,18566789,197065,79,42,19695,14518,73.71%,7.37%,主题曲伴奏·途经,85110
26,太傅他人人喊打 第二季,3231237,41336,32,18,3340,2265,67.81%,5.48%,番外1·《汶阳篇》,86723
27,一颗苹果,12692832,146870,80,34,11982,5187,43.29%,3.53%,启动音试听 · 谢青寄,90818
28,我在无限游戏里封神 第一季,72244728,979107,64,14,76882,43132,56.10%,4.41%,线下漫展VLOG,52347
29,燎原,37418031,388134,43,34,39079,29746,76.12%,7.66%,FT,63688
30,我在无限游戏里封神 第二季（下）,19960881,245506,55,14,27000,23013,85.23%,9.37%,花絮06,76557
31,吞海 第二季,32000588,266789,56,19,25584,23818,93.10%,8.93%,新年祝福,67085
32,魔道祖师 第三季,295667105,1538826,66,56,97560,89955,92.20%,5.85%,传讯符·忘羡,22602
33,将进酒 第一季,105152175,1430701,59,16,78272,53373,68.19%,3.73%,完结FT,25944
34,魔道祖师 第一季,258180208,2259495,39,22,96872,64523,66.61%,2.86%,主创FT<下>,15861
35,偷风不偷月 上季,8270019,129415,41,18,10508,5877,55.93%,4.54%,300w福利·楚识琛（沈若臻）·风月语录,71389
36,降水概率百分百,913376,21018,18,5,1857,711,38.29%,3.38%,˚.⊹ 第八期 ♡₊˚,93005
37,吞海 第三季（上）,22127925,212714,38,16,18129,16976,93.64%,7.98%,OST·04 此地埋名,73221
38,愚蠢的有钱人,844395,21462,60,47,1817,890,48.98%,4.15%,【花絮4】,93113
39,某某 第一季,97464321,1706071,43,28,77345,45099,58.31%,2.64%,伴奏|《梧桐说》,58219
40,我在无限游戏里封神 第二季（上）,19924477,322930,42,11,33305,28842,86.60%,8.93%,花絮06,71605
41,吞海 第三季（下）,19086961,188814,51,18,18573,16821,90.57%,8.91%,破亿纪念•抒情主役版「晓」,76879
42,陈年烈苟 第二季,15796999,123292,57,31,13952,13152,94.27%,10.67%,520限定 ✦ 主役版主题曲 《世界在他心头亮遍了角落》,73251
43,液态欲望 全一季,575885,27047,19,7,1694,749,44.21%,2.77%,花絮03,86692
44,魔道祖师 第二季,170433478,1413998,41,37,88787,81514,91.81%,5.76%,主役FT（下）,19059
45,失忆后死对头成了我男朋友？,4844765,97005,44,20,6370,4287,67.30%,4.42%,花絮·陆云笙,86693
46,我喜欢你的信息素 第一季,99268439,1499895,48,21,72339,45058,62.29%,3.00%,四千万福利,58217
47,陈年烈苟 第一季,28373989,224048,62,21,20765,14220,68.48%,6.35%,《陈年烈苟》第一季 ✦ 陶淮南启动音,61128
48,台风眼 第二季,29043759,153232,50,32,13432,12402,92.33%,8.09%,完结 FT,68664
49,台风眼 第一季,34596565,291488,53,20,20641,13051,63.23%,4.48%,千万福利·富士山在等一片云,52404
50,偷风不偷月 下季,3673311,63628,35,17,4638,4366,94.14%,6.86%,100W福利·白噪音,77591
