排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,虚拟偶像团综丨《去世界尽头》,6326388,54567,B,49,0,MANTA柏闻单曲·《Blue Hour》纯享版,94354
2,天官赐福 第四季,10992045,131340,D2,29,8,新年小剧场《压岁钱》,91718
3,恒星时刻 第一季,970778,63622,D2,6,0,第二集♬Midwest Emo,94789
4,灯花笑 上季,3962275,59914,D2,31,14,第17集,94733
5,尾钩,764672,21912,D2,28,15,第22集 · 1V1绑定,95503
6,干涸地,2263629,95047,D2,4,1,火风L原著|干涸地·第二集,86725
7,你的雪人能活多久 第一季,1626066,59350,D2,29,7,教师节福利彩蛋,93787
8,满城衣冠 全一季,2752065,56881,D2,36,11,第12集 · 绑架,90878
9,宋玉章 第一季,4365198,46294,D2,25,4,宋玉章 · 教师节特别语音,86589
10,是心跳说谎 全一季,99930,6175,D2,6,0,第二集,95516
11,伏特加与曼特宁,2089562,66406,D2,28,5,✦店长来啦！⑥,92988
12,炽火难熄 全一季,437067,21478,D2,18,6,第八集 · 夜店,94917
13,囚于永夜,1573881,33326,D2,200,161,番外 少爷的生日7,94916
14,绰约,2371450,32929,D2,45,12,第十二集·你喜欢我吗,86680
15,触礁,445671,13735,D2,21,9,EP06下⟢| 呛住喉咙的是爱意 |,95034
16,全职高手广播剧第四季 上,31750,3801,D2,2,0,正式预告,96092
17,谁来言说夜晚 上季,1972812,16516,D2,103,65,第82集,94321
18,解瘾,598273,14507,D2,29,7,第九集,94782
19,放学后别来我办公室 全一季,717703,19714,D2,16,3,高二七班的课间十分钟01,86868
20,传闻,101679,7919,D2,8,0,✧主役采访 · 上期,95625
21,嫡谋·第一季,415578,10368,D2,19,10,第十二集· 「寺中初弈」,94462
22,茱丽叶塔 全一季,87885,6203,D2,26,4,「第七集」“点路灯的人”,95106
23,合笼蛊,572301,9896,D2,21,8,第十集·伴侣,94418
24,搭界 第一季,518294,17036,D2,28,14,第十集,94617
25,穿进赛博游戏后干掉BOSS成功上位 第一季,87644,4686,B,7,0,第3集,95678
26,守寡后我重生了 第二季,148361,4361,D2,14,4,花絮02,95212
27,沉浮事,1053710,17568,D2,17,6,浊世篇·第六集,94775
28,错登科  第一季,147399,5432,D2,16,8,花絮-要被萌死了,94787
29,我花开后百花杀 第一季,142437,5021,D2,11,1,第五集 · 落子无悔,94893
30,赤霞珠,377100,13913,D2,30,19,处暑福利音·饮酒小贴士·唐渡,95114
