排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,天官赐福 第四季,7930337,115717,20,1,10250,4277,41.73%,3.70%,第一集·立天地神人破铜炉,91718
2,奇洛李维斯回信,53877801,569919,98,41,53482,28607,53.49%,5.02%,OST A12 · 暗恋基本法,85974
3,你的雪人能活多久 第一季,1057881,51643,18,2,4757,416,8.75%,0.81%,第三集（下）· 我可能不会爱你,93787
4,灯花笑 上季,2665615,49906,20,6,7721,1231,15.94%,2.47%,第10集,94733
5,伏特加与曼特宁,1566808,62107,18,1,2956,555,18.78%,0.89%,第三期,92988
6,情蛊,41223960,443967,68,49,53909,33305,61.78%,7.50%,4000w福利·山大王,86178
7,一屋暗灯 全一季,12572562,203933,53,13,34286,15599,45.50%,7.65%,福利彩蛋·看星星,93038
8,我在无限游戏里封神 第四季,7710150,143394,56,15,11704,9165,78.31%,6.39%,特别放送 · emoji大挑战,86834
9,宋玉章 第一季,3049490,43664,16,0,2420,0,0.00%,0.00%,第三折 ·  啼笑因缘,86589
10,满城衣冠 全一季,2277836,53605,28,7,3169,1227,38.72%,2.29%,小剧场② · 同居,90878
11,囚于永夜,1022578,27319,200,161,2467,707,28.66%,2.59%,温然生日小剧场,94916
12,天官赐福 第三季,72212215,272344,68,44,33799,27943,82.67%,10.26%,小剧场·元宵·花灯,82040
13,炽火难熄 全一季,282805,19226,11,2,1415,521,36.82%,2.71%,第四集 ·“哥哥”,94917
14,天官赐福 第二季,73621239,360878,61,43,38670,35175,90.96%,9.75%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
15,沉浮事,585936,14708,13,2,1561,774,49.58%,5.26%,浊世篇·第四集,94775
16,天官赐福 第一季,87290674,972174,61,43,68933,37112,53.84%,3.82%,四千万福利·小剧场·从前有一位名师,52400
17,我在无限游戏里封神 第三季,24069858,219805,91,21,30256,22554,74.54%,10.26%,破亿纪念单曲·神明所遗落的,81851
18,早春晴朗,37166380,278727,57,24,22562,14785,65.53%,5.30%,完结FT,72230
19,放学等我 第一季,54074386,837761,53,18,62296,36004,57.80%,4.30%,1700W福利·P-特别小剧场「2022.12.2」,64911
20,放学等我 第二季,31777722,450705,42,16,44423,33979,76.49%,7.54%,番外·恋爱纪念日,68837
21,我在无限游戏里封神 第一季,74689143,1001754,64,14,77680,43495,55.99%,4.34%,线下漫展VLOG,52347
22,魔道祖师 第三季,297433354,1546728,66,56,97508,89831,92.13%,5.81%,传讯符·忘羡,22602
23,魔道祖师 第一季,260158282,2282337,39,22,97150,64640,66.54%,2.83%,主创FT<下>,15861
24,台风眼 第二季,29839064,162305,50,32,14204,13143,92.53%,8.10%,完结 FT,68664
25,我在无限游戏里封神 第二季（下）,21180480,256667,55,14,28135,24031,85.41%,9.36%,花絮06,76557
26,藏南晚星,19809222,206841,79,42,20813,15408,74.03%,7.45%,主题曲伴奏·途经,85110
27,触礁,203744,11356,12,3,1153,727,63.05%,6.40%,✰花絮·01✰,95034
28,江医生 第一季,17027890,237164,49,27,23057,14086,61.09%,5.94%,千万播放福利第四弹·小剧场·猫,81852
29,台风眼 第一季,35847850,307122,53,20,22021,13782,62.59%,4.49%,千万福利·富士山在等一片云,52404
30,魔道祖师 第二季,171550915,1421885,41,37,88879,81613,91.82%,5.74%,主役FT（下）,19059
31,降水概率百分百,1893010,28452,36,15,2832,1628,57.49%,5.72%,花絮04,93005
32,我喜欢你的信息素 第一季,100789229,1519115,48,21,72051,44647,61.97%,2.94%,四千万福利,58217
33,绰约,2137235,32240,36,6,1500,564,37.60%,1.75%,律法小贴士·8则,86680
34,我在无限游戏里封神 第二季（上）,20760432,333735,42,11,34279,29679,86.58%,8.89%,花絮06,71605
35,沉醉不醒,4114359,57238,48,29,4870,3064,62.92%,5.35%,番外·墨源·下,86740
36,解瘾,386522,13200,20,3,863,322,37.31%,2.44%,第五集,94782
37,某某 第一季,98680551,1724900,43,28,77215,45106,58.42%,2.61%,伴奏|《梧桐说》,58219
38,一颗苹果,13876386,164293,82,35,13569,5994,44.17%,3.65%,完结FT · 谢谢光临,90818
39,再世权臣 第三季（下）,899745,25712,21,12,2338,2081,89.01%,8.09%,第十二集 ·  雨后风荷,93437
40,嫁给一个死太监 第一季,3901513,78306,34,12,4676,2608,55.77%,3.33%,新春福利音,66726
41,搭界 第一季,407174,15852,20,7,1595,831,52.10%,5.24%,花絮03,94617
42,吞海 第一季,52125484,535891,54,17,45658,28733,62.93%,5.36%,原创配乐·破晓,29187
43,江医生 第二季,8437585,122459,44,36,13703,12748,93.03%,10.41%,主役版·绝对,85256
44,重生之将门毒后 第二季,42412344,385340,83,26,50716,34147,67.33%,8.86%,破亿福利·白噪音·花灯,52293
45,洄天 第一季,28214860,246873,65,14,23436,11324,48.32%,4.59%,完结语音 · 高能量S级监护人的一天,86815
46,我喜欢你的信息素 第二季,76776525,849914,43,26,58997,49801,84.41%,5.86%,国风版·星衍,58218
47,小蘑菇 第二季,51877107,505266,51,34,52039,47816,91.88%,9.46%,破亿电话·双人,39605
48,伪装学渣 第一季,103476805,1951796,30,17,80135,47000,58.65%,2.41%,千万福利·“叫妈妈”,58262
49,将进酒 第一季,106516096,1446257,59,16,78377,53347,68.06%,3.69%,完结FT,25944
50,默读 第五季,39278155,467029,47,34,46559,40153,86.24%,8.60%,电话,59100
