排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,天官赐福 第四季,10379238,129315,D2,28,7,新年小剧场《压岁钱》,91718
2,你的雪人能活多久 第一季,1546430,58181,D2,28,7,第六集 · 易感期恶性综合征,93787
3,灯花笑 上季,3778137,58398,D2,30,13,第16集,94733
4,恒星时刻 第一季,825659,62146,D2,5,0,小剧场 · 秦内心戏多得一❤隅,94789
5,传闻,66169,6492,D2,6,0,✧第一集,95625
6,虚拟偶像团综丨《去世界尽头》,6062862,53887,B,47,0,嘉宾观察室江恪篇·滑草DIY,94354
7,伏特加与曼特宁,2041768,66046,D2,27,5,第六期,92988
8,尾钩,640984,20868,D2,24,11,第18集 · 鸟入樊笼,95503
9,干涸地,2225542,94721,D2,3,0,火风L原著|干涸地·第一集,86725
10,满城衣冠 全一季,2674680,56422,D2,34,10,第11集 · 离巢,90878
11,放学后别来我办公室 全一季,694393,19519,D2,15,3,第五课「人间烟火」,86868
12,宋玉章 第一季,4174873,45911,D2,23,3,第六折 ·  瞒天过海,86589
13,守寡后我重生了 第二季,136626,4182,D2,14,4,花絮02,95212
14,全职高手广播剧第四季 上,6715,1810,D2,1,0,先行视频,96092
15,囚于永夜,1510614,32702,D2,200,161,番外 少爷的生日7,94916
16,谁来言说夜晚 上季,1884202,16373,D2,99,61,第78集,94321
17,清白之年,561785,15155,D2,23,3,花絮02,94838
18,是心跳说谎 全一季,81398,5719,D2,5,0,第一集,95516
19,嫡谋·第一季,405289,10220,D2,18,9,第十一集·「春深局变」,94462
20,茱丽叶塔 全一季,81350,6062,D2,25,3,「主题曲伴奏」浪漫曲,95106
21,绰约,2333479,32847,D2,43,10,律法小贴士·11则,86680
22,炽火难熄 全一季,411226,21219,D2,17,5,第七集 · 喜不喜欢？,94917
23,触礁,402797,13362,D2,19,7,番外1⟢「 帆船 」,95034
24,沉浮事,990150,17295,D2,17,6,浊世篇·第六集,94775
25,搭界 第一季,501005,16870,D2,27,13,花絮 04,94617
26,赤霞珠,362296,13669,D2,30,19,处暑福利音·饮酒小贴士·唐渡,95114
27,穿进赛博游戏后干掉BOSS成功上位 第一季,73996,4438,B,6,0,第2集,95678
28,错登科  第一季,140859,5329,D2,15,7,花絮-要被萌死了,94787
29,大王万万不可！ 第一季,470867,15708,D2,26,9,第十二集·红尘诸事,94259
30,解瘾,566776,14288,D2,27,6,第八集,94782
