排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,48764600,411405,D2,57,24,27059,17585,64.99%,4.27%,完结FT,72230
2,天官赐福 第四季,11453129,132856,D2,30,9,12793,7370,57.61%,5.55%,新年小剧场《压岁钱》,91718
3,你的雪人能活多久 第一季,1701188,60186,D2,30,8,5797,1327,22.89%,2.20%,第七集 · 坏兔子大战狗狗博士,93787
4,恒星时刻 第一季,1051022,64404,D2,7,0,10025,0,0.00%,0.00%,小剧场 · 猎手,94789
5,奇洛李维斯回信,55661343,578601,D2,98,41,54178,29205,53.91%,5.05%,OST A12 · 暗恋基本法,85974
6,尾钩,862211,22719,D2,31,17,2452,1502,61.26%,6.61%,第24集 · 泊岸,95503
7,情蛊,42506404,453906,D2,68,49,54983,34121,62.06%,7.52%,4000w福利·山大王,86178
8,灯花笑 上季,4148795,61384,D2,33,15,8857,2285,25.80%,3.72%,主题曲叁·万春融雪,94733
9,伏特加与曼特宁,2147427,66811,D2,31,8,3789,1591,41.99%,2.38%,第七期,92988
10,天官赐福 第三季,73558139,277726,D2,68,44,34512,28622,82.93%,10.31%,小剧场·元宵·花灯,82040
11,天官赐福 第一季,88825895,980612,D2,61,43,69061,37332,54.06%,3.81%,四千万福利·小剧场·从前有一位名师,52400
12,天官赐福 第二季,74971219,366090,D2,61,43,39159,35656,91.05%,9.74%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
13,宋玉章 第一季,4498577,46599,D2,27,4,3163,1203,38.03%,2.58%,九月月历语音 · 静玉,86589
14,我在无限游戏里封神 第四季,8210045,146839,D2,56,15,12158,9614,79.08%,6.55%,特别放送 · emoji大挑战,86834
15,满城衣冠 全一季,2801140,57308,D2,36,11,3615,1655,45.78%,2.89%,第12集 · 绑架,90878
16,一屋暗灯 全一季,13348875,209656,D2,54,14,34981,16277,46.53%,7.76%,主役版主题曲▪未说的,93038
17,全职高手广播剧第四季 上,43330,4667,D2,2,0,218,0,0.00%,0.00%,正式预告,96092
18,藏南晚星,20384351,210551,D2,81,44,21306,15833,74.31%,7.52%,✧2000万福利·番外·美梦,85110
19,放学等我 第一季,54953091,844791,D2,53,18,61950,35837,57.85%,4.24%,1700W福利·P-特别小剧场「2022.12.2」,64911
20,囚于永夜,1620314,33819,D2,200,161,3446,1116,32.39%,3.30%,番外 少爷的生日7,94916
21,放学等我 第二季,32273882,455106,D2,42,16,44370,33813,76.21%,7.43%,番外·恋爱纪念日,68837
22,魔道祖师 第三季,298080175,1549167,D2,66,56,97581,89886,92.11%,5.80%,传讯符·忘羡,22602
23,魔道祖师 第一季,260810959,2288383,D2,39,22,97118,64623,66.54%,2.82%,主创FT<下>,15861
24,沉浮事,1108399,17928,D2,18,7,1899,1133,59.66%,6.32%,浊世篇·第七集,94775
25,江医生 第一季,17374069,239685,D2,49,27,23309,14289,61.30%,5.96%,千万播放福利第四弹·小剧场·猫,81852
26,我在无限游戏里封神 第三季,24510140,222305,D2,91,21,30572,22819,74.64%,10.26%,破亿纪念单曲·神明所遗落的,81851
27,魔道祖师 第二季,171949434,1424359,D2,41,37,88904,81647,91.84%,5.73%,主役FT（下）,19059
28,台风眼 第二季,30129955,164869,D2,50,32,14447,13378,92.60%,8.11%,完结 FT,68664
29,台风眼 第一季,36221312,311736,D2,53,20,22397,13993,62.48%,4.49%,千万福利·富士山在等一片云,52404
30,江医生 第二季,8672292,124094,D2,44,36,13939,12978,93.11%,10.46%,主役版·绝对,85256
31,某某 第一季,99076326,1729215,D2,43,28,76993,45080,58.55%,2.61%,伴奏|《梧桐说》,58219
32,将进酒 第一季,106998307,1450338,D2,59,16,78406,53373,68.07%,3.68%,完结FT,25944
33,我喜欢你的信息素 第一季,101243364,1523380,D2,48,21,72124,44694,61.97%,2.93%,四千万福利,58217
34,吞海 第一季,52591501,539387,D2,54,17,45919,28947,63.04%,5.37%,原创配乐·破晓,29187
35,炽火难熄 全一季,450871,21720,D2,18,6,1669,792,47.45%,3.65%,第八集 · 夜店,94917
36,干涸地,2281879,95214,D2,4,1,1342,54,4.02%,0.06%,火风L原著|干涸地·第二集,86725
37,你的距离,91375784,941241,D2,70,27,78845,56576,71.76%,6.01%,完结FT·主创版,31552
38,我在无限游戏里封神 第一季,75279002,1006485,D2,64,14,77853,43618,56.03%,4.33%,线下漫展VLOG,52347
39,娑婆,2062132,39282,D2,32,21,3899,1284,32.93%,3.27%,第十八集,93178
40,传闻,124520,8453,D2,9,0,396,0,0.00%,0.00%,✧第二集,95625
41,一颗苹果,14148643,167580,C,82,35,13913,6178,44.40%,3.69%,完结FT · 谢谢光临,90818
42,我在无限游戏里封神 第二季（下）,21480342,259040,D2,55,14,28411,24285,85.48%,9.38%,花絮06,76557
43,我喜欢你的信息素 第二季,77092415,852310,D2,43,26,59014,49763,84.32%,5.84%,国风版·星衍,58218
44,重生之将门毒后 第二季,42820293,387650,D2,83,26,50954,34343,67.40%,8.86%,破亿福利·白噪音·花灯,52293
45,清白之年,597265,15411,D2,24,4,1430,392,27.41%,2.54%,第九集·Life in a Love,94838
46,降水概率百分百,2212145,31069,D2,45,18,3115,1837,58.97%,5.91%,完结彩蛋 ♡ 晴天娃娃,93005
47,某某 第二季,66906759,835801,D2,67,39,68663,51386,74.84%,6.15%,破亿纪念·《正年少》,58220
48,吞海 第二季,33230292,276586,D2,56,19,26537,24739,93.22%,8.94%,新年祝福,67085
49,再世权臣 第一季,22433469,264120,D2,79,17,24192,11420,47.21%,4.32%,花絮07,71321
50,将进酒 第二季,73208642,816677,D2,45,22,67573,61391,90.85%,7.52%,第二季完结FT,30383
