排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,情蛊,41711260,447969,68,49,4000w福利·山大王,86178
2,早春晴朗,38858059,300130,57,24,完结FT,72230
3,奇洛李维斯回信,54514910,573118,98,41,OST A12 · 暗恋基本法,85974
4,二哈和他的白猫师尊,167273732,3196895,84,0,概念曲-拜长久（+童声版）,20741
5,放学等我 第一季,54406670,840654,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
6,囚于永夜,5372306,321771,1,0,织音发布会纯享PV · 概念预告,86822
7,灯花笑 上季,3155683,53732,26,9,三百万福利·中元节语音,94733
8,天官赐福 第四季,8829945,122425,25,4,新年小剧场《压岁钱》,91718
9,一屋暗灯 全一季,12925367,206587,54,14,主役版主题曲▪未说的,93038
10,天官赐福 第一季,87689877,975166,61,43,四千万福利·小剧场·从前有一位名师,52400
11,你的雪人能活多久 第一季,1286443,54693,24,4,小剧场02 · 喜糖,93787
12,伪装学渣 第一季,103617705,1953701,30,17,千万福利·“叫妈妈”,58262
13,虚拟偶像团综丨《去世界尽头》,5522067,52660,44,0,柏闻生日小剧场·亲爱的老朋友,94354
14,魔道祖师 第一季,260387667,2284739,39,22,主创FT<下>,15861
15,我在无限游戏里封神 第一季,74918048,1003628,64,14,线下漫展VLOG,52347
16,宋玉章 第一季,3553740,44886,20,2,第五折 · 夕饮冰,86589
17,伏特加与曼特宁,1786646,64075,23,2,✦店长来啦！④,92988
18,我喜欢你的信息素 第一季,100963725,1520853,48,21,四千万福利,58217
19,台风眼 第一季,35983116,308906,53,20,千万福利·富士山在等一片云,52404
20,将进酒 第一季,106672652,1447698,59,16,完结FT,25944
21,我在无限游戏里封神 第四季,7897722,144680,56,15,特别放送 · emoji大挑战,86834
22,天官赐福 第三季,72555524,274303,68,44,小剧场·元宵·花灯,82040
23,放学等我 第二季,31965251,452534,42,16,番外·恋爱纪念日,68837
24,重生之将门毒后 第一季,95050197,842263,82,27,主役reaction·片段03,43922
25,囚于永夜,1278459,30180,200,161,番外 少爷的生日7,94916
26,某某 第一季,98828832,1726822,43,28,伴奏|《梧桐说》,58219
27,洄天 第一季,28341470,247639,65,14,完结语音 · 高能量S级监护人的一天,86815
28,一颗苹果,13988279,165651,82,35,完结FT · 谢谢光临,90818
29,恒星时刻 第一季,358955,50390,1,0,歌曲《狮心》（Live）,94789
30,娘娘腔,38615836,724760,31,0,主役听剧Reaction,46640
31,全球高考 第一季（全新版）,22027199,377355,37,11,— 「全季完结FT」—,60289
32,天官赐福 第二季,73923436,362797,61,43,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
33,藏南晚星,20010534,208249,80,43,七夕小剧场 · 小许老师买菜记,85110
34,难哄,147428462,1581231,76,48,破亿福利·纪念FT,38074
35,唇枪 上季,355860,21323,1,0,织音发布会纯享PV,94802
36,迪奥先生 第一季,79770772,1079288,30,15,王氏破产 铃声,23329
37,再世权臣 第一季,22188339,262126,79,17,花絮07,71321
38,二哈和他的白猫师尊,16628996,107066,669,603,完结FT,81979
39,江医生 第一季,17150297,238111,49,27,千万播放福利第四弹·小剧场·猫,81852
40,虚拟偶像团综丨《NEW DAYS（一起又出发）》,31833392,115447,95,0,许向安&许向宁生日小剧场·那片山那片海,84529
41,小蘑菇 第一季,50992866,931935,33,17,白噪音·漫步荒原,29125
42,见春天,13450600,234586,54,8,魏清越书信·02,80533
43,满城衣冠 全一季,2454681,54668,31,8,花絮⑤ · 说着说着又唱起来了,90878
44,FOG[电竞] 第一季,71406750,768991,39,14,2000W福利·whisper伴奏抒情版,29122
45,偷偷藏不住,203236231,2418926,89,54,2亿福利·双人电话语音,34632
46,魔道祖师 第三季,297658733,1547673,66,56,传讯符·忘羡,22602
47,虚拟偶像团综丨《一起再出发》,93427837,254996,179,0,中秋特辑·清道夫,58225
48,奇洛李维斯回信 番外篇,1197572,74276,3,2,番外 ·  庆生宴,93420
49,判官 第一季,38854801,656755,45,21,听剧reaction,37773
50,虚拟偶像团综丨《LASER出道日》,84079142,682625,89,0,专业小课堂：电子竞技运动与管理专业,28989
51,针锋对决,38233973,940176,19,0,完结FT  互动问答,19249
52,我在无限游戏里封神 第三季,24236789,220789,91,21,破亿纪念单曲·神明所遗落的,81851
53,这题超纲了 第一季,21192064,500288,44,17,【回放】《这题超纲了》M星直播,41369
54,不想了,9890164,115133,93,66,500W福利·主役版主题曲《同谋》,70445
55,交易沦陷,30038357,178330,138,99,特别福利·星空沦陷,54171
56,干涸地,2034072,93179,1,0,概念预告,86725
57,重生之将门毒后 第二季,42564565,386206,83,26,破亿福利·白噪音·花灯,52293
58,尾钩,262906,14613,12,1,第08集 · 破约,95503
