排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,洄天 第一季,16487961,191146,30,0,13545,0,0.00%,第二期,86815
2,我在无限游戏里封神 第四季,2182114,99759,11,1,4702,1864,39.64%,第一集 · 羔羊,86834
3,奇洛李维斯回信,41384151,502025,79,23,46453,23501,50.59%,花絮09 ·小花絮又又又又又来了,85974
4,情蛊,33435353,377091,61,42,45426,27915,61.45%,番外·此为情蛊,86178
5,于是麦麦决定离家出走,4147891,93717,29,17,7457,4384,58.79%,第十二期,86179
6,逐玉 第一季,4089871,70154,43,14,2185,969,44.35%,原创配乐 · 凶夜,89245
7,顶级掠食者 第二季,5337729,49462,24,9,4008,2993,74.68%,第九集,86789
8,一颗苹果,11184616,133517,76,32,10370,4162,40.14%,1000W微博语音 · 谢青寄,90818
9,反差 全一季,6165138,49108,27,9,3109,1539,49.50%,第九集·孤注的告白,86684
10,天官赐福 第三季,67326621,250251,67,43,31361,25770,82.17%,小剧场·元宵·花灯,82040
11,沉醉不醒,1383175,38617,12,0,1811,0,0.00%,ღ100万福利·早安语音·丁竞元,86740
12,初三的六一儿童节,22654964,48488,232,200,5346,4163,77.87%,番外1-1 小马的故事,85562
13,早春晴朗,30798049,239612,57,24,19227,12613,65.60%,完结FT,72230
14,美人印,424675,26326,9,2,1662,242,14.56%,小剧场1-病娇弟弟,92611
15,再世权臣 第三季（上）,1963700,44168,30,7,2833,1975,69.71%,第七集 ·  相思何味,86827
16,惹祸精,653262,25340,31,10,1221,568,46.52%,第十二集,90987
17,天官赐福 第二季,69634256,340542,61,43,36981,33630,90.94%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
18,偷风不偷月 上季,7683539,123091,41,18,10106,5568,55.10%,300w福利·楚识琛（沈若臻）·风月语录,71389
19,欢迎进入梦魇直播间 第二季,4901567,39831,21,9,2952,2045,69.28%,第九集 ♱ 三个问题,90985
20,太傅他人人喊打 第二季,2003163,35892,18,8,2497,1344,53.82%,第八集,86723
21,天官赐福 第一季,82279907,936264,61,43,67553,36242,53.65%,四千万福利·小剧场·从前有一位名师,52400
22,我在无限游戏里封神 第三季,20946429,199707,91,21,27760,20374,73.39%,破亿纪念单曲·神明所遗落的,81851
23,藏南晚星,17494742,189191,79,42,18656,13632,73.07%,主题曲伴奏·途经,85110
24,放学等我 第一季,49651568,795385,53,18,62401,36337,58.23%,1700W福利·P-特别小剧场「2022.12.2」,64911
25,逐玉 第二季,569483,11826,7,0,362,0,0.00%,第三集 · 比试,92520
26,放学等我 第二季,29179380,423010,42,16,44075,34689,78.70%,番外·恋爱纪念日,68837
27,偷风不偷月 下季,3295143,58966,35,17,4283,4012,93.67%,100W福利·白噪音,77591
28,重生之将门毒后 第二季,40193948,372687,83,26,49410,33128,67.05%,破亿福利·白噪音·花灯,52293
29,吞海 第一季,49476777,512704,54,17,43872,27310,62.25%,原创配乐·破晓,29187
30,小蘑菇 第二季,49162457,489383,46,33,50218,46727,93.05%,全剧五千万福利,39605
31,将进酒 第一季,104142847,1420279,59,16,78147,53269,68.17%,完结FT,25944
32,我在无限游戏里封神 第一季,70538510,964289,64,14,76280,42767,56.07%,线下漫展VLOG,52347
33,魔道祖师 第三季,294320843,1533318,66,56,97609,90039,92.24%,传讯符·忘羡,22602
34,魔道祖师 第一季,256826299,2246246,39,22,96753,64526,66.69%,主创FT<下>,15861
35,小蘑菇 第一季,48537942,903856,33,17,57909,38879,67.14%,白噪音·漫步荒原,29125
36,吞海 第二季,31205909,260313,56,19,24905,23168,93.03%,新年祝福,67085
37,重生之将门毒后 第一季,90770884,817077,82,27,88009,42107,47.84%,主役reaction·片段03,43922
38,我在无限游戏里封神 第二季（下）,19063388,237818,55,14,26274,22347,85.05%,花絮06,76557
39,魔道祖师 第二季,169618319,1408557,41,37,88708,81468,91.84%,主役FT（下）,19059
40,将进酒 第二季,71394619,806086,45,22,67013,60916,90.90%,第二季完结FT,30383
41,某某 第一季,96596376,1693430,43,28,77250,45022,58.28%,伴奏|《梧桐说》,58219
42,吞海 第三季（上）,21554386,206701,38,16,17547,16413,93.54%,OST·04 此地埋名,73221
43,我喜欢你的信息素 第一季,98234352,1487922,48,21,72389,45228,62.48%,四千万福利,58217
44,你的距离,88856895,926254,70,27,78150,56098,71.78%,完结FT·主创版,31552
45,失忆后死对头成了我男朋友？,4372297,92073,44,20,5859,3888,66.36%,花絮·陆云笙,86693
46,吞海 第三季（下）,18458080,182640,51,18,17843,16112,90.30%,破亿纪念•抒情主役版「晓」,76879
47,欢迎进入梦魇直播间 第一季,22570046,185917,62,20,18779,8145,43.37%,完结FT,75856
48,我在无限游戏里封神 第二季（上）,19321694,315198,42,11,32677,28276,86.53%,花絮06,71605
49,纸飞机,9484405,179423,47,25,12642,7093,56.11%,小剧场 占有欲 ,53304
50,再世权臣 第一季,20333612,248574,79,17,22868,10698,46.78%,花絮07,71321
