排名,剧名,播放量,订阅数,总集数,付费集数,宣发策略,最新更新,剧集ID
1,早春晴朗,47621061,402684,57,24,D2,完结FT,72230
2,情蛊,42327550,452343,68,49,D2,4000w福利·山大王,86178
3,放学等我 第一季,54824596,843549,53,18,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
4,奇洛李维斯回信,55427753,577352,98,41,D2,OST A12 · 暗恋基本法,85974
5,二哈和他的白猫师尊,167870216,3200666,84,0,B,概念曲-拜长久（+童声版）,20741
6,天官赐福 第四季,10815783,130765,29,8,D2,新年小剧场《压岁钱》,91718
7,灯花笑 上季,3899287,59507,30,13,D2,第16集,94733
8,天官赐福 第一季,88534001,979311,61,43,D2,四千万福利·小剧场·从前有一位名师,52400
9,恒星时刻 第一季,916428,62996,6,0,D2,第二集♬Midwest Emo,94789
10,囚于永夜,5430260,323366,1,0,B,织音发布会纯享PV · 概念预告,86822
11,小蘑菇 第一季,51216184,933539,33,17,D2,白噪音·漫步荒原,29125
12,伪装学渣 第一季,103775615,1955510,30,17,D2,千万福利·“叫妈妈”,58262
13,难哄,147791854,1584644,76,48,D2,破亿福利·纪念FT,38074
14,干涸地,2252685,94972,4,1,D2,火风L原著|干涸地·第二集,86725
15,你的雪人能活多久 第一季,1608258,59100,29,7,D2,教师节福利彩蛋,93787
16,虚拟偶像团综丨《去世界尽头》,6163804,54285,48,0,B,第九期·另一片海,94354
17,魔道祖师 第一季,260722620,2287597,39,22,D2,主创FT<下>,15861
18,不二之臣,41532952,860353,16,0,B,大结局·下,25580
19,一屋暗灯 全一季,13264136,208949,54,14,D2,主役版主题曲▪未说的,93038
20,红白囍 第一季,7672476,116561,46,13,D2,花絮03,81597
21,台风眼 第一季,36165665,311006,53,20,D2,千万福利·富士山在等一片云,52404
22,我在无限游戏里封神 第一季,75201378,1005770,64,14,D2,线下漫展VLOG,52347
23,将进酒 第一季,106922132,1449724,59,16,D2,完结FT,25944
24,重生之将门毒后 第一季,95451447,844725,82,27,D2,主役reaction·片段03,43922
25,天官赐福 第三季,73263282,276939,68,44,D2,小剧场·元宵·花灯,82040
26,我喜欢你的信息素 第一季,101180850,1522813,48,21,D2,四千万福利,58217
27,某某 第一季,99019812,1728617,43,28,D2,伴奏|《梧桐说》,58219
28,偷偷藏不住,203504629,2421082,89,54,D2,2亿福利·双人电话语音,34632
29,伏特加与曼特宁,2079475,66299,28,5,D2,✦店长来啦！⑥,92988
30,放学等我 第二季,32201050,454357,42,16,D2,番外·恋爱纪念日,68837
31,尾钩,733170,21571,27,14,D2,第21集 · 麦芽香,95503
32,藏南晚星,20311923,210022,81,44,D2,✧2000万福利·番外·美梦,85110
33,我在无限游戏里封神 第四季,8145129,146346,56,15,D2,特别放送 · emoji大挑战,86834
34,见春天,13559501,236151,54,8,D2,魏清越书信·02,80533
35,宋玉章 第一季,4319874,46200,25,4,D2,宋玉章 · 教师节特别语音,86589
36,洄天 第一季,28519438,248506,65,14,D2,完结语音 · 高能量S级监护人的一天,86815
37,不想了,9979271,115593,93,66,D2,500W福利·主役版主题曲《同谋》,70445
38,天官赐福 第二季,74691126,365334,61,43,D2,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
39,囚于永夜,1554279,33085,200,161,D2,番外 少爷的生日7,94916
40,娘娘腔,38820881,726750,31,0,B,主役听剧Reaction,46640
41,一颗苹果,14113742,167108,82,35,C,完结FT · 谢谢光临,90818
42,如果月亮不抱你,84157019,1195847,24,0,B,全网2000万福利突击采访,25485
43,全球高考 第一季（全新版）,22185462,378954,37,11,D2,— 「全季完结FT」—,60289
44,再世权臣 第一季,22355845,263136,79,17,D2,花絮07,71321
45,魔道祖师 第三季,297995678,1548841,66,56,D2,传讯符·忘羡,22602
46,江医生 第一季,17329842,239381,49,27,D2,千万播放福利第四弹·小剧场·猫,81852
47,二哈和他的白猫师尊,16883471,108032,669,603,D2,完结FT,81979
