排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,虚拟偶像团综丨《去世界尽头》,6544965,55096,B,50,0,LASER&MANTA纯享版·《奔赴》,94354
2,灯花笑 上季,4101417,61037,D2,32,15,第18集,94733
3,天官赐福 第四季,11306806,132405,D2,29,8,新年小剧场《压岁钱》,91718
4,你的雪人能活多久 第一季,1673925,59838,D2,30,8,第七集 · 坏兔子大战狗狗博士,93787
5,尾钩,825208,22348,D2,30,16,第23集 · Key,95503
6,伏特加与曼特宁,2129731,66710,D2,31,8,第七期,92988
7,恒星时刻 第一季,1027810,64234,D2,6,0,第二集♬Midwest Emo,94789
8,满城衣冠 全一季,2784306,57169,D2,36,11,第12集 · 绑架,90878
9,宋玉章 第一季,4444646,46508,D2,25,4,宋玉章 · 教师节特别语音,86589
10,干涸地,2276669,95157,D2,4,1,火风L原著|干涸地·第二集,86725
11,守寡后我重生了 第二季,157695,4502,D2,15,5,第六集,95212
12,放学后别来我办公室 全一季,730481,19816,D2,17,4,第六课「初施妙计」,86868
13,沉浮事,1088671,17767,D2,18,7,浊世篇·第七集,94775
14,尚公主 第一季,3553,507,D2,1,0,预告壹·谁解签中意,95847
15,是心跳说谎 全一季,116232,6663,D2,6,0,第二集,95516
16,全职高手广播剧第四季 上,38881,4331,D2,2,0,正式预告,96092
17,绰约,2391423,32989,D2,46,12,律法小贴士·12则,86680
18,囚于永夜,1605660,33677,D2,200,161,番外 少爷的生日7,94916
19,炽火难熄 全一季,447000,21647,D2,18,6,第八集 · 夜店,94917
20,清白之年,589032,15358,D2,24,4,第九集·Life in a Love,94838
21,搭界 第一季,526160,17096,D2,29,15,EP10 小剧场,94617
22,嫡谋·第一季,421564,10471,D2,19,10,第十二集· 「寺中初弈」,94462
23,触礁,466172,13840,D2,21,9,EP06下⟢| 呛住喉咙的是爱意 |,95034
24,传闻,109562,8148,D2,8,0,✧主役采访 · 上期,95625
25,解瘾,616060,14639,D2,29,7,第九集,94782
26,穿进赛博游戏后干掉BOSS成功上位 第一季,91596,4750,B,7,0,第3集,95678
27,错登科  第一季,151099,5491,D2,16,8,第九集·不归宿,94787
28,愚蠢的有钱人 全一季,201388,7915,D2,27,8,第八集,94873
29,赤霞珠,383176,14003,D2,30,19,处暑福利音·饮酒小贴士·唐渡,95114
30,我花开后百花杀 第一季,144115,5064,D2,11,1,第五集 · 落子无悔,94893
