排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,洄天 第一季,21728071,218575,39,4,18948,7166,37.82%,第六期,86815
2,一屋暗灯 全一季,3537859,109998,18,1,18328,3882,21.18%,起床语音·宋谨,93038
3,我在无限游戏里封神 第四季,3454067,114719,21,5,6604,3965,60.04%,第五集 · 纸鬼桥,86834
4,奇洛李维斯回信,45216560,520786,79,23,48437,24837,51.28%,花絮09 ·小花絮又又又又又来了,85974
5,情蛊,35709457,395671,67,48,48036,29548,61.51%,完结FT·下,86178
6,早春晴朗,32605137,252273,57,24,20372,13338,65.47%,完结FT,72230
7,沉醉不醒,2144263,43923,23,6,3041,1434,47.16%,ღ200万福利·晚安语音·苏墨,86740
8,初三的六一儿童节,25552180,56274,266,234,6200,4987,80.44%,番外3 兄弟（9）,85562
9,一颗苹果,12289785,142576,80,34,11516,4897,42.52%,启动音试听 · 谢青寄,90818
10,娑婆,362276,21217,5,0,2018,0,0.00%,主题曲·莫拜观音,93178
11,我在无限游戏里封神 第三季,21747748,204794,91,21,28343,20896,73.73%,破亿纪念单曲·神明所遗落的,81851
12,愚蠢的有钱人,517937,17664,35,22,1456,603,41.41%,【花絮3】,93113
13,初三的六一儿童节 第二季（上）,419467,8602,5,2,677,384,56.72%,第三集 · 明德小事,93154
14,于是麦麦决定离家出走,4814843,99444,35,21,8475,5150,60.77%,花絮04,86179
15,天官赐福 第三季,69165177,255258,67,43,31890,26257,82.34%,小剧场·元宵·花灯,82040
16,反差 全一季,6891313,54203,33,15,3697,2074,56.10%,第十三集·向死之心,86684
17,放学等我 第一季,50765434,807415,53,18,62633,36319,57.99%,1700W福利·P-特别小剧场「2022.12.2」,64911
18,再世权臣 第三季（下）,55601,7729,2,0,285,0,0.00%,日历语音 · 梦中人,93437
19,降水概率百分百,655403,18450,13,1,1582,429,27.12%,花絮01,93005
20,天官赐福 第二季,71026911,345231,61,43,37372,33990,90.95%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
21,放学等我 第二季,29829338,430885,42,16,44234,34521,78.04%,番外·恋爱纪念日,68837
22,藏南晚星,18116325,194041,79,42,19306,14186,73.48%,主题曲伴奏·途经,85110
23,天官赐福 第一季,83867524,944257,61,43,67967,36471,53.66%,四千万福利·小剧场·从前有一位名师,52400
24,顶级掠食者 第二季,6611261,52875,32,13,4602,3578,77.75%,600W播放纪念,86789
25,我在无限游戏里封神 第一季,71558233,973262,64,14,76667,42975,56.05%,线下漫展VLOG,52347
26,惹祸精,989646,30043,38,14,1654,905,54.72%,花絮4.0,90987
27,恩客,1186676,17236,50,37,1385,910,65.70%,42·隐痛,91870
28,太傅他人人喊打 第二季,2757100,39324,25,13,2942,1842,62.61%,第十二集,86723
29,吞海 第一季,50192355,518640,54,17,44338,27676,62.42%,原创配乐·破晓,29187
30,再世权臣 第三季（上）,2525978,47306,34,10,3454,2657,76.93%,第十集 ·  再度启程,86827
31,魔道祖师 第三季,295104256,1536725,66,56,97614,90020,92.22%,传讯符·忘羡,22602
32,我在无限游戏里封神 第二季（下）,19589901,242455,55,14,26712,22741,85.13%,花絮06,76557
33,欢迎进入梦魇直播间 第二季,5960875,43997,28,11,3434,2476,72.10%,《今日没说法》⑤ ·「不平安疗养院」,90985
34,偷风不偷月 上季,8034384,126940,41,18,10355,5767,55.69%,300w福利·楚识琛（沈若臻）·风月语录,71389
35,交易沦陷,26816071,164795,138,99,16406,9554,58.23%,特别福利·星空沦陷,54171
36,魔道祖师 第一季,257610013,2254094,39,22,96855,64539,66.63%,主创FT<下>,15861
37,吞海 第二季,31667160,264164,56,19,25281,23529,93.07%,新年祝福,67085
38,你的距离,89490851,930183,70,27,78307,56200,71.77%,完结FT·主创版,31552
39,我在无限游戏里封神 第二季（上）,19678237,319971,42,11,33051,28622,86.60%,花絮06,71605
40,奇洛李维斯回信 番外篇,347958,31181,3,2,2706,2228,82.34%,番外 ·  庆生宴,93420
41,吞海 第三季（上）,21882441,210307,38,16,17880,16736,93.60%,OST·04 此地埋名,73221
42,小蘑菇 第二季,50153541,493127,46,33,50433,46929,93.05%,全剧五千万福利,39605
43,某某 第一季,97098570,1700754,43,28,77240,45102,58.39%,伴奏|《梧桐说》,58219
44,将进酒 第一季,104721653,1426305,59,16,78179,53306,68.18%,完结FT,25944
45,初三的六一儿童节 第一季,11210545,56633,53,16,3266,1581,48.41%,新年♥快乐,85497
46,魔道祖师 第二季,170092442,1411896,41,37,88813,81549,91.82%,主役FT（下）,19059
47,偷风不偷月 下季,3514310,61818,35,17,4503,4229,93.92%,100W福利·白噪音,77591
48,台风眼 第二季,28802910,151051,50,32,13259,12245,92.35%,完结 FT,68664
49,逐玉 第二季,745119,14271,16,5,458,111,24.24%,第八集 · 赐婚,92520
50,台风眼 第一季,34216669,287617,53,20,20310,12853,63.28%,千万福利·富士山在等一片云,52404
