排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,天官赐福 第四季,8636420,121174,24,3,11089,5355,48.29%,4.42%,夏日提示音·处暑·花城,91718
2,奇洛李维斯回信,54372777,572448,98,41,53729,28799,53.60%,5.03%,OST A12 · 暗恋基本法,85974
3,宋玉章 第一季,3448508,44677,19,1,2773,725,26.14%,1.62%,主题曲 · 玉堂春· 伴奏,86589
4,你的雪人能活多久 第一季,1239323,54078,23,3,5124,671,13.10%,1.24%,傅让夷生日快乐,93787
5,灯花笑 上季,3058141,52937,24,8,8063,1520,18.85%,2.87%,主题曲贰·隔雾看花,94733
6,伏特加与曼特宁,1736863,63635,22,2,3329,1031,30.97%,1.62%,第四期,92988
7,情蛊,41603902,447080,68,49,54372,33657,61.90%,7.53%,4000w福利·山大王,86178
8,我在无限游戏里封神 第四季,7856603,144418,56,15,11859,9324,78.62%,6.46%,特别放送 · emoji大挑战,86834
9,早春晴朗,37872725,284980,57,24,22930,15000,65.42%,5.26%,完结FT,72230
10,一屋暗灯 全一季,12854133,206016,54,14,34527,15850,45.91%,7.69%,主役版主题曲▪未说的,93038
11,满城衣冠 全一季,2418390,54438,30,8,3275,1325,40.46%,2.43%,第9集 · 正义,90878
12,天官赐福 第三季,72475836,273861,68,44,34018,28149,82.75%,10.28%,小剧场·元宵·花灯,82040
13,天官赐福 第二季,73848386,362352,61,43,38815,35308,90.96%,9.74%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
14,天官赐福 第一季,87585222,974478,61,43,69014,37184,53.88%,3.82%,四千万福利·小剧场·从前有一位名师,52400
15,囚于永夜,1224101,29521,200,161,2843,846,29.76%,2.87%,番外 少爷的生日7,94916
16,炽火难熄 全一季,329641,20142,13,3,1505,612,40.66%,3.04%,第五集 · 生日快乐,94917
17,沉浮事,722070,15660,15,4,1696,933,55.01%,5.96%,浊世篇·第五集,94775
18,我在无限游戏里封神 第三季,24199701,220596,91,21,30368,22643,74.56%,10.26%,破亿纪念单曲·神明所遗落的,81851
19,放学等我 第一季,54325202,840017,53,18,62037,35888,57.85%,4.27%,1700W福利·P-特别小剧场「2022.12.2」,64911
20,放学等我 第二季,31920641,452156,42,16,44387,33906,76.39%,7.50%,番外·恋爱纪念日,68837
21,藏南晚星,19966399,207970,80,43,20953,15527,74.10%,7.47%,七夕小剧场 · 小许老师买菜记,85110
22,触礁,274417,12260,15,5,1292,865,66.95%,7.06%,七夕福利音,95034
23,魔道祖师 第三季,297607633,1547457,66,56,97524,89837,92.12%,5.81%,传讯符·忘羡,22602
24,魔道祖师 第一季,260334937,2284196,39,22,97107,64581,66.50%,2.83%,主创FT<下>,15861
25,江医生 第一季,17122308,237899,49,27,23133,14152,61.18%,5.95%,千万播放福利第四弹·小剧场·猫,81852
26,我在无限游戏里封神 第一季,74866306,1003214,64,14,77734,43519,55.98%,4.34%,线下漫展VLOG,52347
27,台风眼 第二季,29916280,163115,50,32,14286,13222,92.55%,8.11%,完结 FT,68664
28,尾钩,209691,13581,10,0,1136,0,0.00%,0.00%,第06集 · 尘灰,95503
29,魔道祖师 第二季,171656164,1422626,41,37,88861,81600,91.83%,5.74%,主役FT（下）,19059
30,台风眼 第一季,35952847,308513,53,20,22146,13847,62.53%,4.49%,千万福利·富士山在等一片云,52404
31,我在无限游戏里封神 第二季（下）,21268550,257396,55,14,28242,24129,85.44%,9.37%,花絮06,76557
32,我喜欢你的信息素 第一季,100924070,1520465,48,21,72088,44654,61.94%,2.94%,四千万福利,58217
33,江医生 第二季,8501332,122934,44,36,13765,12809,93.05%,10.42%,主役版·绝对,85256
34,降水概率百分百,1977069,28790,39,16,2901,1684,58.05%,5.85%,七夕语音 ♡ 晚安好梦,93005
35,某某 第一季,98796403,1726461,43,28,77145,45075,58.43%,2.61%,伴奏|《梧桐说》,58219
36,我在无限游戏里封神 第二季（上）,20823405,334430,42,11,34364,29756,86.59%,8.90%,花絮06,71605
37,吞海 第一季,52255072,536909,54,17,45747,28811,62.98%,5.37%,原创配乐·破晓,29187
38,我喜欢你的信息素 第二季,76868169,850678,43,26,58981,49764,84.37%,5.85%,国风版·星衍,58218
39,一颗苹果,13961944,165350,82,35,13680,6044,44.18%,3.66%,完结FT · 谢谢光临,90818
40,重生之将门毒后 第二季,42531663,386009,83,26,50807,34219,67.35%,8.86%,破亿福利·白噪音·花灯,52293
41,再世权臣 第三季（下）,926927,26110,21,12,2386,2128,89.19%,8.15%,第十二集 ·  雨后风荷,93437
42,沉醉不醒,4182012,57450,50,31,4928,3103,62.97%,5.40%,დ400万福利剧场·桑拿,86740
43,伪装学渣 第一季,103585026,1953278,30,17,80134,47023,58.68%,2.41%,千万福利·“叫妈妈”,58262
44,洄天 第一季,28313419,247447,65,14,23508,11368,48.36%,4.59%,完结语音 · 高能量S级监护人的一天,86815
45,将进酒 第一季,106634952,1447306,59,16,78388,53344,68.05%,3.69%,完结FT,25944
46,解瘾,453534,13641,23,4,893,357,39.98%,2.62%,福利音❃奉心,94782
47,绰约,2199650,32537,38,7,1546,604,39.07%,1.86%,律法小贴士·9则,86680
48,某某 第二季,66735758,834400,67,39,68646,51385,74.86%,6.16%,破亿纪念·《正年少》,58220
49,赤霞珠,286846,12117,30,19,1036,790,76.25%,6.52%,处暑福利音·饮酒小贴士·唐渡,95114
50,小蘑菇 第二季,51946713,505776,51,34,52081,47861,91.90%,9.46%,破亿电话·双人,39605
