排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,46852678,396375,D2,57,24,26463,17212,65.04%,4.34%,完结FT,72230
2,天官赐福 第四季,10489449,129751,D2,28,7,12332,6843,55.49%,5.27%,新年小剧场《压岁钱》,91718
3,你的雪人能活多久 第一季,1566903,58520,D2,28,7,5592,1123,20.08%,1.92%,第六集 · 易感期恶性综合征,93787
4,奇洛李维斯回信,55313632,576864,D2,98,41,54070,29104,53.83%,5.05%,OST A12 · 暗恋基本法,85974
5,情蛊,42250265,451834,D2,68,49,54805,33976,61.99%,7.52%,4000w福利·山大王,86178
6,尾钩,671029,21139,D2,25,12,2219,1251,56.38%,5.92%,第19集 · 纪念日,95503
7,灯花笑 上季,3816411,58810,D2,30,13,8623,2065,23.95%,3.51%,第16集,94733
8,伏特加与曼特宁,2054460,66148,D2,27,5,3688,1477,40.05%,2.23%,第六期,92988
9,恒星时刻 第一季,847251,62358,D2,5,0,9355,0,0.00%,0.00%,小剧场 · 秦内心戏多得一❤隅,94789
10,天官赐福 第三季,73140688,276614,D2,68,44,34344,28461,82.87%,10.29%,小剧场·元宵·花灯,82040
11,天官赐福 第一季,88401530,978803,D2,61,43,69044,37314,54.04%,3.81%,四千万福利·小剧场·从前有一位名师,52400
12,宋玉章 第一季,4209525,45950,D2,23,3,3064,1086,35.44%,2.36%,第六折 ·  瞒天过海,86589
13,天官赐福 第二季,74568417,365005,D2,61,43,39072,35570,91.04%,9.75%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
14,我在无限游戏里封神 第四季,8114618,146156,D2,56,15,12087,9548,78.99%,6.53%,特别放送 · emoji大挑战,86834
15,满城衣冠 全一季,2691507,56533,D2,35,10,3523,1555,44.14%,2.75%,花絮⑥ · 方言难难难,90878
16,一屋暗灯 全一季,13225719,208730,D2,54,14,34865,16183,46.42%,7.75%,主役版主题曲▪未说的,93038
17,囚于永夜,1523636,32824,D2,200,161,3315,1051,31.70%,3.20%,番外 少爷的生日7,94916
18,沉浮事,1004341,17375,D2,17,6,1860,1088,58.49%,6.26%,浊世篇·第六集,94775
19,藏南晚星,20273608,209751,D2,81,44,21202,15748,74.28%,7.51%,✧2000万福利·番外·美梦,85110
20,放学等我 第一季,54777172,843178,D2,53,18,61896,35812,57.86%,4.25%,1700W福利·P-特别小剧场「2022.12.2」,64911
21,放学等我 第二季,32173611,454145,D2,42,16,44382,33849,76.27%,7.45%,番外·恋爱纪念日,68837
22,魔道祖师 第三季,297950683,1548732,D2,66,56,97561,89869,92.12%,5.80%,传讯符·忘羡,22602
23,魔道祖师 第一季,260678437,2287244,D2,39,22,97096,64604,66.54%,2.82%,主创FT<下>,15861
24,我在无限游戏里封神 第三季,24425439,221818,D2,91,21,30527,22781,74.63%,10.27%,破亿纪念单曲·神明所遗落的,81851
25,江医生 第一季,17306818,239232,D2,49,27,23267,14257,61.28%,5.96%,千万播放福利第四弹·小剧场·猫,81852
26,魔道祖师 第二季,171868076,1423892,D2,41,37,88909,81651,91.84%,5.73%,主役FT（下）,19059
27,炽火难熄 全一季,414136,21259,D2,17,5,1621,728,44.91%,3.42%,第七集 · 喜不喜欢？,94917
