排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,8023103,165194,36,7,福利彩蛋·三折叠,93038
2,奇洛李维斯回信,48857070,542291,84,27,花絮10 · 破坏队形的花絮来了,85974
3,洄天 第一季,26173337,237283,54,10,第十二期,86815
4,情蛊,38051966,414721,67,48,完结FT·下,86178
5,二哈和他的白猫师尊,163710719,3167326,77,0,第肆季-第十期,20741
6,囚于永夜,4763172,290689,1,0,织音发布会纯享PV · 概念预告,86822
7,放学等我 第一季,52122812,820769,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
8,小蘑菇 第一季,50053337,919186,33,17,白噪音·漫步荒原,29125
9,早春晴朗,35045800,268581,57,24,完结FT,72230
10,我在无限游戏里封神 第四季,5284157,128518,35,11,第十一集 · 如何拥有五栋楼,86834
11,天官赐福 第一季,85208275,954728,61,43,四千万福利·小剧场·从前有一位名师,52400
12,天官赐福 第四季,5298801,85728,13,0,新年小剧场《压岁钱》,91718
13,魔道祖师 第一季,258635312,2264666,39,22,主创FT<下>,15861
14,我在无限游戏里封神 第一季,72819193,984499,64,14,线下漫展VLOG,52347
15,伪装学渣 第一季,102560339,1935348,30,17,千万福利·“叫妈妈”,58262
16,坠落,10925078,176633,59,22,台风眼S02E17,76041
17,虚拟偶像团综丨《NEW DAYS（一起又出发）》,29094287,111501,95,0,许向安&许向宁生日小剧场·那片山那片海,84529
18,迪奥先生 第一季,79323385,1075916,30,15,王氏破产 铃声,23329
19,我喜欢你的信息素 第一季,99621944,1504463,48,21,四千万福利,58217
20,奇洛李维斯回信 番外篇,868379,57996,3,2,番外 ·  庆生宴,93420
21,一颗苹果,12978293,150677,80,34,启动音试听 · 谢青寄,90818
22,放学等我 第二季,30644138,439701,42,16,番外·恋爱纪念日,68837
23,小蘑菇 第二季,51109845,499323,48,34,破亿福利·《风过荒野》主役版,39605
24,见春天,12926704,228032,54,8,魏清越书信·02,80533
25,台风眼 第一季,34912427,295224,53,20,千万福利·富士山在等一片云,52404
26,将进酒 第一季,105483992,1434502,59,16,完结FT,25944
27,某某 第一季,97748163,1710691,43,28,伴奏|《梧桐说》,58219
28,交易沦陷,28331779,172165,138,99,特别福利·星空沦陷,54171
29,重生之将门毒后 第一季,92892568,828779,82,27,主役reaction·片段03,43922
30,娘娘腔,37358567,709062,31,0,主役听剧Reaction,46640
31,干涸地,1867595,82148,1,0,概念预告,86725
32,于是麦麦决定离家出走,5461046,104938,51,32,花絮11,86179
33,天官赐福 第三季,70456318,261618,67,43,小剧场·元宵·花灯,82040
34,再世权臣 第一季,21291684,255990,79,17,花絮07,71321
35,我在无限游戏里封神 第三季,22724408,210977,91,21,破亿纪念单曲·神明所遗落的,81851
36,藏南晚星,18870445,199255,79,42,主题曲伴奏·途经,85110
37,全球高考 第一季（全新版）,21132650,366816,37,11,— 「全季完结FT」—,60289
38,沉醉不醒,3163365,52492,35,17,დ300万福利剧场·小狗,86740
39,入蛊 全一季,526722,17145,13,6,Ⱄⱄᐝ第九回,93646
40,不二之臣,40782780,848942,16,0,大结局·下,25580
41,针锋对决,37658865,928442,19,0,完结FT  互动问答,19249
42,FOG[电竞] 第一季,70298446,761573,39,14,2000W福利·whisper伴奏抒情版,29122
43,江医生 第一季,16197227,230068,49,27,千万播放福利第四弹·小剧场·猫,81852
44,难哄,146221424,1574563,76,48,破亿福利·纪念FT,38074
45,偷偷藏不住,202275408,2414423,89,54,2亿福利·双人电话语音,34632
46,二哈和他的白猫师尊,15183049,99834,669,603,完结FT,81979
47,魔道祖师 第三季,296076878,1540586,66,56,传讯符·忘羡,22602
48,南方海啸,23716454,168903,102,68,花絮⑤,85492
49,反差 全一季,7594113,58832,42,19,端午节福利音,86684
50,天官赐福 第二季,72102781,351041,61,43,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
51,伏特加与曼特宁,749209,46794,3,0,520小剧场·吻醒,92988
52,吞海 第一季,51020132,525992,54,17,原创配乐·破晓,29187
53,虚拟偶像团综丨《一起再出发》,90773274,251304,179,0,中秋特辑·清道夫,58225
