排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,洄天 第一季,23404648,226084,45,6,花絮03,86815
2,一屋暗灯 全一季,5031455,130080,24,3,花絮04,93038
3,我在无限游戏里封神 第四季,4012527,119073,25,7,第七集 · 记忆折叠,86834
4,秋燥 第一季,66183,8543,3,0,第一集,93438
5,入蛊 全一季,164396,10634,5,0,Ⱄⱄᐝ第二回,93646
6,奇洛李维斯回信 番外篇,651451,48255,3,2,番外 ·  庆生宴,93420
7,沉醉不醒,2471927,46450,27,9,苏墨♡生日快乐,86740
8,蜉蝣,260878,16579,9,0,ೀ˖˚ 第三集,93202
9,愚蠢的有钱人,686575,19352,50,37,【花絮4】,93113
10,逐玉 第二季,804927,14852,18,7,第十集 · 重圆,92520
11,娑婆,672684,26669,7,0,第三集,93178
12,液态欲望 全一季,490928,25287,15,5,EP04,86692
13,再世权臣 第三季（下）,171631,14747,5,2,第二集 ·  同舟共济,93437
14,全球进化后我站在食物链顶端 第二季（下）,157775,9952,11,7,第二十二集,92775
15,逆鳞 第一季,30774,4893,3,0,百闻阁秘事,93750
16,禁区,273605,10417,46,22,30 衣领,92575
17,沉入地球,71068,5050,13,0,第10集 · 闻香不是花,93569
18,语义错误 第一季,3682215,25828,26,9,Ep.11 INTERACTION,92155
19,你的雪人能活多久 第一季,19767,9201,1,0,祝知希生日快乐,93787
20,沉浮事,318578,10731,56,46,第伍拾叁集 最后一次,92895
21,初三的六一儿童节 第二季（上）,758324,9773,9,4,522福利音 · 懒觉福利,93154
22,欲言难止,96125,5648,182,160,欲言难止 第171集 我做了一个很长的梦（完）,93138
23,降水概率百分百,800517,20056,16,3,520语音 ♡ 餐桌故事,93005
24,烟花情书,92751,4052,6,2,第四集,93337
25,余污 第一季,265976,13608,11,2,第四期,92701
26,落火 全一季,297006,14633,15,5,第七集,92245
27,美人印,627464,29681,18,9,第九集,92611
28,闭嘴，你这假粉 全一季,2001989,24777,33,20,番外2 · 一日为友，终生为父,87641
29,伏特加与曼特宁,227466,9886,46,37,°☆. 第42集 « *,92968
30,第二十八年春II,161027,6145,2,0,第五期,92633
