排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,洄天 第一季,21831813,219063,40,4,19004,7216,37.97%,花絮02,86815
2,一屋暗灯 全一季,3640636,111051,19,2,18696,4344,23.23%,第四集,93038
3,我在无限游戏里封神 第四季,3484000,115002,22,5,6626,3982,60.10%,特别放送 · 大型恐怖游戏联赛火热进行中Ⅳ,86834
4,奇洛李维斯回信,45303362,521240,79,23,48474,24865,51.30%,花絮09 ·小花絮又又又又又来了,85974
5,情蛊,35772564,396144,67,48,48113,29610,61.54%,完结FT·下,86178
6,早春晴朗,32672648,252787,57,24,20400,13362,65.50%,完结FT,72230
7,沉醉不醒,2160970,44074,23,6,3055,1446,47.33%,ღ200万福利·晚安语音·苏墨,86740
8,初三的六一儿童节,25615285,56464,267,235,6220,5008,80.51%,番外3 兄弟（10）,85562
9,一颗苹果,12308334,142728,80,34,11534,4910,42.57%,启动音试听 · 谢青寄,90818
10,娑婆,412872,22181,6,0,2139,0,0.00%,第二集,93178
11,愚蠢的有钱人,531108,17840,36,23,1470,617,41.97%,【花絮3】,93113
12,初三的六一儿童节 第二季（上）,437123,8695,6,2,683,387,56.66%,花絮① · 阿祖阿美,93154
13,我在无限游戏里封神 第三季,21769871,204910,91,21,28354,20907,73.74%,破亿纪念单曲·神明所遗落的,81851
14,天官赐福 第三季,69197795,255391,67,43,31902,26267,82.34%,小剧场·元宵·花灯,82040
15,再世权臣 第三季（下）,59741,8215,2,0,291,0,0.00%,日历语音 · 梦中人,93437
16,反差 全一季,6908574,54297,34,16,3705,2081,56.17%,花絮5,86684
17,于是麦麦决定离家出走,4832647,99509,36,22,8492,5165,60.82%,小剧场✦静电,86179
18,放学等我 第一季,50791207,807636,53,18,62636,36329,58.00%,1700W福利·P-特别小剧场「2022.12.2」,64911
19,降水概率百分百,669076,18689,14,2,1608,467,29.04%,˚.⊹ 第五期 ♡₊˚,93005
20,顶级掠食者 第二季,6689176,53181,34,15,4694,3680,78.40%,第十四集·下,86789
21,放学等我 第二季,29846396,431023,42,16,44235,34524,78.05%,番外·恋爱纪念日,68837
22,天官赐福 第二季,71052986,345357,61,43,37386,34003,90.95%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
23,藏南晚星,18135880,194156,79,42,19318,14195,73.48%,主题曲伴奏·途经,85110
24,天官赐福 第一季,83895335,944468,61,43,67981,36484,53.67%,四千万福利·小剧场·从前有一位名师,52400
25,我在无限游戏里封神 第一季,71582912,973437,64,14,76666,42982,56.06%,线下漫展VLOG,52347
26,惹祸精,996243,30124,38,14,1668,912,54.68%,花絮4.0,90987
27,太傅他人人喊打 第二季,2777586,39418,26,13,2959,1850,62.52%,花絮06,86723
28,吞海 第一季,50214291,518809,54,17,44356,27693,62.43%,原创配乐·破晓,29187
29,魔道祖师 第三季,295127120,1536794,66,56,97618,90024,92.22%,传讯符·忘羡,22602
30,再世权臣 第三季（上）,2534389,47354,34,10,3459,2663,76.99%,第十集 ·  再度启程,86827
31,我在无限游戏里封神 第二季（下）,19604722,242560,55,14,26723,22751,85.14%,花絮06,76557
32,交易沦陷,26856636,164956,138,99,16427,9567,58.24%,特别福利·星空沦陷,54171
33,偷风不偷月 上季,8044289,127048,41,18,10364,5776,55.73%,300w福利·楚识琛（沈若臻）·风月语录,71389
34,欢迎进入梦魇直播间 第二季,5974304,44079,28,11,3440,2481,72.12%,《今日没说法》⑤ ·「不平安疗养院」,90985
35,奇洛李维斯回信 番外篇,384053,33631,3,2,2792,2293,82.13%,番外 ·  庆生宴,93420
36,魔道祖师 第一季,257631573,2254247,39,22,96852,64536,66.63%,主创FT<下>,15861
37,恩客,1208072,17318,52,38,1395,920,65.95%,43·芙蓉里,91870
38,吞海 第二季,31681057,264263,56,19,25297,23545,93.07%,新年祝福,67085
39,我在无限游戏里封神 第二季（上）,19687759,320077,42,11,33061,28631,86.60%,花絮06,71605
40,小蘑菇 第二季,50169151,493204,46,33,50440,46936,93.05%,全剧五千万福利,39605
41,你的距离,89507640,930269,70,27,78314,56206,71.77%,完结FT·主创版,31552
42,某某 第一季,97111725,1700889,43,28,77248,45108,58.39%,伴奏|《梧桐说》,58219
43,吞海 第三季（上）,21893488,210400,38,16,17891,16746,93.60%,OST·04 此地埋名,73221
44,将进酒 第一季,104740139,1426456,59,16,78182,53308,68.18%,完结FT,25944
45,魔道祖师 第二季,170106708,1411952,41,37,88816,81552,91.82%,主役FT（下）,19059
46,台风眼 第二季,28812243,151118,50,32,13264,12250,92.36%,完结 FT,68664
47,初三的六一儿童节 第一季,11215135,56716,53,16,3268,1581,48.38%,新年♥快乐,85497
48,逐玉 第二季,751653,14334,16,5,461,114,24.73%,第八集 · 赐婚,92520
49,偷风不偷月 下季,3521552,61894,35,17,4515,4241,93.93%,100W福利·白噪音,77591
50,台风眼 第一季,34230037,287718,53,20,20320,12862,63.30%,千万福利·富士山在等一片云,52404
