排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,44623205,374369,D2,57,24,25749,16726,64.96%,4.47%,完结FT,72230
2,天官赐福 第四季,9840699,127272,D2,27,6,12001,6451,53.75%,5.07%,第四集·不能尽善问心有憾,91718
3,奇洛李维斯回信,55018699,575537,D2,98,41,53966,29003,53.74%,5.04%,OST A12 · 暗恋基本法,85974
4,你的雪人能活多久 第一季,1448596,56691,D2,27,6,5435,957,17.61%,1.69%,小剧场03 · 戒指,93787
5,情蛊,42061602,450483,D2,68,49,54714,33899,61.96%,7.53%,4000w福利·山大王,86178
6,灯花笑 上季,3551479,56859,D2,28,11,8431,1862,22.09%,3.27%,第14集,94733
7,伏特加与曼特宁,1971880,65476,D2,26,4,3615,1393,38.53%,2.13%,✦店长来啦！⑤,92988
8,宋玉章 第一季,3991928,45651,D2,23,3,3015,1036,34.36%,2.27%,第六折 ·  瞒天过海,86589
9,天官赐福 第三季,72860462,275781,D2,68,44,34248,28363,82.82%,10.28%,小剧场·元宵·花灯,82040
10,尾钩,514371,19513,D2,20,8,1976,984,49.80%,5.04%,第15集 · 勇往,95503
11,我在无限游戏里封神 第四季,8035249,145640,D2,56,15,12030,9493,78.91%,6.52%,特别放送 · emoji大挑战,86834
12,天官赐福 第二季,74242359,364206,D2,61,43,38999,35489,91.00%,9.74%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
13,天官赐福 第一季,88087065,977488,D2,61,43,69043,37283,54.00%,3.81%,四千万福利·小剧场·从前有一位名师,52400
14,满城衣冠 全一季,2596926,55823,D2,33,9,3411,1444,42.33%,2.59%,白噪音 · 苏苏念经,90878
15,一屋暗灯 全一季,13125575,208040,D2,54,14,34765,16096,46.30%,7.74%,主役版主题曲▪未说的,93038
16,恒星时刻 第一季,626542,58190,D2,4,0,8117,0,0.00%,0.00%,第一集♬R&R,94789
17,沉浮事,921720,16988,D2,17,6,1823,1054,57.82%,6.20%,浊世篇·第六集,94775
18,囚于永夜,1438549,31937,D2,200,161,3206,1006,31.38%,3.15%,番外 少爷的生日7,94916
19,炽火难熄 全一季,391091,20985,D2,17,5,1597,706,44.21%,3.36%,第七集 · 喜不喜欢？,94917
20,藏南晚星,20164448,209240,D2,81,44,21130,15681,74.21%,7.49%,✧2000万福利·番外·美梦,85110
21,放学等我 第一季,54650698,842378,D2,53,18,61954,35828,57.83%,4.25%,1700W福利·P-特别小剧场「2022.12.2」,64911
22,放学等我 第二季,32100747,453649,D2,42,16,44406,33880,76.30%,7.47%,番外·恋爱纪念日,68837
23,我在无限游戏里封神 第三季,24357202,221485,D2,91,21,30485,22744,74.61%,10.27%,破亿纪念单曲·神明所遗落的,81851
24,魔道祖师 第三季,297843534,1548394,D2,66,56,97539,89845,92.11%,5.80%,传讯符·忘羡,22602
25,魔道祖师 第一季,260572996,2286390,D2,39,22,97103,64597,66.52%,2.83%,主创FT<下>,15861
26,江医生 第一季,17252385,238888,D2,49,27,23239,14233,61.25%,5.96%,千万播放福利第四弹·小剧场·猫,81852
27,魔道祖师 第二季,171801391,1423547,D2,41,37,88916,81661,91.84%,5.74%,主役FT（下）,19059
28,台风眼 第二季,30024506,164027,D2,50,32,14369,13301,92.57%,8.11%,完结 FT,68664
29,台风眼 第一季,36082949,310158,D2,53,20,22285,13923,62.48%,4.49%,千万福利·富士山在等一片云,52404
30,我喜欢你的信息素 第一季,101087744,1522023,D2,48,21,72074,44667,61.97%,2.93%,四千万福利,58217
31,某某 第一季,98936852,1727882,D2,43,28,76932,45044,58.55%,2.61%,伴奏|《梧桐说》,58219
32,江医生 第二季,8588165,123553,D2,44,36,13868,12909,93.08%,10.45%,主役版·绝对,85256
33,我在无限游戏里封神 第一季,75076529,1004853,D2,64,14,77790,43568,56.01%,4.34%,线下漫展VLOG,52347
34,触礁,363877,13125,D2,18,6,1351,934,69.13%,7.12%,✰花絮·03✰,95034
35,我在无限游戏里封神 第二季（下）,21376019,258234,D2,55,14,28349,24236,85.49%,9.39%,花絮06,76557
36,吞海 第一季,52420330,538230,D2,54,17,45837,28886,63.02%,5.37%,原创配乐·破晓,29187
37,降水概率百分百,2100144,29818,D2,45,18,3025,1771,58.55%,5.94%,完结彩蛋 ♡ 晴天娃娃,93005
38,我喜欢你的信息素 第二季,76983498,851523,D2,43,26,59036,49798,84.35%,5.85%,国风版·星衍,58218
39,一颗苹果,14058403,166417,C,82,35,13809,6126,44.36%,3.68%,完结FT · 谢谢光临,90818
40,你的距离,91220499,940382,D2,70,27,78829,56547,71.73%,6.01%,完结FT·主创版,31552
41,重生之将门毒后 第二季,42674624,386848,D2,83,26,50880,34288,67.39%,8.86%,破亿福利·白噪音·花灯,52293
42,将进酒 第一季,106806754,1448797,D2,59,16,78380,53348,68.06%,3.68%,完结FT,25944
43,难言之欲,253392,10738,D2,9,3,813,404,49.69%,3.76%,E4,94857
44,某某 第二季,66826724,835143,D2,67,39,68643,51376,74.85%,6.15%,破亿纪念·《正年少》,58220
45,我在无限游戏里封神 第二季（上）,20906126,335239,D2,42,11,34455,29839,86.60%,8.90%,花絮06,71605
46,伪装学渣 第一季,103711985,1954800,D2,30,17,80111,47041,58.72%,2.41%,千万福利·“叫妈妈”,58262
47,吞海 第二季,33109719,275855,D2,56,19,26473,24675,93.21%,8.94%,新年祝福,67085
48,清白之年,537056,14939,D2,21,2,1364,289,21.19%,1.93%,小剧场·肯德基,94838
49,娑婆,1907478,38371,D2,30,20,3800,1217,32.03%,3.17%,第十七集,93178
50,失忆后死对头成了我男朋友？,5541207,104401,D2,48,20,7101,4846,68.24%,4.64%,花絮15·恢复,86693
