排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,恒星时刻 第一季,463936,54735,D2,2,0,预告 · sternstunde,94789
2,天官赐福 第四季,9475961,125465,D2,26,5,第三集·叫天不应叫地不灵,91718
3,灯花笑 上季,3442027,55955,D2,28,11,第14集,94733
4,尾钩,417723,18111,D2,17,5,第12集 · 往日之事,95503
5,伏特加与曼特宁,1923955,65123,D2,25,4,第五期,92988
6,虚拟偶像团综丨《去世界尽头》,5784972,53208,B,45,0,第七期·自由身,94354
7,你的雪人能活多久 第一季,1392818,56028,D2,25,5,第五集 · 不成对的天生一对,93787
8,宋玉章 第一季,3816649,45365,D2,22,2,导演花絮01· 好多人啊,86589
9,满城衣冠 全一季,2550078,55428,D2,33,9,白噪音 · 苏苏念经,90878
10,放学后别来我办公室 全一季,641227,18957,D2,13,1,第四课「好想退休」,86868
11,沉浮事,862326,16629,D2,17,6,浊世篇·第六集,94775
12,囚于永夜,1392445,31438,D2,200,161,番外 少爷的生日7,94916
13,守寡后我重生了 第二季,109207,3759,D2,12,3,第四集,95212
14,触礁,336454,12936,D2,18,6,✰花絮·03✰,95034
15,谁来言说夜晚 上季,1719805,15988,D2,91,54,第71集,94321
16,嫡谋·第一季,384972,9895,D2,17,8,第十集·「姻局初布」,94462
17,搭界 第一季,472177,16551,D2,25,12,主役采访 02,94617
18,清白之年,523013,14760,D2,20,1,第七集·与子成说,94838
19,炽火难熄 全一季,370010,20732,D2,15,4,第六集 ·“顺路”,94917
20,绰约,2267771,32710,D2,41,9,律法小贴士·10则,86680
21,穿进赛博游戏后干掉BOSS成功上位 第一季,48029,3730,B,5,0,主题曲《无光之处》和声伴奏,95678
22,解瘾,514662,14044,D2,26,5,花絮5❃上海话我们也不会啊,94782
23,愚蠢的有钱人 全一季,177871,7555,D2,25,6,开学欢迎语·谢思文,94873
24,赤霞珠,329051,12996,D2,30,19,处暑福利音·饮酒小贴士·唐渡,95114
25,大王万万不可！ 第一季,426919,15337,D2,25,8,第十一集·日升月恒,94259
26,错登科  第一季,127704,5113,D2,14,6,《错登科》第七集·封诰命,94787
27,我花开后百花杀 第一季,123047,4659,D2,9,0,第三集 · 入局京都,94893
28,日出风来,322578,7347,D2,67,49,♬番外第3集 我们的乐章,94444
29,是心跳说谎 全一季,42081,4006,D2,3,0,预告二·爱的痕迹,95516
30,金陵春 第一季,170337,6221,D2,15,5,第八集,94497
