排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,情蛊,41164321,443485,68,49,4000w福利·山大王,86178
2,奇洛李维斯回信,53799104,569534,98,41,OST A12 · 暗恋基本法,85974
3,囚于永夜,5310575,319148,1,0,织音发布会纯享PV · 概念预告,86822
4,二哈和他的白猫师尊,166674409,3193224,82,0,第肆季（完结篇）-小剧场,20741
5,灯花笑 上季,2617093,49489,20,6,第10集,94733
6,一屋暗灯 全一季,12536871,203635,53,13,福利彩蛋·看星星,93038
7,放学等我 第一季,54038941,837491,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
8,天官赐福 第四季,7845652,114728,20,1,第一集·立天地神人破铜炉,91718
9,虚拟偶像团综丨《去世界尽头》,4888883,51239,30,0,第五期·神仙洞,94354
10,伪装学渣 第一季,103461749,1951628,30,17,千万福利·“叫妈妈”,58262
11,你的雪人能活多久 第一季,1024011,51147,18,2,第三集（下）· 我可能不会爱你,93787
12,天官赐福 第一季,87247203,971816,61,43,四千万福利·小剧场·从前有一位名师,52400
13,魔道祖师 第一季,260132698,2282074,39,22,主创FT<下>,15861
14,我在无限游戏里封神 第一季,74661902,1001547,64,14,线下漫展VLOG,52347
15,囚于永夜,989599,26958,200,161,温然生日小剧场,94916
16,我在无限游戏里封神 第四季,7685831,143236,56,15,特别放送 · emoji大挑战,86834
17,宋玉章 第一季,3001698,43573,16,0,第三折 ·  啼笑因缘,86589
18,我喜欢你的信息素 第一季,100768289,1518938,48,21,四千万福利,58217
19,洄天 第一季,28200204,246787,65,14,完结语音 · 高能量S级监护人的一天,86815
20,台风眼 第一季,35832059,306927,53,20,千万福利·富士山在等一片云,52404
21,将进酒 第一季,106499096,1446104,59,16,完结FT,25944
22,伏特加与曼特宁,1539996,61784,18,1,第三期,92988
23,重生之将门毒后 第一季,94735224,840486,82,27,主役reaction·片段03,43922
24,某某 第一季,98664917,1724767,43,28,伴奏|《梧桐说》,58219
25,一颗苹果,13863927,164148,82,35,完结FT · 谢谢光临,90818
26,放学等我 第二季,31757057,450523,42,16,番外·恋爱纪念日,68837
27,天官赐福 第三季,72172354,272113,68,44,小剧场·元宵·花灯,82040
28,恒星时刻 第一季,325779,48164,1,0,歌曲《狮心》（Live）,94789
29,再世权臣 第一季,22062823,261300,79,17,花絮07,71321
30,早春晴朗,37129683,278571,57,24,完结FT,72230
31,小蘑菇 第一季,50887214,930540,33,17,白噪音·漫步荒原,29125
32,娘娘腔,38439548,722691,31,0,主役听剧Reaction,46640
33,见春天,13378430,233550,54,8,魏清越书信·02,80533
34,全球高考 第一季（全新版）,21900921,375938,37,11,— 「全季完结FT」—,60289
