排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,逐玉 第一季,3982705,69244,43,14,2165,956,44.16%,原创配乐 · 凶夜,89245
2,洄天 第一季,13789780,178382,28,0,11825,0,0.00%,第一期,86815
3,奇洛李维斯回信,40030591,497336,79,23,45904,23145,50.42%,花絮09 ·小花絮又又又又又来了,85974
4,情蛊,32726059,371596,61,42,44645,27404,61.38%,番外·此为情蛊,86178
5,二哈和他的白猫师尊,159969574,3138509,69,0,121443,0,0.00%,第肆季-第七期,20741
6,一颗苹果,10583153,130854,67,26,9864,3707,37.58%,第15集 · 祷告 Breath by Breath,90818
7,放学等我 第一季,49341330,792208,53,18,62315,36327,58.30%,1700W福利·P-特别小剧场「2022.12.2」,64911
8,囚于永夜,3974200,251271,1,0,1820,0,0.00%,织音发布会纯享PV · 概念预告,86822
9,天官赐福 第一季,81483958,933856,61,43,67477,36193,53.64%,四千万福利·小剧场·从前有一位名师,52400
10,重生之将门毒后 第一季,90487731,815572,82,27,87918,42046,47.82%,主役reaction·片段03,43922
11,天官赐福 第四季,3413034,62218,10,0,4881,0,0.00%,新年小剧场《压岁钱》,91718
12,于是麦麦决定离家出走,3825279,90192,26,15,6819,3824,56.08%,小剧场✦小猫神,86179
13,魔道祖师 第一季,256611398,2244073,39,22,96721,64524,66.71%,主创FT<下>,15861
14,我在无限游戏里封神 第一季,70232224,961733,64,14,76178,42686,56.03%,线下漫展VLOG,52347
15,逐玉 第二季,489400,10785,6,0,301,0,0.00%,第二集 · 夜会,92520
16,虚拟偶像团综丨《NEW DAYS（一起又出发）》,23664664,105500,89,0,33268,0,0.00%,MANTA三专《宴》特别曲·《罪示录》,84529
17,我在无限游戏里封神 第四季,1663668,92920,5,0,3222,0,0.00%,主题曲 · 失控Out of Control · 伴奏,86834
18,将进酒 第一季,103975454,1418516,59,16,78108,53247,68.17%,完结FT,25944
19,我喜欢你的信息素 第一季,98050785,1486004,48,21,72325,45203,62.50%,四千万福利,58217
20,小蘑菇 第一季,48332256,902126,33,17,57886,38869,67.15%,白噪音·漫步荒原,29125
21,美人印,332448,23738,6,0,1419,0,0.00%,OST《美人印》,92611
22,放学等我 第二季,28995738,421023,42,16,44007,34700,78.85%,番外·恋爱纪念日,68837
23,早春晴朗,30434074,237017,57,24,19019,12484,65.64%,完结FT,72230
24,娘娘腔,35729656,688916,31,0,69653,0,0.00%,主役听剧Reaction,46640
25,反差 全一季,5858204,47435,24,7,2890,1321,45.71%,愚人节福利花絮,86684
26,天官赐福 第三季,66212409,248564,66,42,31175,25589,82.08%,花絮·不坠主役,82040
27,伪装学渣 第一季,101433487,1913726,30,17,80101,47125,58.83%,千万福利·“叫妈妈”,58262
28,某某 第一季,96455463,1691508,43,28,77278,45020,58.26%,伴奏|《梧桐说》,58219
29,藏南晚星,17305511,187688,79,42,18430,13453,73.00%,主题曲伴奏·途经,85110
30,语义错误 第一季,2172414,21206,11,1,1479,302,20.42%,Ep.04 SHIFT,92155
31,初三的六一儿童节,21763463,46396,222,192,4836,3669,75.87%,花絮 | 第7弹,85562
32,见春天,12057378,217291,54,8,26544,8249,31.08%,魏清越书信·02,80533
33,顶级掠食者 第二季,4788435,48236,23,8,3835,2808,73.22%,主题曲·天分·伴奏,86789
34,交易沦陷,25454907,158042,138,99,15766,9188,58.28%,特别福利·星空沦陷,54171
35,我在无限游戏里封神 第三季,20699879,198263,91,21,27564,20224,73.37%,破亿纪念单曲·神明所遗落的,81851
36,重生之将门毒后 第二季,40033251,371927,83,26,49319,33049,67.01%,破亿福利·白噪音·花灯,52293
37,二哈和他的白猫师尊,13598435,92000,669,603,9032,4326,47.90%,完结FT,81979
38,不二之臣,40078387,840555,16,0,49570,0,0.00%,大结局·下,25580
39,全球高考 第一季（全新版）,20070472,353841,37,11,21432,9928,46.32%,— 「全季完结FT」—,60289
40,偷偷藏不住,200959267,2408862,89,54,139537,82470,59.10%,2亿福利·双人电话语音,34632
41,难哄,144850189,1566701,76,48,98227,61084,62.19%,破亿福利·纪念FT,38074
42,台风眼 第一季,33368856,279743,53,20,19695,12489,63.41%,千万福利·富士山在等一片云,52404
43,再世权臣 第一季,20207435,247441,79,17,22769,10638,46.72%,花絮07,71321
44,魔道祖师 第三季,294099455,1532433,66,56,97594,90028,92.25%,传讯符·忘羡,22602
45,沉醉不醒,1134096,36448,9,0,1448,0,0.00%,第一期,86740
46,针锋对决,36926960,914577,19,0,53581,0,0.00%,完结FT  互动问答,19249
47,失忆后死对头成了我男朋友？,4291627,91350,44,20,5778,3824,66.18%,花絮·陆云笙,86693
48,天官赐福 第二季,68815446,339132,61,43,36883,33541,90.94%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
49,悬日 上季,10797056,145181,52,18,16732,5992,35.81%,ଫ苏洄生日福利,88192
50,欢迎进入梦魇直播间 第二季,4335531,38372,18,8,2798,1907,68.16%,第八集 ♱ MINE MARRY,90985
