排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,天官赐福 第四季,10815867,130765,D2,29,8,新年小剧场《压岁钱》,91718
2,虚拟偶像团综丨《去世界尽头》,6163857,54285,B,48,0,第九期·另一片海,94354
3,恒星时刻 第一季,916477,62996,D2,6,0,第二集♬Midwest Emo,94789
4,灯花笑 上季,3899319,59507,D2,30,13,第16集,94733
5,干涸地,2252696,94972,D2,4,1,火风L原著|干涸地·第二集,86725
6,你的雪人能活多久 第一季,1608278,59100,D2,29,7,教师节福利彩蛋,93787
7,尾钩,733202,21571,D2,27,14,第21集 · 麦芽香,95503
8,宋玉章 第一季,4319914,46200,D2,25,4,宋玉章 · 教师节特别语音,86589
9,满城衣冠 全一季,2733703,56751,D2,36,11,第12集 · 绑架,90878
10,伏特加与曼特宁,2079483,66299,D2,28,5,✦店长来啦！⑥,92988
11,传闻,96648,7740,D2,8,0,✧主役采访 · 上期,95625
12,搭界 第一季,515488,17009,D2,28,14,第十集,94617
13,炽火难熄 全一季,428692,21383,D2,18,6,第八集 · 夜店,94917
14,全职高手广播剧第四季 上,27938,3504,D2,2,0,正式预告,96092
15,囚于永夜,1554295,33085,D2,200,161,番外 少爷的生日7,94916
16,放学后别来我办公室 全一季,712255,19674,D2,16,3,高二七班的课间十分钟01,86868
17,谁来言说夜晚 上季,1951114,16456,D2,102,64,第81集,94321
18,绰约,2357883,32881,D2,44,11,教师节小剧场,86680
19,穿进赛博游戏后干掉BOSS成功上位 第一季,85277,4650,B,7,0,第3集,95678
20,守寡后我重生了 第二季,145892,4325,D2,14,4,花絮02,95212
21,嫡谋·第一季,411861,10317,D2,18,9,第十一集·「春深局变」,94462
22,解瘾,587994,14396,D2,28,6,花絮6❃亲不动了要秃噜皮啦,94782
23,合笼蛊,566698,9857,D2,21,8,第十集·伴侣,94418
24,是心跳说谎 全一季,87054,5884,D2,5,0,第一集,95516
25,沉浮事,1038212,17507,D2,17,6,浊世篇·第六集,94775
26,我花开后百花杀 第一季,141396,5002,D2,11,1,第五集 · 落子无悔,94893
27,茱丽叶塔 全一季,85906,6164,D2,26,4,「第七集」“点路灯的人”,95106
28,触礁,428005,13546,D2,19,7,番外1⟢「 帆船 」,95034
29,赤霞珠,373582,13852,D2,30,19,处暑福利音·饮酒小贴士·唐渡,95114
30,清白之年,574173,15234,D2,23,3,花絮02,94838
