排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,洄天 第一季,18542925,201061,34,1,沈酌生日福利 · 东方玄学,86815
2,一屋暗灯 全一季,926332,60470,6,0,倒计时二,93038
3,我在无限游戏里封神 第四季,2534246,104924,13,2,第二集 · 阴山村,86834
4,反差 全一季,6476085,50410,30,12,彩蛋·总裁助理的自我修养,86684
5,愚蠢的有钱人,148290,11603,9,0,【第三集】,93113
6,伏特加与曼特宁,412314,31543,1,0,京儒♡生日快乐,92988
7,液态欲望 全一季,93943,12480,1,0,周则枫生日福利,86692
8,初三的六一儿童节 第二季（上）,75990,4924,2,0,主题曲 · 孤舟,93154
9,再世权臣 第三季（上）,2150065,45144,32,8,花絮03·都很敏感,86827
10,沉醉不醒,1617980,40064,13,0,第三期,86740
11,欢迎进入梦魇直播间 第二季,5352966,41128,22,10,第十集 ♱ 造啊造，造了个大的,90985
12,嫁入高门的人,18735,1116,1,0,预告,93169
13,恩客,766118,14737,27,14,20·貌合神离,91870
14,顶级掠食者 第二季,5816396,50480,26,10,第十集,86789
15,禁区,39084,4294,2,0,正式预告,92575
16,沉浮事,100748,7384,16,6,第拾叁集 宴淮之,92895
17,太傅他人人喊打 第二季,2295120,36893,20,9,第九集,86723
18,穿成阴鸷反派的联姻对象 第二季,635150,20512,21,12,第十一集·鱼鱼类焕,91771
19,逐玉 第二季,621758,12777,9,1,小剧场 · 小人偶,92520
20,一诺一生 全一季,806117,26983,20,6,第八集,91354
21,降水概率百分百,395571,14935,7,0,˚.⊹ 主题曲 · 雨天恋爱定律 ♡₊˚,93005
22,全球进化后我站在食物链顶端 第二季（下）,58094,6766,4,2,第十七集,92775
23,美人印,475820,27372,11,3,ost《诱他》,92611
24,君有疾否,1276430,30546,68,40,第51集,90896
25,伏特加与曼特宁,106955,8165,10,1,°☆. 第6集 « *,92968
26,语义错误 第一季,2955241,23139,15,3,Ep.06 CRASH,92155
27,岁岁未停,28729,1749,1,0,预告,93196
28,余污 第一季,170306,11425,9,0,小剧场01·斗百草,92701
29,落火 全一季,171139,11046,10,0,第二集,92245
30,第二十八年春II,111154,4526,2,0,第五期,92633
