排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,一屋暗灯 全一季,8462016,168788,39,8,28540,11051,38.72%,6.55%,福利彩蛋·葡萄柚相亲记,93038
2,我在无限游戏里封神 第四季,5466890,129751,37,12,9233,6692,72.48%,5.16%,第十二集 · 烂尾楼,86834
3,洄天 第一季,26457106,238539,56,11,22283,10445,46.87%,4.38%,第十三期,86815
4,奇洛李维斯回信,49173564,544054,84,27,50890,26593,52.26%,4.89%,花絮10 · 破坏队形的花絮来了,85974
5,早春晴朗,35249578,269654,57,24,21684,14246,65.70%,5.28%,完结FT,72230
6,情蛊,38249890,416366,67,48,50593,31234,61.74%,7.50%,完结FT·下,86178
7,沉醉不醒,3254711,53017,36,18,4121,2440,59.21%,4.60%,第十三期,86740
8,满城衣冠 全一季,1114309,40634,7,0,1329,0,0.00%,0.00%,第1集 · 旧人不覆,90878
9,小蘑菇 第二季,51173006,499734,48,34,51708,47570,92.00%,9.52%,破亿福利·《风过荒野》主役版,39605
10,再世权臣 第三季（下）,435870,19943,13,7,1360,1183,86.99%,5.93%,第七集 ·  但梦梨花,93437
11,我在无限游戏里封神 第三季,22816715,211531,91,21,29145,21611,74.15%,10.22%,破亿纪念单曲·神明所遗落的,81851
12,天官赐福 第三季,70562689,262189,67,43,32636,26904,82.44%,10.26%,小剧场·元宵·花灯,82040
13,坠落,11042634,177866,59,22,14652,4857,33.15%,2.73%,番外二·新生,76041
14,小蘑菇 第一季,50122679,919878,33,17,58281,39114,67.11%,4.25%,白噪音·漫步荒原,29125
15,天官赐福 第二季,72200743,351585,61,43,37925,34510,91.00%,9.82%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
16,天官赐福 第一季,85334276,955670,61,43,68505,36787,53.70%,3.85%,四千万福利·小剧场·从前有一位名师,52400
17,愚蠢的有钱人,1315848,26693,85,68,2280,1237,54.25%,4.63%,【花絮6】,93113
18,放学等我 第一季,52240784,821809,53,18,63113,36316,57.54%,4.42%,1700W福利·P-特别小剧场「2022.12.2」,64911
19,放学等我 第二季,30716042,440399,42,16,44511,34421,77.33%,7.82%,番外·恋爱纪念日,68837
20,我在无限游戏里封神 第一季,72939163,985593,64,14,77160,43274,56.08%,4.39%,线下漫展VLOG,52347
21,娑婆,1053508,30981,15,7,3107,666,21.44%,2.15%,第八集,93178
22,门生故旧,394056,14411,27,15,1315,890,67.68%,6.18%,★ 20·比赛,93774
23,藏南晚星,18940637,199693,79,42,20065,14818,73.85%,7.42%,主题曲伴奏·途经,85110
24,我在无限游戏里封神 第二季（下）,20310885,248776,55,14,27301,23286,85.29%,9.36%,花絮06,76557
25,魔道祖师 第三季,296175798,1540953,66,56,97586,89971,92.20%,5.84%,传讯符·忘羡,22602
26,魔道祖师 第一季,258736981,2265691,39,22,97040,64582,66.55%,2.85%,主创FT<下>,15861
27,反差 全一季,7627533,58963,42,19,4521,2817,62.31%,4.78%,端午节福利音,86684
28,一颗苹果,13035621,151334,80,34,12390,5411,43.67%,3.58%,启动音试听 · 谢青寄,90818
29,逆鳞 第一季,240270,11983,13,1,1162,369,31.76%,3.08%,微雪宫会客厅第一期,93750
30,吞海 第一季,51103464,526670,54,17,44931,28194,62.75%,5.35%,原创配乐·破晓,29187
31,太傅他人人喊打 第二季,3504371,42791,36,21,3585,2512,70.07%,5.87%,小剧场·《龙床》,86723
32,魔道祖师 第二季,170754562,1416196,41,37,88863,81590,91.82%,5.76%,主役FT（下）,19059
33,交易沦陷,28466183,172723,138,99,17126,9992,58.34%,5.78%,特别福利·星空沦陷,54171
34,台风眼 第二季,29298505,155879,50,32,13648,12611,92.40%,8.09%,完结 FT,68664
35,江医生 第一季,16252432,230504,49,27,22415,13573,60.55%,5.89%,千万播放福利第四弹·小剧场·猫,81852
36,台风眼 第一季,34983568,295907,53,20,20991,13241,63.08%,4.47%,千万福利·富士山在等一片云,52404
37,秋燥 第一季,289984,13277,11,2,1375,349,25.38%,2.63%,第五集,93438
38,我在无限游戏里封神 第二季（上）,20161450,326090,42,11,33591,29092,86.61%,8.92%,花絮06,71605
39,初三的六一儿童节,27763674,61221,287,255,7082,5801,81.91%,9.48%,番外9 跨年夜,85562
40,某某 第一季,97803763,1711498,43,28,77483,45172,58.30%,2.64%,伴奏|《梧桐说》,58219
41,将进酒 第一季,105558885,1435242,59,16,78355,53391,68.14%,3.72%,完结FT,25944
42,我喜欢你的信息素 第一季,99693739,1505361,48,21,72363,45019,62.21%,2.99%,四千万福利,58217
43,吞海 第二季,32268085,268985,56,19,25790,24014,93.11%,8.93%,新年祝福,67085
44,顶级掠食者 第二季,7668403,55775,49,18,5324,4326,81.25%,7.76%,番外·金龙舟,86789
45,伪装学渣 第一季,102610941,1936292,30,17,79386,46864,59.03%,2.42%,千万福利·“叫妈妈”,58262
46,于是麦麦决定离家出走,5504459,105323,51,32,9371,5758,61.44%,5.47%,花絮11,86179
47,吞海 第三季（上）,22322856,214741,38,16,18303,17143,93.66%,7.98%,OST·04 此地埋名,73221
48,失忆后死对头成了我男朋友？,5029264,99090,44,20,6567,4431,67.47%,4.47%,花絮·陆云笙,86693
49,陈年烈苟 第一季,28613055,226368,62,21,20978,14392,68.61%,6.36%,《陈年烈苟》第一季 ✦ 陶淮南启动音,61128
50,默读 第五季,39032128,463838,47,34,46416,40015,86.21%,8.63%,电话,59100
