排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,11999500,198922,52,13,番外二,93038
2,奇洛李维斯回信,52763267,563791,98,41,OST A12 · 暗恋基本法,85974
3,情蛊,40349904,436595,67,48,完结FT·下,86178
4,囚于永夜,5206506,314152,1,0,织音发布会纯享PV · 概念预告,86822
5,二哈和他的白猫师尊,165839303,3187431,79,0,第肆季-第十二期,20741
6,灯花笑 上季,1897144,43025,15,1,第6集,94733
7,放学等我 第一季,53580146,833765,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
8,天官赐福 第一季,86746531,967675,61,43,四千万福利·小剧场·从前有一位名师,52400
9,虚拟偶像团综丨《去世界尽头》,4252995,49407,27,0,第三期·九个太阳,94354
10,天官赐福 第四季,6785487,102006,16,0,正式预告·神明与信徒,91718
11,伪装学渣 第一季,103255415,1948427,30,17,千万福利·“叫妈妈”,58262
12,我在无限游戏里封神 第四季,7349264,140877,56,15,特别放送 · emoji大挑战,86834
13,洄天 第一季,27981511,245622,65,14,完结语音 · 高能量S级监护人的一天,86815
14,我在无限游戏里封神 第一季,74288425,998252,64,14,线下漫展VLOG,52347
15,魔道祖师 第一季,259793466,2278324,39,22,主创FT<下>,15861
16,小蘑菇 第一季,50737310,928404,33,17,白噪音·漫步荒原,29125
17,恒星时刻 第一季,274093,43919,1,0,歌曲《狮心》（Live）,94789
18,我喜欢你的信息素 第一季,100505797,1515941,48,21,四千万福利,58217
19,你的雪人能活多久 第一季,540860,41540,12,0,第一集（下）· 当一个 Alpha决定结婚,93787
20,宋玉章 第一季,2262800,40783,14,0,主题曲 · 不照我 · 伴奏,86589
21,一颗苹果,13699014,162015,82,35,完结FT · 谢谢光临,90818
22,台风眼 第一季,35636455,304321,53,20,千万福利·富士山在等一片云,52404
23,见春天,13286743,232497,54,8,魏清越书信·02,80533
24,某某 第一季,98453508,1721775,43,28,伴奏|《梧桐说》,58219
25,将进酒 第一季,106281047,1443735,59,16,完结FT,25944
26,再世权臣 第一季,21891890,260226,79,17,花絮07,71321
27,重生之将门毒后 第一季,94295314,838164,82,27,主役reaction·片段03,43922
28,放学等我 第二季,31494881,448083,42,16,番外·恋爱纪念日,68837
29,虚拟偶像团综丨《NEW DAYS（一起又出发）》,31097304,114612,95,0,许向安&许向宁生日小剧场·那片山那片海,84529
30,囚于永夜,563023,19129,200,161,温然生日小剧场,94916
31,早春晴朗,36676693,276381,57,24,完结FT,72230
32,迪奥先生 第一季,79624343,1078198,30,15,王氏破产 铃声,23329
33,娘娘腔,38197847,719879,31,0,主役听剧Reaction,46640
34,天官赐福 第三季,71690091,269511,67,43,小剧场·元宵·花灯,82040
35,全球高考 第一季（全新版）,21731851,374109,37,11,— 「全季完结FT」—,60289
36,干涸地,1992157,90864,1,0,概念预告,86725
37,判官 第一季,38605295,654212,45,21,听剧reaction,37773
38,伏特加与曼特宁,1163599,57384,10,0,第一期,92988
39,二哈和他的白猫师尊,16118655,104598,669,603,完结FT,81979
40,于是麦麦决定离家出走,5903226,111643,52,32,启动音试听,86179
41,满城衣冠 全一季,1971213,51237,19,4,第6集 · 出将,90878
42,我在无限游戏里封神 第三季,23769050,217995,91,21,破亿纪念单曲·神明所遗落的,81851
43,虚拟偶像团综丨《LASER出道日》,83649795,681278,89,0,专业小课堂：电子竞技运动与管理专业,28989
44,奇洛李维斯回信 番外篇,1100798,69679,3,2,番外 ·  庆生宴,93420
45,嫡谋·第一季,287274,8238,11,3,第六集 ·  「惊鸿一瞥」,94462
46,虚拟偶像团综丨《一起再出发》,92518820,254044,179,0,中秋特辑·清道夫,58225
47,入戏,8924484,94085,80,54,新春语音,82289
48,吞海 第一季,51876085,533744,54,17,原创配乐·破晓,29187
49,天官赐福 第二季,73195397,358175,61,43,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
50,江医生 第一季,16818104,235378,49,27,千万播放福利第四弹·小剧场·猫,81852
51,藏南晚星,19583017,204755,79,42,主题曲伴奏·途经,85110
52,针锋对决,38041742,936552,19,0,完结FT  互动问答,19249
53,偷偷藏不住,202905846,2417307,89,54,2亿福利·双人电话语音,34632
54,难哄,146986523,1578650,76,48,破亿福利·纪念FT,38074
55,FOG[电竞] 第一季,71014938,766558,39,14,2000W福利·whisper伴奏抒情版,29122
56,魔道祖师 第三季,297106104,1545236,66,56,传讯符·忘羡,22602
57,虚拟偶像综艺 |《VANITY FAIR（名利场）》,28488874,129664,71,0,梦系列小剧场06·白日,78684
58,这题超纲了 第一季,20974319,497270,44,17,【回放】《这题超纲了》M星直播,41369
59,交易沦陷,29490000,176389,138,99,特别福利·星空沦陷,54171
60,我在无限游戏里封神 第二季（下）,20979528,254981,55,14,花絮06,76557
61,重生之将门毒后 第二季,42162029,383928,83,26,破亿福利·白噪音·花灯,52293
62,坠落,11513534,183306,59,22,番外二·新生,76041
63,旧故新长 全一季,1343071,110266,1,0,织音发布会PV,86778
64,虚拟偶像综艺丨《险象环声》,84036244,438802,138,0,三千万福利·偶像问答,38165
65,南方海啸,24676642,172347,102,68,花絮⑤,85492
66,唇枪 上季,201469,16309,1,0,织音发布会纯享PV,94802
67,不二之臣,41102167,853185,16,0,大结局·下,25580
68,别来无恙 第一季,23244389,456477,48,22,1000W福利•《满心》（合唱版）,37937
69,我在无限游戏里封神 第二季（上）,20615275,332108,42,11,花絮06,71605
70,当你叫醒我,962408,16323,13,0,第七集,94268
71,你的距离,90775372,937446,70,27,完结FT·主创版,31552
72,沉醉不醒,3922064,56108,44,25,番外·墨源·上,86740
73,搭界 第一季,333294,14865,15,4,主役采访 01,94617
74,小蘑菇 第二季,51726765,504162,51,34,破亿电话·双人,39605
75,我喜欢你的信息素 第二季,76594875,848420,43,26,国风版·星衍,58218
76,破云 第一季,59328563,1101797,20,15,圣诞特辑,59047
77,魔道祖师 第二季,171341972,1420404,41,37,主役FT（下）,19059
78,虚拟偶像团综丨《FINE DAY》,35081747,254156,41,0,虚拟偶像，但开团会,50725
79,君有疾否 第一季,27119250,465903,67,56,苏世誉 ✦ 第一季启动音,34592
80,嫁给一个死太监 第一季,3796226,76436,34,12,新春福利音,66726
81,欢迎进入梦魇直播间 第一季,23853268,196821,62,20,完结FT,75856
82,唇枪 ,2884567,180029,5,0,第六期,21362
83,逐玉 第一季,4594376,73961,43,14,原创配乐 · 凶夜,89245
84,谁把谁当真,14807997,779560,4,0,第四期,726
