排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,早春晴朗,50291805,419973,D2,57,24,完结FT,72230
2,情蛊,42870432,456610,D2,68,49,4000w福利·山大王,86178
3,放学等我 第一季,55222435,847102,D2,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
4,小蘑菇 第一季,51391806,935057,D2,33,17,白噪音·漫步荒原,29125
5,奇洛李维斯回信,56166359,580887,D2,98,41,OST A12 · 暗恋基本法,85974
6,恒星时刻 第一季,1692887,69177,D2,13,0,歌曲《狮心》,94789
7,天官赐福 第四季,12970418,137092,D2,31,10,新年小剧场《压岁钱》,91718
8,二哈和他的白猫师尊,168301491,3203276,B,84,0,概念曲-拜长久（+童声版）,20741
9,灯花笑 上季,4511270,63592,D2,36,16,突击采访,94733
10,天官赐福 第一季,89495400,982906,D2,61,43,四千万福利·小剧场·从前有一位名师,52400
11,不二之臣,41694181,862003,B,16,0,大结局·下,25580
12,难哄,148060363,1586312,D2,76,48,破亿福利·纪念FT,38074
13,干涸地,2333633,95657,D2,6,2,花絮01,86725
14,虚拟偶像团综丨《去世界尽头》,7205904,56267,B,52,0,嘉宾观察室乔殊篇·小歌迷,94354
15,红白囍 第一季,7737616,117186,D2,46,13,花絮03,81597
16,魔道祖师 第一季,261005686,2289927,D2,39,22,主创FT<下>,15861
17,你的雪人能活多久 第一季,1912518,63543,D2,33,11,小剧场05 · 特大八卦,93787
18,囚于永夜,5473390,324652,B,1,0,织音发布会纯享PV · 概念预告,86822
19,伪装学渣 第一季,103887605,1957101,D2,30,17,千万福利·“叫妈妈”,58262
20,台风眼 第一季,36338551,313120,D2,53,20,千万福利·富士山在等一片云,52404
21,将进酒 第一季,107159509,1451489,D2,59,16,完结FT,25944
22,偷偷藏不住,203717737,2422055,D2,89,54,2亿福利·双人电话语音,34632
23,我在无限游戏里封神 第一季,75454355,1007889,D2,64,14,线下漫展VLOG,52347
24,重生之将门毒后 第一季,95769504,846307,D2,82,27,主役reaction·片段03,43922
25,天官赐福 第三季,74265657,279282,D2,68,44,小剧场·元宵·花灯,82040
26,某某 第一季,99190374,1730294,D2,43,28,伴奏|《梧桐说》,58219
27,见春天,13636906,237050,D2,54,8,魏清越书信·02,80533
28,如果月亮不抱你,84311576,1196807,B,24,0,全网2000万福利突击采访,25485
29,一屋暗灯 全一季,13519824,210914,D2,54,14,主役版主题曲▪未说的,93038
30,我喜欢你的信息素 第一季,101376515,1524509,D2,48,21,四千万福利,58217
31,藏南晚星,20535336,211552,D2,81,44,✧2000万福利·番外·美梦,85110
32,再世权臣 第一季,22616371,265609,D2,79,17,花絮07,71321
33,放学等我 第二季,32442028,456556,D2,42,16,番外·恋爱纪念日,68837
34,伏特加与曼特宁,2290560,67784,D2,35,9,✦店长来啦！⑧,92988
35,我在无限游戏里封神 第四季,8350039,147872,D2,56,15,特别放送 · emoji大挑战,86834
36,天官赐福 第二季,75585635,367687,D2,61,43,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
37,宋玉章 第一季,5074045,49037,D2,29,6,第九折 ·  不栖下风,86589
38,尾钩,1147576,24685,D2,44,25,第32集 · 错轨,95503
39,不想了,10046811,116056,D2,93,66,500W福利·主役版主题曲《同谋》,70445
40,洄天 第一季,28664502,249400,D2,65,14,完结语音 · 高能量S级监护人的一天,86815
41,魔道祖师 第三季,298281515,1549880,D2,66,56,传讯符·忘羡,22602
42,一颗苹果,14244002,168586,C,82,35,完结FT · 谢谢光临,90818
43,娘娘腔,38984991,728337,B,31,0,主役听剧Reaction,46640
44,全球高考 第一季（全新版）,22314758,380245,D2,37,11,— 「全季完结FT」—,60289
45,江医生 第一季,17473697,240422,D2,49,27,千万播放福利第四弹·小剧场·猫,81852
46,你的距离,91492129,941827,D2,70,27,完结FT·主创版,31552
47,交易沦陷,30698127,180329,D2,138,99,特别福利·星空沦陷,54171
48,虚拟偶像团综丨《NEW DAYS（一起又出发）》,32415510,116304,B,95,0,许向安&许向宁生日小剧场·那片山那片海,84529
49,FOG[电竞] 第一季,71782017,770758,D2,39,14,2000W福利·whisper伴奏抒情版,29122
50,吞海 第一季,52735809,540346,D2,54,17,原创配乐·破晓,29187
51,虚拟偶像团综丨《一起再出发》,94072375,255834,B,179,0,中秋特辑·清道夫,58225
52,二哈和他的白猫师尊,17089200,108909,D2,669,603,完结FT,81979
53,夫人你马甲又掉了 第一季,65562823,1028060,B,25,0,小剧场3,32574
54,南方海啸,25767487,175903,D2,102,68,花絮⑤,85492
55,重生之将门毒后 第二季,42938692,388255,D2,83,26,破亿福利·白噪音·花灯,52293
56,虚拟偶像团综丨《LASER出道日》,84392228,683941,B,89,0,专业小课堂：电子竞技运动与管理专业,28989
57,第二十八年春,10957594,385422,B,13,0,第四期,26751
58,判官 第一季,39101424,658628,D2,45,21,听剧reaction,37773
59,我在无限游戏里封神 第三季,24635360,223011,D2,91,21,破亿纪念单曲·神明所遗落的,81851
60,魔道祖师 第二季,172071526,1425061,D2,41,37,主役FT（下）,19059
61,迪奥先生 第一季,79940797,1080553,D2,30,15,王氏破产 铃声,23329
62,囚于永夜,1750387,35080,D2,200,161,番外 少爷的生日7,94916
63,奇洛李维斯回信 番外篇,1282889,77871,D2,3,2,番外 ·  庆生宴,93420
64,坠落,11806197,186945,D2,59,22,番外二·新生,76041
65,唇枪 上季,535294,24769,B,1,0,织音发布会纯享PV,94802
66,酸梅,4309241,261267,B,4,0,第二期,51020
67,是心跳说谎 全一季,163051,7655,D2,9,1,第三集,95516
68,等风热吻你,16976581,316186,D2,56,18,插曲《约定》,52292
69,针锋对决,38382359,942379,B,19,0,完结FT  互动问答,19249
70,恃宠 全一季,11711210,140021,D2,67,26,500w播放纪念· 谢砚礼 会议闲暇,76670
71,于是麦麦决定离家出走,6238988,115288,D2,54,34,程凛生日番外✦礼物,86179
72,这题超纲了 第一季,21369055,502341,D2,44,17,【回放】《这题超纲了》M星直播,41369
73,营业悖论 第一季,48555778,663598,D2,50,13,中秋特别语音,36817
74,落池,68825970,1353778,B,15,0,落池·番外,22032
75,结婚而已,3421266,46840,D2,49,24,☾ · 春节福利音,88370
76,撒野 第一季,88717039,1846869,D2,36,8,千万播放纪念,58443
77,告白 第一季,21682137,374023,D2,54,12,1000w福利·早安·周京泽,59041
78,微微一笑很倾城,16162397,342022,B,14,0,番外,1884
79,虚拟偶像综艺 |《VANITY FAIR（名利场）》,29142153,131164,B,71,0,梦系列小剧场06·白日,78684
80,FOG[电竞]第二季,59244140,438463,D2,50,28,破亿特别直播回放,39588
81,将进酒 第二季,73317265,817091,D2,45,22,第二季完结FT,30383
82,君有疾否 第一季,27481316,470326,D2,67,56,苏世誉 ✦ 第一季启动音,34592
83,我喜欢你的信息素 第二季,77187632,852953,D2,43,26,国风版·星衍,58218
84,二哈在狼群里疯狂造谣 第一季,317691,11246,D2,11,0,第2集·无中生崽,94772
85,提灯看刺刀 上季,15119561,245272,D2,32,8,花絮·韩楚,77771
86,封建糟粕,16351211,158196,D2,143,110,充电·李叔堂,87589
87,失忆后死对头成了我男朋友？,5676554,105944,D2,48,20,花絮15·恢复,86693
88,乘鸾 第一季,158145,5675,D2,14,3,第六集·火中取栗,94849
89,娑婆,2156863,39820,D2,33,22,第十九集,93178
90,逐玉 第一季,4733900,75251,D2,43,14,原创配乐 · 凶夜,89245
91,秉性下等,26536191,210137,D2,99,35,两千万福利·时间的情书,64528
92,台风眼 第二季,30215325,165702,D2,50,32,完结 FT,68664
