排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,洄天 第一季,14741195,184048,29,0,12241,0,0.00%,第一期,86815
2,逐玉 第一季,4031032,69697,43,14,2174,965,44.39%,原创配乐 · 凶夜,89245
3,我在无限游戏里封神 第四季,1838507,94528,8,0,3465,0,0.00%,加载进度 · 倒计时3天,86834
4,奇洛李维斯回信,40542928,499368,79,23,46131,23290,50.49%,花絮09 ·小花絮又又又又又来了,85974
5,情蛊,33041159,373791,61,42,45012,27639,61.40%,番外·此为情蛊,86178
6,于是麦麦决定离家出走,3982012,92097,27,16,7165,4119,57.49%,第十一期,86179
7,顶级掠食者 第二季,4987053,48590,23,8,3883,2858,73.60%,主题曲·天分·伴奏,86789
8,反差 全一季,5999210,48216,25,8,2996,1430,47.73%,第八集·雪崩无声,86684
9,一颗苹果,10808032,131825,69,27,10008,3810,38.07%,贵州Qlog07 · 烟灰,90818
10,天官赐福 第三季,66693055,249351,67,43,31276,25687,82.13%,小剧场·元宵·花灯,82040
11,再世权臣 第三季（上）,1831374,43513,29,6,2706,1842,68.07%,第六集 ·  到此为止,86827
12,太傅他人人喊打 第二季,1863261,35304,17,7,2400,1229,51.21%,第七集,86723
13,欢迎进入梦魇直播间 第二季,4547853,38950,20,8,2871,1964,68.41%,200W特别语音「警惕x骚扰」,90985
14,惹祸精,600037,24419,30,9,1149,508,44.21%,第十一集,90987
15,天官赐福 第二季,69147063,339744,61,43,36950,33601,90.94%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
16,初三的六一儿童节,22067715,46988,225,195,5067,3892,76.81%,Chapter.109A 无处可逃,85562
17,沉醉不醒,1197037,37239,9,0,1509,0,0.00%,第一期,86740
18,天官赐福 第一季,81814443,934899,61,43,67478,36192,53.64%,四千万福利·小剧场·从前有一位名师,52400
19,偷风不偷月 上季,7608511,122288,41,18,10066,5535,54.99%,300w福利·楚识琛（沈若臻）·风月语录,71389
20,藏南晚星,17378055,188298,79,42,18530,13536,73.05%,主题曲伴奏·途经,85110
21,早春晴朗,30550699,237793,57,24,19097,12528,65.60%,完结FT,72230
22,重生之将门毒后 第二季,40098802,372232,83,26,49372,33092,67.03%,破亿福利·白噪音·花灯,52293
23,我在无限游戏里封神 第三季,20797038,198790,91,21,27640,20288,73.40%,破亿纪念单曲·神明所遗落的,81851
24,放学等我 第一季,49476177,793611,53,18,62449,36342,58.19%,1700W福利·P-特别小剧场「2022.12.2」,64911
25,放学等我 第二季,29073000,421853,42,16,44027,34684,78.78%,番外·恋爱纪念日,68837
26,逐玉 第二季,527540,11303,7,0,334,0,0.00%,第三集 · 比试,92520
27,小蘑菇 第二季,48843940,488744,46,33,50165,46681,93.05%,全剧五千万福利,39605
28,偷风不偷月 下季,3248951,58348,35,17,4233,3963,93.62%,100W福利·白噪音,77591
29,将进酒 第一季,104042645,1419289,59,16,78125,53262,68.18%,完结FT,25944
30,吞海 第一季,49335373,511568,54,17,43809,27281,62.27%,原创配乐·破晓,29187
31,魔道祖师 第三季,294185672,1532810,66,56,97586,90017,92.24%,传讯符·忘羡,22602
32,美人印,364990,24729,7,0,1514,0,0.00%,开播ft回放,92611
33,重生之将门毒后 第一季,90600558,816189,82,27,87959,42074,47.83%,主役reaction·片段03,43922
34,魔道祖师 第一季,256697169,2245033,39,22,96749,64537,66.71%,主创FT<下>,15861
35,小蘑菇 第一季,48406859,902887,33,17,57896,38876,67.15%,白噪音·漫步荒原,29125
36,我在无限游戏里封神 第一季,70360350,962714,64,14,76196,42721,56.07%,线下漫展VLOG,52347
37,魔道祖师 第二季,169538062,1408048,41,37,88678,81442,91.84%,主役FT（下）,19059
38,失忆后死对头成了我男朋友？,4321708,91586,44,20,5806,3846,66.24%,花絮·陆云笙,86693
39,吞海 第二季,31122328,259619,56,19,24826,23092,93.02%,新年祝福,67085
40,将进酒 第二季,71323806,805665,45,22,67000,60906,90.90%,第二季完结FT,30383
41,某某 第一季,96517394,1692404,43,28,77289,45029,58.26%,伴奏|《梧桐说》,58219
42,我喜欢你的信息素 第一季,98125558,1486832,48,21,72340,45202,62.49%,四千万福利,58217
43,吞海 第三季（上）,21495705,206043,38,16,17471,16341,93.53%,OST·04 此地埋名,73221
44,你的距离,88726673,925519,70,27,78119,56077,71.78%,完结FT·主创版,31552
45,我在无限游戏里封神 第二季（下）,18967778,236970,55,14,26187,22274,85.06%,花絮06,76557
46,语义错误 第一季,2348347,21563,12,1,1522,335,22.01%,100W白噪音 · 尚宇's学习VLOG,92155
47,欢迎进入梦魇直播间 第一季,22474583,185304,62,20,18712,8104,43.31%,完结FT,75856
48,再世权臣 第一季,20258511,247915,79,17,22816,10671,46.77%,花絮07,71321
49,吞海 第三季（下）,18394793,181962,51,18,17759,16030,90.26%,破亿纪念•抒情主役版「晓」,76879
50,太傅他人人喊打 第一季,6478471,116997,46,31,8090,4810,59.46%,充电·燕迟,73214
