排名,剧名,播放量,订阅数,总集数,付费集数,宣发策略,最新更新,剧集ID
78,撒野 第一季,88635904,1845187,36,8,D2,千万播放纪念,58443
79,等风热吻你,16895266,315236,56,18,D2,插曲《约定》,52292
80,我在无限游戏里封神 第二季（下）,21407898,258487,55,14,D2,花絮06,76557
81,破云 第一季,59553801,1106290,20,15,D2,圣诞特辑,59047
82,逐玉 第一季,4694206,74897,43,14,D2,原创配乐 · 凶夜,89245
83,第二十八年春,10904463,384680,13,0,B,第四期,26751
84,FOG[电竞]第二季,59017082,437854,50,28,D2,破亿特别直播回放,39588
85,嫡谋·第一季,403024,10195,18,9,D2,第十一集·「春深局变」,94462
86,AWM 第一季,86222435,1258498,43,20,D2,第十四集·烙印,20284
87,放学后别来我办公室 全一季,686188,19426,15,3,D2,第五课「人间烟火」,86868
88,营业悖论 第一季,48452557,662733,50,13,D2,中秋特别语音,36817
89,恃宠 全一季,11593976,139213,67,26,D2,500w播放纪念· 谢砚礼 会议闲暇,76670
90,杀破狼 第一季,51174172,1018702,16,11,D2,第一季完结花絮,9888
91,落池,68742536,1352780,15,0,B,落池·番外,22032
92,台风眼 第二季,30052276,164252,50,32,D2,完结 FT,68664
93,提灯看刺刀 上季,14989469,244307,32,8,D2,花絮·韩楚,77771
94,我在无限游戏里封神 第二季（上）,20927682,335473,42,11,D2,花絮06,71605
95,娑婆,1959633,38674,31,20,D2,主题曲·观音火,93178
96,虚拟偶像团综丨《FINE DAY》,35440019,255062,41,0,B,虚拟偶像，但开团会,50725
97,我嗑了对家X我的CP,58724966,900165,48,29,D2,完结FT,21102
98,偏偏宠爱,17925822,367795,49,13,D2,四百万语音·江忍,52353
99,失忆后死对头成了我男朋友？,5559727,104624,48,20,D2,花絮15·恢复,86693
100,全球高考 第二季,40394447,551926,40,15,D2,—原创配乐「警告声中接吻」—,39622
