排名,剧名,播放量,订阅数,总集数,付费集数,宣发策略,最新更新,剧集ID
1,早春晴朗,46006420,388315,57,24,D2,完结FT,72230
2,情蛊,42180949,451393,68,49,D2,4000w福利·山大王,86178
3,奇洛李维斯回信,55199471,576418,98,41,D2,OST A12 · 暗恋基本法,85974
4,放学等我 第一季,54735332,842970,53,18,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
5,二哈和他的白猫师尊,167729455,3199804,84,0,B,概念曲-拜长久（+童声版）,20741
6,天官赐福 第四季,10242545,128873,27,6,D2,第四集·不能尽善问心有憾,91718
7,灯花笑 上季,3733111,58059,30,13,D2,第16集,94733
8,囚于永夜,5418017,323027,1,0,B,织音发布会纯享PV · 概念预告,86822
9,天官赐福 第一季,88285678,978349,61,43,D2,四千万福利·小剧场·从前有一位名师,52400
10,恒星时刻 第一季,794449,61806,4,0,D2,第一集♬R&R,94789
11,伪装学渣 第一季,103744180,1955171,30,17,D2,千万福利·“叫妈妈”,58262
12,你的雪人能活多久 第一季,1514052,57608,28,7,D2,第六集 · 易感期恶性综合征,93787
13,一屋暗灯 全一季,13193189,208581,54,14,D2,主役版主题曲▪未说的,93038
14,虚拟偶像团综丨《去世界尽头》,6035527,53803,47,0,B,嘉宾观察室江恪篇·滑草DIY,94354
15,魔道祖师 第一季,260637363,2286976,39,22,D2,主创FT<下>,15861
16,干涸地,2216453,94630,3,0,D2,火风L原著|干涸地·第一集,86725
17,小蘑菇 第一季,51149141,933154,33,17,D2,白噪音·漫步荒原,29125
18,难哄,147698489,1583916,76,48,D2,破亿福利·纪念FT,38074
19,我在无限游戏里封神 第一季,75134149,1005317,64,14,D2,线下漫展VLOG,52347
20,不二之臣,41460518,859486,16,0,B,大结局·下,25580
21,台风眼 第一季,36118717,310558,53,20,D2,千万福利·富士山在等一片云,52404
22,将进酒 第一季,106853034,1449196,59,16,D2,完结FT,25944
23,重生之将门毒后 第一季,95347194,844161,82,27,D2,主役reaction·片段03,43922
24,天官赐福 第三季,73036052,276305,68,44,D2,小剧场·元宵·花灯,82040
25,我喜欢你的信息素 第一季,101129860,1522395,48,21,D2,四千万福利,58217
26,伏特加与曼特宁,2021102,65893,27,5,D2,第六期,92988
27,红白囍 第一季,7642111,116320,46,13,D2,花絮03,81597
28,某某 第一季,98975298,1728272,43,28,D2,伴奏|《梧桐说》,58219
29,放学等我 第二季,32147949,454001,42,16,D2,番外·恋爱纪念日,68837
30,我在无限游戏里封神 第四季,8085006,146011,56,15,D2,特别放送 · emoji大挑战,86834
31,偷偷藏不住,203432530,2420593,89,54,D2,2亿福利·双人电话语音,34632
32,见春天,13535581,235840,54,8,D2,魏清越书信·02,80533
33,藏南晚星,20234791,209555,81,44,D2,✧2000万福利·番外·美梦,85110
34,囚于永夜,1495635,32566,200,161,D2,番外 少爷的生日7,94916
35,洄天 第一季,28475630,248306,65,14,D2,完结语音 · 高能量S级监护人的一天,86815
36,尾钩,607186,20475,23,10,D2,第17集 · 灰蓝色漩涡,95503
37,宋玉章 第一季,4129203,45845,23,3,D2,第六折 ·  瞒天过海,86589
38,娘娘腔,38773329,726372,31,0,B,主役听剧Reaction,46640
39,不想了,9958370,115474,93,66,D2,500W福利·主役版主题曲《同谋》,70445
40,天官赐福 第二季,74452285,364719,61,43,D2,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
41,一颗苹果,14083412,166725,82,35,C,完结FT · 谢谢光临,90818
42,全球高考 第一季（全新版）,22144748,378634,37,11,D2,— 「全季完结FT」—,60289
43,江医生 第一季,17285930,239108,49,27,D2,千万播放福利第四弹·小剧场·猫,81852
44,二哈和他的白猫师尊,16823108,107820,669,603,D2,完结FT,81979
45,满城衣冠 全一季,2657042,56288,34,10,D2,第11集 · 离巢,90878
46,魔道祖师 第三季,297909324,1548618,66,56,D2,传讯符·忘羡,22602
47,再世权臣 第一季,22311336,262879,79,17,D2,花絮07,71321
48,FOG[电竞] 第一季,71562488,769702,39,14,D2,2000W福利·whisper伴奏抒情版,29122
49,如果月亮不抱你,84089135,1195319,24,0,B,全网2000万福利突击采访,25485
50,虚拟偶像团综丨《NEW DAYS（一起又出发）》,32074197,115787,95,0,B,许向安&许向宁生日小剧场·那片山那片海,84529
51,迪奥先生 第一季,79827519,1079657,30,15,D2,王氏破产 铃声,23329
52,虚拟偶像团综丨《一起再出发》,93718261,255333,179,0,B,中秋特辑·清道夫,58225
53,交易沦陷,30297519,179179,138,99,D2,特别福利·星空沦陷,54171
54,你的距离,91261975,940618,70,27,D2,完结FT·主创版,31552
55,奇洛李维斯回信 番外篇,1232960,75883,3,2,D2,番外 ·  庆生宴,93420
56,针锋对决,38299449,941193,19,0,B,完结FT  互动问答,19249
57,判官 第一季,38955562,657594,45,21,D2,听剧reaction,37773
58,这题超纲了 第一季,21268271,501096,44,17,D2,【回放】《这题超纲了》M星直播,41369
59,重生之将门毒后 第二季,42714577,387101,83,26,D2,破亿福利·白噪音·花灯,52293
60,虚拟偶像团综丨《LASER出道日》,84211023,683125,89,0,B,专业小课堂：电子竞技运动与管理专业,28989
61,我在无限游戏里封神 第三季,24399875,221718,91,21,D2,破亿纪念单曲·神明所遗落的,81851
62,吞海 第一季,52468325,538529,54,17,D2,原创配乐·破晓,29187
63,唇枪 上季,426047,22794,1,0,B,织音发布会纯享PV,94802
64,南方海啸,25399988,174658,102,68,D2,花絮⑤,85492
65,于是麦麦决定离家出走,6143223,114392,53,33,D2,七夕小剧场✦小天使,86179
66,酸梅,4279531,260467,4,0,B,第二期,51020
67,魔道祖师 第二季,171841951,1423784,41,37,D2,主役FT（下）,19059
68,夫人你马甲又掉了 第一季,65400581,1027056,25,0,B,小剧场3,32574
69,封建糟粕,16246757,157136,143,110,D2,充电·李叔堂,87589
70,别来无恙 第一季,23490520,459687,48,22,D2,1000W福利•《满心》（合唱版）,37937
71,虚拟偶像综艺 |《VANITY FAIR（名利场）》,28995089,130717,71,0,B,梦系列小剧场06·白日,78684
72,坠落,11716399,185989,59,22,D2,番外二·新生,76041
73,欢迎进入梦魇直播间 第一季,24183889,199451,62,20,D2,完结FT,75856
74,我喜欢你的信息素 第二季,77012982,851739,43,26,D2,国风版·星衍,58218
75,君有疾否 第一季,27371339,469113,67,56,D2,苏世誉 ✦ 第一季启动音,34592
76,去你的岛,610942,20335,26,13,D2,番外,77026
77,虚拟偶像综艺丨《险象环声》,84731111,439873,138,0,B,三千万福利·偶像问答,38165
