排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,天官赐福 第四季,9688502,126600,D2,26,5,第三集·叫天不应叫地不灵,91718
2,恒星时刻 第一季,530687,56140,D2,3,0,预告 · 肆,94789
3,灯花笑 上季,3517974,56580,D2,28,11,第14集,94733
4,虚拟偶像团综丨《去世界尽头》,5832316,53319,B,45,0,第七期·自由身,94354
5,尾钩,483497,19106,D2,19,7,第14集 · 低回,95503
6,你的雪人能活多久 第一季,1432910,56458,D2,27,6,小剧场03 · 戒指,93787
7,宋玉章 第一季,3938970,45560,D2,23,3,第六折 ·  瞒天过海,86589
8,伏特加与曼特宁,1958341,65348,D2,26,4,✦店长来啦！⑤,92988
9,穿进赛博游戏后干掉BOSS成功上位 第一季,62696,4175,B,6,0,第2集,95678
10,干涸地,2153796,94324,D2,2,0,火风L原著|干涸地·正式预告,86725
11,满城衣冠 全一季,2580821,55695,D2,33,9,白噪音 · 苏苏念经,90878
12,大王万万不可！ 第一季,445232,15533,D2,26,9,第十二集·红尘诸事,94259
13,搭界 第一季,481893,16676,D2,26,13,第九集,94617
14,囚于永夜,1422852,31758,D2,200,161,番外 少爷的生日7,94916
15,放学后别来我办公室 全一季,656726,19142,D2,13,1,第四课「好想退休」,86868
16,炽火难熄 全一季,380232,20889,D2,16,4,花絮03 ·“你好香啊”,94917
17,沉浮事,904784,16912,D2,17,6,浊世篇·第六集,94775
18,谁来言说夜晚 上季,1766687,16031,D2,93,56,第73集,94321
19,清白之年,533532,14859,D2,21,2,小剧场·肯德基,94838
20,我花开后百花杀 第一季,127242,4743,D2,10,0,第四集 · 旗鼓相当,94893
21,嫡谋·第一季,389440,9967,D2,17,8,第十集·「姻局初布」,94462
22,守寡后我重生了 第二季,115580,3867,D2,12,3,第四集,95212
23,任东西,76066,3331,D2,11,3,任东西·第六集,94860
24,绰约,2282767,32764,D2,41,9,律法小贴士·10则,86680
25,触礁,354079,13081,D2,18,6,✰花絮·03✰,95034
26,错登科  第一季,131081,5164,D2,14,6,《错登科》第七集·封诰命,94787
27,赤霞珠,337956,13179,D2,30,19,处暑福利音·饮酒小贴士·唐渡,95114
28,楚乌 第一季,419535,8948,D2,42,8,40W福利·充电提醒 萧野,94336
29,金陵春 第一季,174475,6269,D2,15,5,第八集,94497
30,解瘾,528460,14101,D2,26,5,花絮5❃上海话我们也不会啊,94782
